case_id,description,scenario_id,source_actuality,package_gates_pass,measured_terms,admissible_ingestion_path,request_count,accepted_fast_path_count,fallback_frequency,hybrid_total_mean,baseline_total_mean,sigma_hybrid,sigma_baseline,rho,sigma_workload_mix,sigma_meter,guardrail_telemetry_status,expected_classification
point_crossing_wide_uncertainty,Nominal hybrid win with uncertainty interval crossing zero.,high_volume_stable_moderation,actual_measured_candidate,true,true,true,1000000,650000,0.08,980.0,1000.0,45.0,42.0,0.40,18.0,12.0,measured,point_crossing_not_statistically_durable
synthetic_large_margin_low_uncertainty,Large synthetic control win that passes the statistical margin but is not actual evidence.,high_volume_stable_moderation,synthetic_control,true,true,true,1000000,800000,0.03,760.0,1000.0,10.0,11.0,0.20,5.0,4.0,measured,statistically_durable_nonactual_control
baseline_favored_positive_delta,Measured candidate where hybrid remains more expensive than the programmable baseline.,bursty_consumer_traffic,actual_measured_candidate,true,true,true,900000,500000,0.18,1060.0,1000.0,20.0,18.0,0.25,10.0,8.0,measured,baseline_favored
inconclusive_near_tie,Near tie whose interval overlaps zero without even a point hybrid win.,audit_heavy_regulated_deployment,actual_measured_candidate,true,true,true,700000,350000,0.24,1004.0,1000.0,15.0,15.0,0.75,9.0,7.0,measured,inconclusive_overlap
missing_baseline_uncertainty,"Point win with missing baseline uncertainty, which must not default to zero.",low_volume_enterprise_deployment,actual_measured_candidate,true,true,true,10000,6000,0.05,900.0,1000.0,12.0,,0.10,6.0,5.0,measured,blocked_missing_uncertainty_terms
template_non_actual_source,Template/dry-run source is structurally blocked even with favorable means.,high_volume_stable_moderation,template_dryrun,false,false,false,1000000,700000,0.07,850.0,1000.0,20.0,20.0,0.30,8.0,6.0,template,blocked_non_actual_source
zero_volume_control,Zero request volume cannot reopen regardless of favorable means.,zero_invocation_control,actual_measured_candidate,true,true,true,0,0,0.0,100.0,1000.0,1.0,1.0,0.00,1.0,1.0,measured,blocked_zero_volume
all_fallback_control,All-fallback traffic has no accepted physicalized fast-path benefit.,fallback_all_control,actual_measured_candidate,true,true,true,600000,0,1.0,700.0,1000.0,5.0,5.0,0.10,2.0,2.0,measured,blocked_all_fallback
correlated_shared_overhead_cancels_partially,"High correlation cancels shared-mode overhead, but independent terms still leave a durable nonactual control.",audit_heavy_regulated_deployment,synthetic_control,true,true,true,500000,360000,0.12,900.0,1000.0,35.0,34.0,0.95,10.0,8.0,measured_shared_instrumentation,statistically_durable_nonactual_control
high_correlation_without_shared_instrumentation,High correlation is not allowed to cancel uncertainty without explicit shared-instrumentation attestation.,high_volume_stable_moderation,actual_measured_candidate,true,true,true,1000000,850000,0.04,995.0,1000.0,100.0,100.0,1.00,0.0,0.0,measured,blocked_missing_uncertainty_terms
negative_margin_but_guardrail_missing,Missing guardrail telemetry uncertainty blocks a favorable point estimate.,frequent_policy_update_regime,actual_measured_candidate,true,true,true,400000,240000,0.20,880.0,1000.0,12.0,12.0,0.50,6.0,4.0,missing,blocked_missing_uncertainty_terms
