node_id	node_type	label	support_role	source_group	source_file	source_id	access_date	license	confidence	source_reliability	geographic_scope	uncertainty_class	temporal_annotation_json	raw_attrs_json	raw_caveats_json
extinct_fauna:LQE:Mammut_americanum	extinct_fauna	Mammut americanum (American mastodon)	extinct_fauna	paleobotany_sources	substrate/staging/paleobotany_sources/lqe/extinct_fauna.jsonl	LQE:Mammut_americanum	2026-05-17	CC-BY-4.0 (compilation); primary citations as published	0.85	0.9	North America	stratigraphic-range	"{""interval_basis"": ""calibrated radiocarbon ages or biostratigraphic LAD per primary citation"", ""last_appearance_kyr_max"": 13.0, ""last_appearance_kyr_min"": 10.0, ""primary_citation_code"": ""Koch2006"", ""primary_citation_doi"": ""https://doi.org/10.1146/annurev.ecolsys.34.011802.132415""}"	"{""binomial"": ""Mammut americanum"", ""body_mass_kg_approx"": 8000, ""common_name"": ""American mastodon"", ""continent_or_region"": ""North America""}"	"{""body_mass_estimate_basis"": ""published taxonomic mass estimate; not measured per specimen"", ""geographic_scope"": ""North America"", ""interpretation_caveat"": ""Last-appearance date is stratigraphic; absence of post-LAD finds does not prove extinction at LAD."", ""uncertainty_class"": ""stratigraphic-range""}"
extinct_fauna:LQE:Mammuthus_columbi	extinct_fauna	Mammuthus columbi (Columbian mammoth)	extinct_fauna	paleobotany_sources	substrate/staging/paleobotany_sources/lqe/extinct_fauna.jsonl	LQE:Mammuthus_columbi	2026-05-17	CC-BY-4.0 (compilation); primary citations as published	0.85	0.9	North America	stratigraphic-range	"{""interval_basis"": ""calibrated radiocarbon ages or biostratigraphic LAD per primary citation"", ""last_appearance_kyr_max"": 13.0, ""last_appearance_kyr_min"": 10.0, ""primary_citation_code"": ""Koch2006"", ""primary_citation_doi"": ""https://doi.org/10.1146/annurev.ecolsys.34.011802.132415""}"	"{""binomial"": ""Mammuthus columbi"", ""body_mass_kg_approx"": 9500, ""common_name"": ""Columbian mammoth"", ""continent_or_region"": ""North America""}"	"{""body_mass_estimate_basis"": ""published taxonomic mass estimate; not measured per specimen"", ""geographic_scope"": ""North America"", ""interpretation_caveat"": ""Last-appearance date is stratigraphic; absence of post-LAD finds does not prove extinction at LAD."", ""uncertainty_class"": ""stratigraphic-range""}"
extinct_fauna:LQE:Mammuthus_primigenius	extinct_fauna	Mammuthus primigenius (Woolly mammoth)	extinct_fauna	paleobotany_sources	substrate/staging/paleobotany_sources/lqe/extinct_fauna.jsonl	LQE:Mammuthus_primigenius	2026-05-17	CC-BY-4.0 (compilation); primary citations as published	0.85	0.9	North America	stratigraphic-range	"{""interval_basis"": ""calibrated radiocarbon ages or biostratigraphic LAD per primary citation"", ""last_appearance_kyr_max"": 11.0, ""last_appearance_kyr_min"": 4.0, ""primary_citation_code"": ""Stuart2005"", ""primary_citation_doi"": ""https://doi.org/10.1038/nature02890""}"	"{""binomial"": ""Mammuthus primigenius"", ""body_mass_kg_approx"": 6000, ""common_name"": ""Woolly mammoth"", ""continent_or_region"": ""North America""}"	"{""body_mass_estimate_basis"": ""published taxonomic mass estimate; not measured per specimen"", ""geographic_scope"": ""North America"", ""interpretation_caveat"": ""Last-appearance date is stratigraphic; absence of post-LAD finds does not prove extinction at LAD."", ""uncertainty_class"": ""stratigraphic-range""}"
extinct_fauna:LQE:Mammuthus_exilis	extinct_fauna	Mammuthus exilis (Pygmy mammoth)	extinct_fauna	paleobotany_sources	substrate/staging/paleobotany_sources/lqe/extinct_fauna.jsonl	LQE:Mammuthus_exilis	2026-05-17	CC-BY-4.0 (compilation); primary citations as published	0.85	0.9	North America (Channel Islands)	stratigraphic-range	"{""interval_basis"": ""calibrated radiocarbon ages or biostratigraphic LAD per primary citation"", ""last_appearance_kyr_max"": 13.0, ""last_appearance_kyr_min"": 11.0, ""primary_citation_code"": ""Agenbroad2005"", ""primary_citation_doi"": ""https://doi.org/10.1016/j.quaint.2004.04.016""}"	"{""binomial"": ""Mammuthus exilis"", ""body_mass_kg_approx"": 760, ""common_name"": ""Pygmy mammoth"", ""continent_or_region"": ""North America (Channel Islands)""}"	"{""body_mass_estimate_basis"": ""published taxonomic mass estimate; not measured per specimen"", ""geographic_scope"": ""North America (Channel Islands)"", ""interpretation_caveat"": ""Last-appearance date is stratigraphic; absence of post-LAD finds does not prove extinction at LAD."", ""uncertainty_class"": ""stratigraphic-range""}"
extinct_fauna:LQE:Smilodon_fatalis	extinct_fauna	Smilodon fatalis (Saber-toothed cat)	extinct_fauna	paleobotany_sources	substrate/staging/paleobotany_sources/lqe/extinct_fauna.jsonl	LQE:Smilodon_fatalis	2026-05-17	CC-BY-4.0 (compilation); primary citations as published	0.85	0.9	North America	stratigraphic-range	"{""interval_basis"": ""calibrated radiocarbon ages or biostratigraphic LAD per primary citation"", ""last_appearance_kyr_max"": 13.0, ""last_appearance_kyr_min"": 10.0, ""primary_citation_code"": ""Koch2006"", ""primary_citation_doi"": ""https://doi.org/10.1146/annurev.ecolsys.34.011802.132415""}"	"{""binomial"": ""Smilodon fatalis"", ""body_mass_kg_approx"": 300, ""common_name"": ""Saber-toothed cat"", ""continent_or_region"": ""North America""}"	"{""body_mass_estimate_basis"": ""published taxonomic mass estimate; not measured per specimen"", ""geographic_scope"": ""North America"", ""interpretation_caveat"": ""Last-appearance date is stratigraphic; absence of post-LAD finds does not prove extinction at LAD."", ""uncertainty_class"": ""stratigraphic-range""}"
extinct_fauna:LQE:Homotherium_serum	extinct_fauna	Homotherium serum (Scimitar cat)	extinct_fauna	paleobotany_sources	substrate/staging/paleobotany_sources/lqe/extinct_fauna.jsonl	LQE:Homotherium_serum	2026-05-17	CC-BY-4.0 (compilation); primary citations as published	0.85	0.9	North America	stratigraphic-range	"{""interval_basis"": ""calibrated radiocarbon ages or biostratigraphic LAD per primary citation"", ""last_appearance_kyr_max"": 28.0, ""last_appearance_kyr_min"": 10.0, ""primary_citation_code"": ""Widga2017"", ""primary_citation_doi"": ""https://doi.org/10.1111/bor.12235""}"	"{""binomial"": ""Homotherium serum"", ""body_mass_kg_approx"": 230, ""common_name"": ""Scimitar cat"", ""continent_or_region"": ""North America""}"	"{""body_mass_estimate_basis"": ""published taxonomic mass estimate; not measured per specimen"", ""geographic_scope"": ""North America"", ""interpretation_caveat"": ""Last-appearance date is stratigraphic; absence of post-LAD finds does not prove extinction at LAD."", ""uncertainty_class"": ""stratigraphic-range""}"
extinct_fauna:LQE:Panthera_atrox	extinct_fauna	Panthera atrox (American lion)	extinct_fauna	paleobotany_sources	substrate/staging/paleobotany_sources/lqe/extinct_fauna.jsonl	LQE:Panthera_atrox	2026-05-17	CC-BY-4.0 (compilation); primary citations as published	0.85	0.9	North America	stratigraphic-range	"{""interval_basis"": ""calibrated radiocarbon ages or biostratigraphic LAD per primary citation"", ""last_appearance_kyr_max"": 13.0, ""last_appearance_kyr_min"": 11.0, ""primary_citation_code"": ""Koch2006"", ""primary_citation_doi"": ""https://doi.org/10.1146/annurev.ecolsys.34.011802.132415""}"	"{""binomial"": ""Panthera atrox"", ""body_mass_kg_approx"": 350, ""common_name"": ""American lion"", ""continent_or_region"": ""North America""}"	"{""body_mass_estimate_basis"": ""published taxonomic mass estimate; not measured per specimen"", ""geographic_scope"": ""North America"", ""interpretation_caveat"": ""Last-appearance date is stratigraphic; absence of post-LAD finds does not prove extinction at LAD."", ""uncertainty_class"": ""stratigraphic-range""}"
extinct_fauna:LQE:Miracinonyx_trumani	extinct_fauna	Miracinonyx trumani (American cheetah)	extinct_fauna	paleobotany_sources	substrate/staging/paleobotany_sources/lqe/extinct_fauna.jsonl	LQE:Miracinonyx_trumani	2026-05-17	CC-BY-4.0 (compilation); primary citations as published	0.85	0.9	North America	stratigraphic-range	"{""interval_basis"": ""calibrated radiocarbon ages or biostratigraphic LAD per primary citation"", ""last_appearance_kyr_max"": 13.0, ""last_appearance_kyr_min"": 11.0, ""primary_citation_code"": ""VanValkenburgh1990"", ""primary_citation_doi"": ""https://doi.org/10.1126/science.252.5012.1668""}"	"{""binomial"": ""Miracinonyx trumani"", ""body_mass_kg_approx"": 70, ""common_name"": ""American cheetah"", ""continent_or_region"": ""North America""}"	"{""body_mass_estimate_basis"": ""published taxonomic mass estimate; not measured per specimen"", ""geographic_scope"": ""North America"", ""interpretation_caveat"": ""Last-appearance date is stratigraphic; absence of post-LAD finds does not prove extinction at LAD."", ""uncertainty_class"": ""stratigraphic-range""}"
extinct_fauna:LQE:Arctodus_simus	extinct_fauna	Arctodus simus (Short-faced bear)	extinct_fauna	paleobotany_sources	substrate/staging/paleobotany_sources/lqe/extinct_fauna.jsonl	LQE:Arctodus_simus	2026-05-17	CC-BY-4.0 (compilation); primary citations as published	0.85	0.9	North America	stratigraphic-range	"{""interval_basis"": ""calibrated radiocarbon ages or biostratigraphic LAD per primary citation"", ""last_appearance_kyr_max"": 13.0, ""last_appearance_kyr_min"": 11.0, ""primary_citation_code"": ""Schubert2010"", ""primary_citation_doi"": ""https://doi.org/10.1016/j.quaint.2009.11.010""}"	"{""binomial"": ""Arctodus simus"", ""body_mass_kg_approx"": 900, ""common_name"": ""Short-faced bear"", ""continent_or_region"": ""North America""}"	"{""body_mass_estimate_basis"": ""published taxonomic mass estimate; not measured per specimen"", ""geographic_scope"": ""North America"", ""interpretation_caveat"": ""Last-appearance date is stratigraphic; absence of post-LAD finds does not prove extinction at LAD."", ""uncertainty_class"": ""stratigraphic-range""}"
extinct_fauna:LQE:Tremarctos_floridanus	extinct_fauna	Tremarctos floridanus (Florida cave bear)	extinct_fauna	paleobotany_sources	substrate/staging/paleobotany_sources/lqe/extinct_fauna.jsonl	LQE:Tremarctos_floridanus	2026-05-17	CC-BY-4.0 (compilation); primary citations as published	0.85	0.9	North America	stratigraphic-range	"{""interval_basis"": ""calibrated radiocarbon ages or biostratigraphic LAD per primary citation"", ""last_appearance_kyr_max"": 13.0, ""last_appearance_kyr_min"": 11.0, ""primary_citation_code"": ""Kurten1966"", ""primary_citation_doi"": """"}"	"{""binomial"": ""Tremarctos floridanus"", ""body_mass_kg_approx"": 250, ""common_name"": ""Florida cave bear"", ""continent_or_region"": ""North America""}"	"{""body_mass_estimate_basis"": ""published taxonomic mass estimate; not measured per specimen"", ""geographic_scope"": ""North America"", ""interpretation_caveat"": ""Last-appearance date is stratigraphic; absence of post-LAD finds does not prove extinction at LAD."", ""uncertainty_class"": ""stratigraphic-range""}"
