source,paper_location,object,template_interpretation,m4_applicability,m7_applicability,bridge_status,main_obstruction,supporting_artifact
M4/M7 baseline,"M4 and M7 artifacts, not a Kim--Tao paper object",single independent-permutation conflict-free labelled template,A template sampled against independent uniform generator permutations.,yes exactly: this is the model certified by the M4 labelled-template expectation identity,yes exactly for normalized product-ratio families with controlled support,covered,none inside the toy independent-permutation framework; the obstruction appears when moving to the surface-group random-cover law,reports/extension_candidates/m7_product_ratio_coefficient_bounds.md
Theorem 1 variance,"Lemma 3.3, local paper p.17-18","single folded quotient W_r from C_gamma1,gamma2",A fixed conflict-free labelled quotient template with injective Schreier embedding constraints.,"partly: the constraint skeleton matches M4, but the actual expectation is over Hom(Gamma,S_n), not independent permutations",partly for growing word-support profiles after the MPvH/Witten-zeta expansion exposes falling-factorial factors,partially_covered,"surface-group relation, Witten-zeta normalization, and MPvH embedding expansion are already present before summing many W_r",docs/proof_ledger/two_trace_expansion_ledger.md
Theorem 1 variance,Lemma 3.3,"finite sum over quotients R for fixed gamma_1,gamma_2",Finite sum of injective quotient-template expectations.,partly termwise: M4 covers the independent-permutation analogue of each quotient skeleton,"partly: each summand has product-ratio support, but the number and cancellation of quotients is external",partially_covered,quotient-count growth up to factorial scale and Witten-zeta/Q_id normalization are not controlled by M7 alone,docs/proof_ledger/proposition31_internal_reconstruction.md
Theorem 1 variance,Corollary 3.4,growing geodesic/word family polynomial p(1/n),"Geometry-weighted sum of many two-cycle quotient polynomials Q_gamma1,gamma2.",yes only after decomposing into individual quotient embeddings,"partly: per-template coefficient envelopes apply, not the full weighted sum",partially_covered,"geodesic coefficient weights, support-to-degree reduction, cancellations, and denominator Q_id remain outside M7",docs/proof_ledger/proposition31_internal_reconstruction.md
Theorem 1 variance,Lemma 3.3 plus Nau boundedness,"full Q_gamma1,gamma2(1/n)/Q_id(1/n) estimate",Imported polynomial estimate after quotient summation and Witten-zeta normalization.,"not directly; M4 covers embedding summands, not the external boundedness step",heuristic only: product-ratio language matches falling-factorial pieces but not the black-box denominator control,heuristic_only,MPvH expansion and Nau boundedness hide denominator and negative-power cancellation mechanisms,docs/proof_ledger/two_trace_expansion_ledger.md
Theorem 1 variance,§3.2 identity/diagonal handling,cyclic or diagonal two-trace pairs gamma_1^k1 = gamma_2^k2,Special correlated quotient templates inside the same two-cycle formalism.,partly termwise if the folded quotient is conflict-free; the surface-group expectation remains external,partly: product-ratio control does not isolate their larger correlation contribution,partially_covered,diagonal correlations are absorbed into p rather than separately enumerated and bounded,docs/proof_ledger/two_trace_expansion_ledger.md
Theorem 2 fourth moment,Proposition 4.2 / equation (4.15),"single eight-loop quotient template C_gamma1,...,gamma8 -> W_r",An injective labelled quotient template with a common base vertex and up to eight word loops.,"partly: the fixed quotient has M4-like labelled constraints, but its expectation is still under the surface-group homomorphism model",partly for the exposed product-ratio profile; rank-two normalization and MP23 input are external,partially_covered,the surface-group law and the MP23 rank-two replacement enter even for the polynomialized fixed eight-word expectation,docs/proof_ledger/eigenfunction_fourth_moment_ledger.md
Theorem 2 fourth moment,§4.2 diagonal term S,cyclic primitive-power diagonal four-tuples subtracted by S,Structured diagonal family removed before rank-two common-fixed-point control.,"partly for individual independent-permutation template skeletons, but not for the structural subtraction itself","partly: product ratios describe terms, not the necessity or size of S",partially_covered,"S is a proof-level centering/diagonal subtraction, not just a product-ratio estimate",docs/proof_ledger/eigenfunction_fourth_moment_ledger.md
Theorem 2 fourth moment,Proposition 4.2 / MP23 rank-two replacement,rank-two noncyclic remainder after diagonal removal,Eight-word quotient families constrained by existence of two non-commensurable primitive directions.,partly termwise for quotient-embedding skeletons,heuristic only for the rank-two decay scale,heuristic_only,MP23 common-fixed-point theorem supplies n^-2 decay; M7 does not prove rank-two subgroup fixed-point decay,docs/proof_ledger/eigenfunction_fourth_moment_ledger.md
Theorem 2 fourth moment,Proposition 4.2 full polynomial approximation,p(1/n)/(n^2 Q_id(1/n)) for the eight-word statistic,Weighted sum of eight-loop quotient polynomials plus denominator normalization.,only termwise before summation,"partly: fixed-order per-template envelopes apply, not the centered fourth-moment statistic",partially_covered,"second-derivative Markov step, rank-two input, diagonal subtraction, and geometry weights are extra axes",docs/proof_ledger/eigenfunction_fourth_moment_ledger.md
Imported polynomial method,MPvH/MP23 inputs invoked in §§3-4,full imported random-cover polynomial estimates,"Black-box estimates over quotient families, denominators, rank constraints, and cancellations.",no as a whole,no as a whole,not_covered,the imported theorems prove aggregate boundedness/rank decay not derivable from isolated product-ratio envelopes,reports/final/final_report.md
