overlay_id,constant_id,source_threshold_id,workload_class,object_class,proxy_measurement_id,proxy_pattern,worker_count,buffer_size_bytes,measured_latency_us,measured_throughput_mb_s,measured_penalty_units,collapse_threshold,threshold_crossed,option_before,option_after_proxy,claim_effect,production_calibrated,power_source,below_noise_or_missing_power,evidence_label
DC001-overlay-DC001-sequential_copy-1048576,DC-001,DC001-BYTE-ENERGY-001,host-local proxy microbenchmark,bytes moved/read/written,DC001-sequential_copy-1048576,sequential_copy,1,1048576,7273.115,1894.976,,,not_applicable,,,CL-012 proxy_only; no production calibration,false,unavailable,true,host_local_proxy
DC001-overlay-DC001-sequential_read-1048576,DC-001,DC001-BYTE-ENERGY-001,host-local proxy microbenchmark,bytes moved/read/written,DC001-sequential_read-1048576,sequential_read,1,1048576,43.888,63472.917,,,not_applicable,,,CL-012 proxy_only; no production calibration,false,unavailable,true,host_local_proxy
DC001-overlay-DC001-sequential_write-1048576,DC-001,DC001-BYTE-ENERGY-001,host-local proxy microbenchmark,bytes moved/read/written,DC001-sequential_write-1048576,sequential_write,1,1048576,14054.085,120.977,,,not_applicable,,,CL-012 proxy_only; no production calibration,false,unavailable,true,host_local_proxy
DC001-overlay-DC001-sequential_copy-4194304,DC-001,DC001-BYTE-ENERGY-001,host-local proxy microbenchmark,bytes moved/read/written,DC001-sequential_copy-4194304,sequential_copy,1,4194304,3044.975,4219.939,,,not_applicable,,,CL-012 proxy_only; no production calibration,false,unavailable,true,host_local_proxy
DC001-overlay-DC001-sequential_read-4194304,DC-001,DC001-BYTE-ENERGY-001,host-local proxy microbenchmark,bytes moved/read/written,DC001-sequential_read-4194304,sequential_read,1,4194304,434.24,37310.477,,,not_applicable,,,CL-012 proxy_only; no production calibration,false,unavailable,true,host_local_proxy
DC001-overlay-DC001-sequential_write-4194304,DC-001,DC001-BYTE-ENERGY-001,host-local proxy microbenchmark,bytes moved/read/written,DC001-sequential_write-4194304,sequential_write,1,4194304,58136.768,99.275,,,not_applicable,,,CL-012 proxy_only; no production calibration,false,unavailable,true,host_local_proxy
DC001-overlay-DC001-sequential_copy-16777216,DC-001,DC001-BYTE-ENERGY-001,host-local proxy microbenchmark,bytes moved/read/written,DC001-sequential_copy-16777216,sequential_copy,1,16777216,6966.871,4655.038,,,not_applicable,,,CL-012 proxy_only; no production calibration,false,unavailable,true,host_local_proxy
DC001-overlay-DC001-sequential_read-16777216,DC-001,DC001-BYTE-ENERGY-001,host-local proxy microbenchmark,bytes moved/read/written,DC001-sequential_read-16777216,sequential_read,1,16777216,1513.683,12371.486,,,not_applicable,,,CL-012 proxy_only; no production calibration,false,unavailable,true,host_local_proxy
DC001-overlay-DC001-sequential_write-16777216,DC-001,DC001-BYTE-ENERGY-001,host-local proxy microbenchmark,bytes moved/read/written,DC001-sequential_write-16777216,sequential_write,1,16777216,77471.838,208.249,,,not_applicable,,,CL-012 proxy_only; no production calibration,false,unavailable,true,host_local_proxy
DC001-overlay-DC001-random_access-262144,DC-001,DC001-BYTE-ENERGY-001,host-local proxy microbenchmark,bytes moved/read/written,DC001-random_access-262144,random_read_byte,1,262144,0.528,2.528,,,not_applicable,,,CL-012 proxy_only; no production calibration,false,unavailable,true,host_local_proxy
DC001-overlay-DC001-random_access-1048576,DC-001,DC001-BYTE-ENERGY-001,host-local proxy microbenchmark,bytes moved/read/written,DC001-random_access-1048576,random_read_byte,1,1048576,0.664,1.25,,,not_applicable,,,CL-012 proxy_only; no production calibration,false,unavailable,true,host_local_proxy
DC001-overlay-DC001-random_access-4194304,DC-001,DC001-BYTE-ENERGY-001,host-local proxy microbenchmark,bytes moved/read/written,DC001-random_access-4194304,random_read_byte,1,4194304,0.802,0.351,,,not_applicable,,,CL-012 proxy_only; no production calibration,false,unavailable,true,host_local_proxy
DC002-overlay-DC002-RAG-B-p50,DC-002,DC002-RAG-B-p50,RAG,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,0.82,,1.01737,10.8,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-RAG-B-p95,DC-002,DC002-RAG-B-p95,RAG,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,2.481,,1.8364,10.8,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-RAG-B-p99,DC-002,DC002-RAG-B-p99,RAG,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,10.8,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-RAG-B-p99_pathological,DC-002,DC002-RAG-B-p99_pathological,RAG,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,10.8,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-RAG-C-p50,DC-002,DC002-RAG-C-p50,RAG,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,0.82,,1.01737,5.5,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-RAG-C-p95,DC-002,DC002-RAG-C-p95,RAG,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,2.481,,1.8364,5.5,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
