order,gate_name,manifest_boolean_field,evidence_path_field,digest_field,payload_source,digest_binding,identity_binding,time_window,upstream_dependency,required_payload_fields,fail_closed_reason_if_absent
1,root_enrollment,root_enrolled,root_enrolled_evidence_path,root_enrolled_evidence_sha256,deployment-root enrollment record from M-ROOTINT-1,sha256 over canonical evidence artifact bytes; value must not be copied from artifact payload,"deployment_root_id, collector_id, firmware_id, topology_id, schema_version, tenant_id, security_context_id",enrollment_valid_from/enrollment_valid_until must cover measurement window,none,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",missing_root_enrollment_evidence
2,attestation_envelope,attested,attested_evidence_path,attested_evidence_sha256,bundle attestation envelope from M-ATTEST-1,sha256 over canonical evidence artifact bytes; value must not be copied from artifact payload,"bundle_id, measurement_run_id, collector_id, signer_key_id, manifest_digest",signature_valid_from/signature_valid_until must cover manifest and payload capture,root_enrollment,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",missing_attestation_envelope_evidence
3,trust_policy,trust_policy_admissible,trust_policy_admissible_evidence_path,trust_policy_admissible_evidence_sha256,operator trust policy evaluation from M-TRUSTPOL-1,sha256 over canonical evidence artifact bytes; value must not be copied from artifact payload,"operator_id, deployment_root_id, signer_key_id, hardware_attestation_profile_id",policy_valid_from/policy_valid_until must cover attestation and capture,attestation_envelope,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",missing_trust_policy_evidence
4,intake_custody,intake_custody_valid,intake_custody_valid_evidence_path,intake_custody_valid_evidence_sha256,chain-of-custody admission record from M-INTAKE-1,sha256 over canonical evidence artifact bytes; value must not be copied from artifact payload,"bundle_id, measurement_run_id, manifest_digest, payload_digest, operator_id",custody_received_at must be inside allowed freshness window,trust_policy,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",missing_intake_custody_evidence
5,adapter_conformance,adapter_conformant,adapter_conformant_evidence_path,adapter_conformant_evidence_sha256,adapter normalization and conformance report from M-PORT-1/M-ADAPTER-1,sha256 over canonical evidence artifact bytes; value must not be copied from artifact payload,"adapter_id, schema_version, measurement_run_id, topology_id, workload_id",normalized interval bounds must match measurement window,intake_custody,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",missing_adapter_conformance_evidence
6,timebase_integrity,timebase_valid,timebase_valid_evidence_path,timebase_valid_evidence_sha256,"clock, interval, skew, drift, and observer-overhead report from M-TIMEBASE-1",sha256 over canonical evidence artifact bytes; value must not be copied from artifact payload,"collector_id, measurement_run_id, interval_id, clock_domain_id, counter_source_id",evidence window must equal or cover measurement interval range,adapter_conformance,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",missing_timebase_integrity_evidence
7,redaction_integrity,redaction_admissible,redaction_admissible_evidence_path,redaction_admissible_evidence_sha256,redaction and replay-identifiability report from M-REDACT-1,sha256 over canonical evidence artifact bytes; value must not be copied from artifact payload,"bundle_id, measurement_run_id, tenant_pseudonym_set_id, object_pseudonym_set_id",redacted export window must match the validated measurement window,timebase_integrity,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",missing_redaction_integrity_evidence
8,evidence_gatechain,gatechain_passed,gatechain_passed_evidence_path,gatechain_passed_evidence_sha256,ordered promotion-state replay from M-GATECHAIN-1,sha256 over canonical evidence artifact bytes; value must not be copied from artifact payload,"bundle_id, measurement_run_id, operator_id, collector_id, schema_version, claim_id",gatechain replay timestamp must be after upstream gate evidence and before replay,redaction_integrity,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",missing_evidence_gatechain_evidence
9,uncertainty_qualification,statistically_robust,statistically_robust_evidence_path,statistically_robust_evidence_sha256,confidence and threshold qualification report from M-UNCERT-1,sha256 over canonical evidence artifact bytes; value must not be copied from artifact payload,"claim_id, measurement_run_id, workload_id, object_id, threshold_id, control_id",sample window must match redacted measurement window,evidence_gatechain,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",missing_uncertainty_qualification_evidence
10,causal_attribution,causally_admissible,causally_admissible_evidence_path,causally_admissible_evidence_sha256,control-arm and covariate balance report from M-CAUSAL-1,sha256 over canonical evidence artifact bytes; value must not be copied from artifact payload,"claim_id, treatment_run_id, control_run_id, workload_id, topology_id, model_version",treatment/control windows must be aligned within drift budget,uncertainty_qualification,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",missing_causal_attribution_evidence
11,dc001_dc002_threshold_replay,threshold_passed,threshold_passed_evidence_path,threshold_passed_evidence_sha256,DC-001/DC-002 threshold replay output from M-PRODTELEM-1/M-DC12-1,sha256 over canonical evidence artifact bytes; value must not be copied from artifact payload,"claim_id, threshold_id, measurement_run_id, workload_id, topology_id",threshold replay input window must match causal/uncertainty qualified window,causal_attribution,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",missing_dc001_dc002_threshold_replay_evidence
12,planner_readiness_boundary,planner_boundary_passed,planner_boundary_passed_evidence_path,planner_boundary_passed_evidence_sha256,planner/readiness boundary record from M-PLAN-1/M-FINALPKG-1,sha256 over canonical evidence artifact bytes; value must not be copied from artifact payload,"claim_id, plan_id, measurement_run_id, option_id, security_context_id",planner evaluation must consume the same qualified replay window,dc001_dc002_threshold_replay,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",missing_planner_readiness_boundary_evidence
13,final_handoff_traceability,handoff_traceable,handoff_traceable_evidence_path,handoff_traceable_evidence_sha256,claim-to-evidence traceability record from M-HANDOFF-1,sha256 over canonical evidence artifact bytes; value must not be copied from artifact payload,"claim_id, bundle_id, measurement_run_id, artifact_index_id, reproduction_manifest_id",handoff record must be generated after all upstream artifacts,planner_readiness_boundary,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",missing_final_handoff_traceability_evidence
