case_id,bundle_id,attestation_status,intake_admission_reference,signature_valid,attestation_source_trusted,production_trust_established,production_calibrated,production_ready,claim_credit_allowed,boundary_reason
valid-test-attestation,intake-bundle-001,mechanically_valid,structurally_admissible,true,false,false,false,false,false,"test signature validity is executable custody plumbing, not trusted production operator attestation"
invalid-missing-signature,intake-bundle-001,blocked,structurally_admissible,false,false,false,false,false,false,"test signature validity is executable custody plumbing, not trusted production operator attestation"
invalid-unknown-key,intake-bundle-001,blocked,structurally_admissible,false,false,false,false,false,false,"test signature validity is executable custody plumbing, not trusted production operator attestation"
invalid-expired-key,intake-bundle-001,blocked,structurally_admissible,true,false,false,false,false,false,"test signature validity is executable custody plumbing, not trusted production operator attestation"
invalid-revoked-key,intake-bundle-001,blocked,structurally_admissible,true,false,false,false,false,false,"test signature validity is executable custody plumbing, not trusted production operator attestation"
invalid-wrong-operator,intake-bundle-001,blocked,structurally_admissible,true,false,false,false,false,false,"test signature validity is executable custody plumbing, not trusted production operator attestation"
invalid-wrong-collector,intake-bundle-001,blocked,structurally_admissible,true,false,false,false,false,false,"test signature validity is executable custody plumbing, not trusted production operator attestation"
invalid-mismatched-manifest-digest,intake-bundle-001,blocked,structurally_admissible,true,false,false,false,false,false,"test signature validity is executable custody plumbing, not trusted production operator attestation"
invalid-mismatched-payload-digest-set,intake-bundle-001,blocked,structurally_admissible,true,false,false,false,false,false,"test signature validity is executable custody plumbing, not trusted production operator attestation"
invalid-stale-collection-window,intake-bundle-001,blocked,structurally_admissible,true,false,false,false,false,false,"test signature validity is executable custody plumbing, not trusted production operator attestation"
invalid-replayed-bundle-id,replayed-intake-bundle-001,blocked,structurally_admissible,true,false,false,false,false,false,"test signature validity is executable custody plumbing, not trusted production operator attestation"
invalid-fixture-production-trust,intake-bundle-001,blocked,structurally_admissible,true,false,false,false,false,false,"test signature validity is executable custody plumbing, not trusted production operator attestation"
