deferred_constant,threshold_id,equation_text,interpretation,special_zero_denominator_behavior,fallback_decision,evidence_status,scope_note
DC-005,C_to_B_trajectory_reuse,"Benefit_branch_verifier_durable <= TrajectoryQueueCost + ValidationOverhead_trajectory + ExpectedSecurityLoss_trajectory","Option C collapses to Option B when measured trajectory benefit cannot pay trajectory-specific queue, validation, and security costs","not a ratio threshold; if trajectory benefit is missing because required fields are absent, measurement is invalid rather than zero","downgrade_to_B_if_object_reuse_value_remains_positive_else_evaluate_C_to_A",measurement_design,trajectory_reuse_only
DC-005,C_to_A_trajectory_reuse,"Benefit_object_reuse + Benefit_branch_verifier_durable <= ObjectQueueCost + TrajectoryQueueCost + ValidationOverhead_total + ExpectedSecurityLoss_total","Option C collapses to Option A when combined object plus trajectory retained value cannot pay all incremental overheads","not a ratio threshold; unauthorized or stale replay contributes zero positive retained value","downgrade_to_A",measurement_design,trajectory_reuse_only
DC-005,p_survive_min,"(TrajectoryQueueCost + ValidationOverhead_trajectory + ExpectedSecurityLoss_trajectory - V_verifier - V_tool_replay - V_durable_workspace - V_trajectory_log) / (f * s_b * (C_branch_recompute + C_branch_loss))","minimum branch survival needed for branch state to justify Option C, holding per-branch state value constant","if denominator is zero, branch survival cannot justify Option C; if numerator is negative, non-branch trajectory value alone can justify Option C","collapse_branch_component_to_zero_and_recompute_C_to_B",measurement_design,trajectory_reuse_only
DC-005,p_verifier_reuse_min,"(TrajectoryQueueCost + ValidationOverhead_trajectory + ExpectedSecurityLoss_trajectory - V_branch - V_tool_replay - V_durable_workspace - V_trajectory_log) / (n_verifier_states * (C_validation_rerun + C_verifier_loss))","minimum verifier reuse needed for verifier state to justify Option C, holding other terms constant","if denominator is zero, verifier reuse cannot justify Option C; if numerator is negative, non-verifier trajectory value alone can justify Option C","collapse_verifier_component_to_zero_and_recompute_C_to_B",measurement_design,trajectory_reuse_only
DC-004,T-SEM-VALID-001,"P_hit * P_valid_given_hit * C_recompute_avoided <= C_lookup + C_validation + C_recovery + E_C_wrong_reuse","semantic-cache retained value is nonpositive after correctness validation and recovery costs","if P_hit or P_valid_given_hit is zero then semantic-cache value is zero or unsafe","downgrade_Option_B_to_exact_retrieval_or_recompute",measurement_design,semantic_cache_correctness_risk
DC-004,T-SEM-STALE-002,"C_stale_hit + C_invalidation + C_recovery >= C_recompute_avoided","stale-hit cost erases semantic-cache value","stale source version with invalidation signal must force revalidate or recompute","forbid_stale_reuse_and_recompute",measurement_design,semantic_cache_invalidation_risk
DC-004,T-SEM-ISOLATION-003,"P_safe_hit_after_tenant_salt * C_recompute_avoided <= C_lookup + C_validation + Q_registry + Q_policy","tenant and cache-salt enforcement leaves insufficient safe retained value","tenant or cache-salt mismatch forces reuse false regardless of score","downgrade_Option_B_if_isolation_erases_value",measurement_design,semantic_cache_isolation_risk
DC-004,T-SEM-POISON-004,"untrusted_reuse_rate > 0 for correctness_sensitive_entries_without_trusted_provenance","poisoned or untrusted semantic-cache entries pass when they must fail closed","missing or untrusted provenance in correctness-sensitive paths forbids reuse","forbid_untrusted_semantic_reuse",measurement_design,semantic_cache_poisoning_risk
DC-004,T-SEM-RECOVERY-005,"C_lookup + C_validation + C_recovery >= C_exact_retrieval_or_recompute","cache recovery overhead exceeds the exact baseline","if recovery action is unavailable invalid hit contributes zero positive value","disable_semantic_cache_credit_for_entry_class",measurement_design,semantic_cache_recovery_risk
DC-003,T-DUR-TAIL-001,"L_replay_p95 >= C_recompute_avoided_time_equiv","durable replay p95 exceeds retained recompute value","if replay probability is zero durable replay value is zero","downgrade_latency_sensitive_replay_to_recompute_or_local_checkpoint",measurement_design,durable_replay_tail_risk
DC-003,T-DUR-P99-002,"max_dependency_path_replay_p99 >= verifier_or_merge_deadline","durable replay tail misses verifier or merge deadline","unbounded or missing p99 invalidates latency-sensitive replay credit","downgrade_Option_C_to_Option_B_or_local_checkpointing",measurement_design,durable_replay_tail_risk
DC-003,T-DUR-FANIN-003,"max_path_latency_p99(dependency_width) >= retained_value_deadline_margin","dependency fan-in tail amplification erases replay margin","large dependency_width requires max-path not median latency accounting","disable_remote_replay_for_wide_fanin_paths",measurement_design,durable_dependency_tail_risk
DC-003,T-DUR-RECOVERY-004,"pointer_valid == false or reconstruction_latency_p95 >= recompute_latency_p95","summary-pointer recovery is invalid or slower than recompute","invalid pointer forces exact state replay or recompute fallback","disable_summary_pointer_replay_for_entry_class",measurement_design,durable_pointer_recovery_risk
DC-003,T-DUR-RETENTION-005,"durability_horizon_expired and retention_hold_state != active","durable replay violates retention horizon without active hold","expired retention forbids reuse independent of latency benefit","forbid_durable_replay_and_value_credit",measurement_design,durable_retention_risk
