annotation_id,target_case_id,annotation_class,conflict_reason,downstream_memory_action_count,fail_closed
ann_invalid_reuse_scope_widen,legacy_kv_cache_uncertain_reuse_scope,reuse_scope_annotation,reuse_scope_widens_trace_security_scope,0,true
ann_invalid_tenant_widen,legacy_retrieved_context_rag,tenant_security_annotation,tenant_or_security_scope_widening,0,true
ann_invalid_tool_provenance_mismatch,legacy_tool_output_missing_provenance,tool_provenance_annotation,provenance_mismatch,0,true
ann_invalid_branch_parent_conflict,legacy_branch_state_dangling_parent,branch_dependency_annotation,branch_parent_unresolved_or_conflicting,0,true
ann_invalid_verifier_target_mismatch,legacy_verifier_state_missing_integrity_annotation,verifier_integrity_annotation,verifier_target_not_observed,0,true
ann_valid_compression_safety,legacy_branch_state_dangling_parent,compression_safety_annotation,dangling_branch_parent,0,true
ann_invalid_lossy_correctness,legacy_branch_state_dangling_parent,compression_safety_annotation,lossy_compression_for_correctness_critical_object,0,true
ann_invalid_infinite_retention_no_policy,legacy_durable_workspace_missing_retention,retention_policy_annotation,durable_retention_without_policy,0,true
ann_valid_evidence_label,legacy_kv_cache_uncertain_reuse_scope,evidence_label_annotation,missing_mandatory_field_reuse_scope,0,true
ann_invalid_production_upgrade,legacy_kv_cache_uncertain_reuse_scope,evidence_label_annotation,production_evidence_label_not_runtime_abi,0,true
