source,row_type,evidence_layer,route_or_endpoint,auth_required,license_or_citation,limitations,prototype_recommendation,references
WFO Plant List,data_source,"taxonomy;nomenclature","REST matching_rest.php; GraphQL gql.php; Zenodo snapshots",no,"Zenodo 2025-12 snapshot CC0 DOI 10.5281/zenodo.18007552","Do not scrape API; use downloads for bulk; no traits/occurrences","Use as canonical taxonomy/synonym layer","[1];[2];[3];[4];[5]"
GBIF,data_source,"taxonomy;nomenclature;occurrence","/v1/species/match; /v1/occurrence/search",mostly_no,"Species backbone citation DOI 10.15468/39omei; occurrences carry CC0/CC BY/CC BY-NC","Rate limits; async downloads require account; search API has no DOI","Use for cross-checks and tiny occurrence samples","[6];[7];[8];[9];[10];[11]"
Open Tree of Life,data_source,"phylogeny;taxonomy_synthesis;name_resolution","/v3/tnrs/match_names and v3 APIs",no,"Data CC0 where not source-limited; cite synthesis paper","Not WFO nomenclatural authority; synthesis evidence only","Use for OTT IDs and phylogeny-context comparison","[12];[13];[14];[15]"
BIEN_RBIEN,data_source,"traits;ranges;occurrence;phylogenies;plant_lists","R package BIEN",setup_only,"Use package citation and BIEN metadata citation helpers","Not Python-first; not smoke-tested this cycle","Optional later trait/range source","[16];[17]"
TRY,data_source,traits,"TRY web request workflow; rtry for released data",yes_registration_request,"Public data CC BY; cite TRY and underlying datasets","Registration/request turnaround; redistribution constraints","Do not block cycle 2; use synthetic traits first","[18];[19];[20];[26]"
Zhou_hypergraph_learning,method_source,"hypergraph_learning","paper",not_applicable,"Cite NeurIPS 2006 paper","Method source only; no plant evidence","Candidate incidence/Laplacian method","[21]"
Agarwal_higher_order_graphs,method_source,"graph_baseline;falsification","paper",not_applicable,"Cite ICML 2006 paper","Critiques some hypergraph advantages","Use as fair graph-baseline warning","[22]"
Silla_Freitas_hierarchical_classification,method_source,"hierarchical_classification;metrics","paper",not_applicable,"Cite DMKD survey","General ML survey; not plant-specific","Use to frame hierarchy-aware baselines","[23]"
Ozymandias_KG,method_source,"biodiversity_knowledge_graph","paper",not_applicable,"Cite PeerJ paper","Ordinary KG, not hypergraph benchmark","Use for entity separation precedent","[24]"
OpenBiodiv_KG,method_source,"biodiversity_linked_data","paper",not_applicable,"Cite Publications paper","Literature-extracted KG, not direct plant source","Use for semantic/provenance context","[25]"
