gate_order,gate_name,source_class,source_input_field,artifact_filename,manifest_boolean_field,manifest_evidence_path_field,manifest_digest_field,required_payload_fields,upstream_dependency
1,root_enrollment,operator_supplied,deployment_root_identity_file,root_enrollment.json,root_enrolled,root_enrolled_evidence_path,root_enrolled_evidence_sha256,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",none
2,attestation_envelope,external_attestation,external_attestation_file,attestation_envelope.json,attested,attested_evidence_path,attested_evidence_sha256,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",root_enrollment
3,trust_policy,operator_supplied,operator_trust_policy_file,trust_policy.json,trust_policy_admissible,trust_policy_admissible_evidence_path,trust_policy_admissible_evidence_sha256,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",attestation_envelope
4,intake_custody,collector_observed,bundle_manifest_file,intake_custody.json,intake_custody_valid,intake_custody_valid_evidence_path,intake_custody_valid_evidence_sha256,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",trust_policy
5,adapter_conformance,collector_observed,adapter_conformance_file,adapter_conformance.json,adapter_conformant,adapter_conformant_evidence_path,adapter_conformant_evidence_sha256,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",intake_custody
6,timebase_integrity,collector_observed,time_source_file,timebase_integrity.json,timebase_valid,timebase_valid_evidence_path,timebase_valid_evidence_sha256,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",adapter_conformance
7,redaction_integrity,collector_observed,redaction_report_file,redaction_integrity.json,redaction_admissible,redaction_admissible_evidence_path,redaction_admissible_evidence_sha256,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",timebase_integrity
8,evidence_gatechain,derived_from_prior_gate,gatechain_report_file,evidence_gatechain.json,gatechain_passed,gatechain_passed_evidence_path,gatechain_passed_evidence_sha256,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",redaction_integrity
9,uncertainty_qualification,collector_observed,uncertainty_report_file,uncertainty_qualification.json,statistically_robust,statistically_robust_evidence_path,statistically_robust_evidence_sha256,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",evidence_gatechain
10,causal_attribution,operator_supplied,causal_control_report_file,causal_attribution.json,causally_admissible,causally_admissible_evidence_path,causally_admissible_evidence_sha256,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",uncertainty_qualification
11,dc001_dc002_threshold_replay,collector_observed,threshold_replay_file,dc001_dc002_threshold_replay.json,threshold_passed,threshold_passed_evidence_path,threshold_passed_evidence_sha256,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",causal_attribution
12,planner_readiness_boundary,derived_from_prior_gate,planner_boundary_file,planner_readiness_boundary.json,planner_boundary_passed,planner_boundary_passed_evidence_path,planner_boundary_passed_evidence_sha256,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",dc001_dc002_threshold_replay
13,final_handoff_traceability,operator_supplied,handoff_traceability_file,final_handoff_traceability.json,handoff_traceable,handoff_traceable_evidence_path,handoff_traceable_evidence_sha256,"artifact_id,evidence_label,bundle_id,measurement_run_id,claim_id,gate_name,gate_status,source_system,producer_id,created_at,valid_from,valid_until,payload_digest,upstream_artifact_digests,identity_bindings,measurement_window_start,measurement_window_end",planner_readiness_boundary
