artifact_path,artifact_type,producing_script,verifier,milestone,evidence_class,upstream_dependencies,production_readiness_impact,known_limitation,exists
memory-centric-agentic/taxonomy.md,narrative,see milestone ledger event,ledger validation and downstream handoff verifier,M-TAX-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
memory-centric-agentic/memory_objects.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-TAX-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
memory-centric-agentic/workload_classes.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-TAX-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
memory-centric-agentic/assumptions.md,narrative,see milestone ledger event,ledger validation and downstream handoff verifier,M-TAX-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
memory-centric-agentic/data/taxonomy_coverage.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-TAX-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
memory-centric-agentic/data/plot_taxonomy_coverage.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-TAX-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
memory-centric-agentic/data/taxonomy_coverage.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-TAX-1,validated_artifact,,never sufficient for production_ready without final production_target gates,"Figure is a rendered view of co-located CSV outputs, not independent evidence.",true
memory-centric-agentic/lifetime_model.md,narrative,see milestone ledger event,ledger validation and downstream handoff verifier,M-LIFE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
memory-centric-agentic/lifetime_parameters.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-LIFE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
scripts/lifetime_model.wls,artifact,see milestone ledger event,ledger validation and downstream handoff verifier,M-LIFE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
