case_id,selected_option,abi_contract_state,option_a_executable,option_b_requires_admissible_object,option_c_requires_admissible_dag,object_level_admissible,downstream_memory_action_count,runtime_prototype_consistency,constrained_planner_consistency,boundary_result,production_calibrated,production_ready,threshold_success,causal_validity_granted,claim_credit_allowed
valid_retrieved_context,B_memory_object_aware_runtime,accepted,false,true,false,true,4,supported_by_runtime_policy_decisions,supported_by_memory_plan_actions,allowed_object_actions,false,false,false,false,false
valid_branch_state,C_trajectory_dag_memory_fabric,accepted,false,false,true,true,5,supported_by_runtime_policy_decisions,supported_by_memory_plan_actions,allowed_object_actions,false,false,false,false,false
missing_object_class,B_memory_object_aware_runtime,rejected,false,true,false,false,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,blocked_before_actions,false,false,false,false,false
tenant_reuse_scope_mismatch,B_memory_object_aware_runtime,rejected,false,true,false,false,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,blocked_before_actions,false,false,false,false,false
dangling_branch_parent,C_trajectory_dag_memory_fabric,rejected,false,false,true,false,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,blocked_before_actions,false,false,false,false,false
lossy_compression_correctness_critical,C_trajectory_dag_memory_fabric,rejected,false,false,true,false,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,blocked_before_actions,false,false,false,false,false
missing_advisory_residency_hint,B_memory_object_aware_runtime,accepted,false,true,false,true,4,supported_by_runtime_policy_decisions,supported_by_memory_plan_actions,allowed_object_actions,false,false,false,false,false
durable_retention_without_policy,C_trajectory_dag_memory_fabric,rejected,false,false,true,false,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,blocked_before_actions,false,false,false,false,false
production_evidence_label_in_runtime_abi,B_memory_object_aware_runtime,rejected,false,true,false,false,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,blocked_before_actions,false,false,false,false,false
option_a_opaque_baseline,A_conventional_request_model_kv_serving,opaque_absent,true,false,false,false,0,opaque_supported_by_runtime_policy_decisions,opaque_supported_by_memory_plan_actions,allowed_opaque,false,false,false,false,false
