profile_id,mechanically_valid_signature,trust_policy_admissible,attestation_source_trusted,production_trust_established,production_calibrated,production_ready,claim_credit_allowed,boundary_reason
complete-kms-policy-fixture,true,true,false,false,false,false,false,"policy admissibility is necessary for future production trust but insufficient without real deployment root, collector evidence, accepted production bundle, and downstream ingestion gates"
invalid-fixture-hmac-production-root,true,false,false,false,false,false,false,"policy admissibility is necessary for future production trust but insufficient without real deployment root, collector evidence, accepted production bundle, and downstream ingestion gates"
invalid-missing-revocation-path,true,false,false,false,false,false,false,"policy admissibility is necessary for future production trust but insufficient without real deployment root, collector evidence, accepted production bundle, and downstream ingestion gates"
invalid-exportable-production-key,true,false,false,false,false,false,false,"policy admissibility is necessary for future production trust but insufficient without real deployment root, collector evidence, accepted production bundle, and downstream ingestion gates"
invalid-unbound-collector-identity,true,false,false,false,false,false,false,"policy admissibility is necessary for future production trust but insufficient without real deployment root, collector evidence, accepted production bundle, and downstream ingestion gates"
invalid-missing-firmware-identity,true,false,false,false,false,false,false,"policy admissibility is necessary for future production trust but insufficient without real deployment root, collector evidence, accepted production bundle, and downstream ingestion gates"
invalid-missing-replay-protection,true,false,false,false,false,false,false,"policy admissibility is necessary for future production trust but insufficient without real deployment root, collector evidence, accepted production bundle, and downstream ingestion gates"
invalid-missing-audit-log,true,false,false,false,false,false,false,"policy admissibility is necessary for future production trust but insufficient without real deployment root, collector evidence, accepted production bundle, and downstream ingestion gates"
invalid-missing-tenant-security-binding,true,false,false,false,false,false,false,"policy admissibility is necessary for future production trust but insufficient without real deployment root, collector evidence, accepted production bundle, and downstream ingestion gates"
invalid-unsupported-trust-root,true,false,false,false,false,false,false,"policy admissibility is necessary for future production trust but insufficient without real deployment root, collector evidence, accepted production bundle, and downstream ingestion gates"
invalid-policy-attempts-production-trust,true,false,false,false,false,false,false,"policy admissibility is necessary for future production trust but insufficient without real deployment root, collector evidence, accepted production bundle, and downstream ingestion gates"
invalid-mechanical-signature-only,true,false,false,false,false,false,false,"policy admissibility is necessary for future production trust but insufficient without real deployment root, collector evidence, accepted production bundle, and downstream ingestion gates"
