case_id,description,route,action,reason,physicalized_output_valid,fallback_used,fail_safe,classifier_available,fallback_available,audit_logging_available,confidence_q15,threshold_q15,observed_policy_version,required_policy_version,classifier_health,drift_status,enforce_mode,audit_request_id,audit_route,audit_reason,audit_policy_version,audit_required_policy_version,audit_confidence_q15
healthy_high_confidence,Healthy classifier with current policy and high confidence.,physicalized_fast_path,use_physicalized_decision,accepted,True,False,False,True,True,True,30000,24576,7,7,healthy,normal,True,req-healthy_high_confidence,physicalized_fast_path,accepted,7,7,30000
low_confidence,Classifier is healthy but confidence is below threshold.,programmable_fallback,use_fallback_decision,low_confidence,False,True,False,True,True,True,12000,24576,7,7,healthy,normal,True,req-low_confidence,programmable_fallback,low_confidence,7,7,12000
zero_confidence,Classifier reports zero confidence.,programmable_fallback,use_fallback_decision,low_confidence,False,True,False,True,True,True,0,24576,7,7,healthy,normal,True,req-zero_confidence,programmable_fallback,low_confidence,7,7,0
stale_policy_version,Classifier used a policy image older than the host requires.,programmable_fallback,use_fallback_decision,stale_policy_version,False,True,False,True,True,True,31000,24576,6,7,healthy,normal,True,req-stale_policy_version,programmable_fallback,stale_policy_version,6,7,31000
failed_health_check,Classifier health monitor failed.,programmable_fallback,use_fallback_decision,health_check_failed,False,True,False,True,True,True,32000,24576,7,7,failed,normal,True,req-failed_health_check,programmable_fallback,health_check_failed,7,7,32000
drift_alarm,Classifier is current and confident but drift monitor is in alarm.,programmable_fallback,use_fallback_decision,drift_alarm,False,True,False,True,True,True,32000,24576,7,7,healthy,alarm,True,req-drift_alarm,programmable_fallback,drift_alarm,7,7,32000
host_forced_fallback,Host forces fallback for baseline measurement or incident response.,programmable_fallback,use_fallback_decision,host_forced_fallback,False,True,False,True,True,True,32000,24576,7,7,healthy,normal,True,req-host_forced_fallback,programmable_fallback,host_forced_fallback,7,7,32000
fallback_unavailable_but_fast_path_valid,"Fallback is unavailable, but the fast path is healthy, current, and confident.",physicalized_fast_path,use_physicalized_decision,accepted,True,False,False,True,False,True,32000,24576,7,7,healthy,normal,True,req-fallback_unavailable_but_fast_path_valid,physicalized_fast_path,accepted,7,7,32000
fallback_unavailable_and_classifier_invalid,Fallback is unavailable and the classifier cannot produce a valid output.,fail_safe,fail_closed_block,classifier_unavailable,False,False,True,False,False,True,0,24576,7,7,failed,normal,True,req-fallback_unavailable_and_classifier_invalid,fail_safe,classifier_unavailable,7,7,0
audit_logging_failure,Audit logging is unavailable in enforce mode.,programmable_fallback,use_fallback_decision,audit_logging_failure,False,True,False,True,True,False,32000,24576,7,7,healthy,normal,True,req-audit_logging_failure,programmable_fallback,audit_logging_failure,7,7,32000
monitor_mode_fail_safe,Monitor-only deployment escalates when both classifier and fallback are unusable.,fail_safe,fail_safe_escalate,classifier_unavailable,False,False,True,False,False,True,0,24576,7,7,failed,alarm,False,req-monitor_mode_fail_safe,fail_safe,classifier_unavailable,7,7,0
