input_table	row_index	edge_type	raw_scientific_name	normalized_name_key	failure_reason	source_id
substrate/staging/domestication_sources/edges/crop_pedigree.tsv	0	crop_pedigree	Triticum aestivum	triticum aestivum	no Barrier 1 accepted key for focal taxon	curated_breeder_pedigree_literature
substrate/staging/domestication_sources/edges/crop_pedigree.tsv	1	crop_pedigree	Triticum turgidum subsp. durum	triticum turgidum subsp. durum	no Barrier 1 accepted key for focal taxon	curated_breeder_pedigree_literature
substrate/staging/domestication_sources/edges/crop_pedigree.tsv	2	crop_pedigree	Malus domestica	malus domestica	no Barrier 1 accepted key for focal taxon	curated_breeder_pedigree_literature
substrate/staging/domestication_sources/edges/crop_pedigree.tsv	3	crop_pedigree	Musa x paradisiaca / Musa acuminata cultivar group	musa x paradisiaca / musa acuminata cultivar group	no Barrier 1 accepted key for focal taxon	curated_breeder_pedigree_literature
substrate/staging/domestication_sources/edges/crop_pedigree.tsv	4	crop_pedigree	Brassica napus	brassica napus	no Barrier 1 accepted key for focal taxon	curated_breeder_pedigree_literature
substrate/staging/domestication_sources/edges/crop_pedigree.tsv	5	crop_pedigree	Brassica juncea	brassica juncea	no Barrier 1 accepted key for focal taxon	curated_breeder_pedigree_literature
substrate/staging/domestication_sources/edges/crop_pedigree.tsv	6	crop_pedigree	Brassica carinata	brassica carinata	no Barrier 1 accepted key for focal taxon	curated_breeder_pedigree_literature
substrate/staging/domestication_sources/edges/crop_pedigree.tsv	7	crop_pedigree	Gossypium hirsutum	gossypium hirsutum	no Barrier 1 accepted key for focal taxon	curated_breeder_pedigree_literature
substrate/staging/domestication_sources/edges/crop_pedigree.tsv	8	crop_pedigree	Gossypium barbadense	gossypium barbadense	no Barrier 1 accepted key for focal taxon	curated_breeder_pedigree_literature
substrate/staging/domestication_sources/edges/crop_pedigree.tsv	10	crop_pedigree	Coffea arabica	coffea arabica	no Barrier 1 accepted key for focal taxon	curated_breeder_pedigree_literature
substrate/staging/domestication_sources/edges/crop_pedigree.tsv	11	crop_pedigree	Nicotiana tabacum	nicotiana tabacum	no Barrier 1 accepted key for focal taxon	curated_breeder_pedigree_literature
