deferred_constant,experiment_id,workload_target,measurement,required_instrumentation,expected_signal,support_condition,falsification_condition,claim_updates,evidence_status,scope_note
DC-005,TRJ-001-branch-survival,"code-agent loop; verification-heavy; multi-agent branch/merge","branch fork, merge, discard, promote, and later evidence access rates","branch_id; trajectory_node_id; merge_state; branch_evidence_access","survival and post-merge reuse distribution","Option C branch-retention value is positive","branches die without later evidence access","CL-003; CL-005; Option C rows",measurement_design,trajectory_reuse_only
DC-005,TRJ-002-verifier-reuse,"verification-heavy; code-agent loop; multi-agent branch/merge","verifier-state access across candidates, retries, regressions, and audits","verifier_id; verifier_start; verifier_result; verifier_evidence_access; verifier_evidence_hash","verifier reuse and avoided repeated validation","verifier state is a reusable correctness-sensitive object","verifier state is single-use or not replay-authorized","CL-003; CL-009",measurement_design,trajectory_reuse_only
DC-005,TRJ-003-tool-output-replay,"code-agent loop; research/tool agents; branch/merge","replay/citation of previous tool outputs versus rerun","tool_call_result; tool_output_replay; provenance_id; recompute_cost_hint","replay avoids tool reruns or preserves evidence","tool outputs carry retained value beyond current prompt","tool outputs are never reused or cheap to rerun","CL-003; CL-011",measurement_design,trajectory_reuse_only
DC-005,TRJ-004-durable-dependency,"code-agent loop; multi-agent branch/merge","workspace artifacts used as future dependencies","workspace_write; workspace_dependency_access; durability_horizon; parent_object_id","cross-session durable dependency graph","durable workspace supports Option C","durable artifacts are archival only and not execution inputs","CL-003; CL-012",measurement_design,trajectory_reuse_only
DC-005,TRJ-005-trajectory-reuse-distance,"all agentic workloads plus controls","reuse-distance distribution for trajectory-scoped objects","object_access; reuse_distance; object_class; trajectory_node_id","long-tail reuse beyond request-local scope","agentic memory exceeds token/KV lifetime","reuse distances are short and KV-like","CL-003; CL-008",measurement_design,trajectory_reuse_only
DC-005,TRJ-006-field-ablation-replay,"production/open traces replayed through runtime prototype","architecture decision with fields hidden","all DC-005 fields plus runtime option computation","hiding branch/verifier/durable fields collapses C to B/A","M-PROTO-1 causal boundary generalizes","architecture choice unchanged by hiding fields","CL-003; CL-011",measurement_design,trajectory_reuse_only
DC-005,TRJ-007-control-negative,"single-turn chat; batch/offline controls; RAG","false-positive trajectory reuse check","same trace parser as agentic workloads","zero/inert DAG fields and no Option C recommendation","measurement discriminates controls","controls show spurious Option C from logging artifacts","CL-001; CL-010",measurement_design,trajectory_reuse_only
DC-004,CDR-SEM-001,RAG,"raw semantic hit rate versus valid-hit rate","cache_key_hash; semantic_match_score; correctness_label; provenance_id; source_version; invalidation_signal","valid hits are lower than raw hits by measurable false-positive and freshness losses","Option B retained value uses P_hit * P_valid_given_hit rather than raw P_hit","raw hits collapse after correctness and freshness validation","CL-002; CL-008; CL-009",measurement_design,semantic_cache_correctness_risk
DC-004,CDR-SEM-002,RAG,"semantic false-positive rate by match-score bucket","cache_key_hash; semantic_match_score; correctness_label; wrong_reuse_severity","false positives concentrate near marginal semantic match scores","semantic-cache policy can set a safe operating threshold","false-positive loss exceeds recompute avoided at useful hit thresholds","CL-002; CL-006",measurement_design,semantic_cache_correctness_risk
DC-004,CDR-SEM-003,RAG,"stale-hit rate after source version and invalidation changes","cache_key_hash; source_version; invalidation_signal; correctness_label; recovery_action; recovery_latency_ms","stale hits are rejected or recovered before reuse","freshness and invalidation gates preserve Option B value","stale hits pass or recovery exceeds recompute","CL-002; CL-009; CL-010",measurement_design,semantic_cache_invalidation_risk
DC-004,CDR-SEM-004,RAG,"safe hit rate after tenant scope and cache salt enforcement","tenant_scope; cache_salt; cache_key_hash; provenance_id; correctness_label","tenant and salt gates reduce unsafe cross-boundary hits to zero","Option B reuse remains positive after isolation gates","isolation gates eliminate useful hits or unsafe hits pass","CL-002; CL-009",measurement_design,semantic_cache_isolation_risk
DC-004,CDR-SEM-005,RAG,"recovery latency and action after invalid cache hit","recovery_action; recovery_latency_ms; wrong_reuse_severity; correctness_label","recovery cost is bounded and lower than recompute for useful entries","invalid hits can fail closed without erasing retained value","lookup plus validation plus recovery exceeds recompute","CL-002; CL-006",measurement_design,semantic_cache_recovery_risk
DC-004,CDR-SEM-006,RAG,"poisoning or untrusted-provenance rejection rate","provenance_id; tenant_scope; cache_salt; correctness_label; wrong_reuse_severity","untrusted or poisoned entries are rejected before reuse","correctness-sensitive semantic reuse is provenance-safe","untrusted provenance passes in correctness-sensitive paths","CL-002; CL-009",measurement_design,semantic_cache_poisoning_risk
DC-003,CDR-DUR-001,"code-agent loop; verification-heavy; multi-agent branch/merge","durable workspace read and write p50 p95 p99 by size and consistency mode","durable_object_id; object_class; size_bytes; consistency_mode; storage_tier; write_latency_ms; read_latency_ms","tail latency distribution is measurable per object class and consistency mode","durable replay value uses p50 p95 p99 rather than median only","p95 or p99 exceeds recompute avoided for latency-sensitive paths","CL-003; CL-008",measurement_design,durable_replay_tail_risk
DC-003,CDR-DUR-002,"code-agent loop; multi-agent branch/merge","dependency-path max replay latency under fan-in","dependency_path_id; dependency_width; read_latency_ms; consistency_wait_ms; reconstruction_latency_ms","fan-in path latency exposes tail amplification","Option C durable replay remains useful after dependency-width tails","fan-in max path latency erases retained value margin","CL-003; CL-006",measurement_design,durable_dependency_tail_risk
DC-003,CDR-DUR-003,"verification-heavy; code-agent loop","summary-pointer recovery latency and validity","durable_object_id; pointer_valid; reconstruction_latency_ms; read_latency_ms; verifier_evidence_hash","valid pointers reconstruct faster than recompute","summary-plus-pointer replay preserves correctness-sensitive value","invalid pointer or reconstruction p95 exceeds recompute p95","CL-003; CL-006; CL-009",measurement_design,durable_pointer_recovery_risk
DC-003,CDR-DUR-004,"all durable-state workloads","retention horizon and hold-state violations","durable_object_id; durability_horizon; retention_hold_state; replay_authorization_scope; actor_id","expired or unauthorized durable replay is blocked","retention gates make durable replay legally and operationally safe","expired retention without active hold is replayed or credited","CL-003; CL-009; CL-010",measurement_design,durable_retention_risk
DC-003,CDR-DUR-005,"code-agent loop; verification-heavy; multi-agent branch/merge","replay success rate under object-store tail injection","durable_object_id; dependency_path_id; dependency_width; read_latency_ms; consistency_wait_ms; pointer_valid; reconstruction_latency_ms","Option C decision flips when injected tails exceed retained value","durable replay support is robust only below measured p95 p99 deadlines","tail injection causes missed verifier or merge deadlines","CL-003; CL-008; CL-010",measurement_design,durable_tail_injection_risk
DC-006,EXP-PROV-MICRO-001,"RAG; code-agent loop; verification-heavy; multi-agent branch/merge","per-gate provenance validation latency, CPU time, lookup count, and blocked-reuse rate","provenance_id; source_version; invalidation_signal; tenant_scope; cache_salt; actor_id; replay_authorization_scope; verifier_evidence_hash; retention_hold_state; validation_start_time; validation_end_time; validation_gate_ids","PV-01 through PV-08 reject invalid fixtures and stay below retained-value margins","safe object and replay validation can run before retained value is credited","any invalid fixture passes or p95 common-gate overhead exceeds retained-value margin","CL-002; CL-006; CL-009; CL-010",measurement_design,provenance_validation_overhead
