case_id,case_type,source_uncertainty_case_id,constant_id,threshold_id,architecture_option,control_policy,treatment_policy,statistical_threshold_status,point_estimate,threshold_value,control_arm_present,pre_treatment_covariates_declared,comparison_method,workload_mix_smd,object_size_smd,tenant_concurrency_smd,topology_match,model_version_match,cache_warmness_smd,security_deny_rate_delta,time_window_drift_fraction,scheduler_load_smd,positivity_overlap_fraction,post_treatment_covariate_used,randomization_unit,blocking_keys,gatechain_eligible,measurement_valid,evidence_label,expected_causal_status,expected_blocked_reason,notes
invalid-missing-option-a-control,invalid_fixture,valid-confidence-qualified-fixture,DC-002,DC002-RAG-C-p99,Option C,Option A,Option C,robust_pass,7.4,5.5,false,true,blocked_matched,0.03,0.04,0.05,true,true,0.04,0.01,0.03,0.05,0.92,false,blocked_trajectory_window,"workload_class,model_version,topology_bucket,tenant_concurrency_bucket,time_window",false,true,causal_fixture,causally_unidentified,missing_option_a_control,robust statistical threshold pass must fail closed when causal controls or pre-treatment balance are invalid
invalid-workload-mix-mismatch,invalid_fixture,valid-confidence-qualified-fixture,DC-002,DC002-RAG-C-p99,Option C,Option A,Option C,robust_pass,7.4,5.5,true,true,blocked_matched,0.32,0.04,0.05,true,true,0.04,0.01,0.03,0.05,0.92,false,blocked_trajectory_window,"workload_class,model_version,topology_bucket,tenant_concurrency_bucket,time_window",false,true,causal_fixture,causally_confounded,workload_mix_mismatch,robust statistical threshold pass must fail closed when causal controls or pre-treatment balance are invalid
invalid-model-version-mismatch,invalid_fixture,valid-confidence-qualified-fixture,DC-002,DC002-RAG-C-p99,Option C,Option A,Option C,robust_pass,7.4,5.5,true,true,blocked_matched,0.03,0.04,0.05,true,false,0.04,0.01,0.03,0.05,0.92,false,blocked_trajectory_window,"workload_class,model_version,topology_bucket,tenant_concurrency_bucket,time_window",false,true,causal_fixture,causally_confounded,model_version_mismatch,robust statistical threshold pass must fail closed when causal controls or pre-treatment balance are invalid
invalid-topology-mismatch,invalid_fixture,valid-confidence-qualified-fixture,DC-002,DC002-RAG-C-p99,Option C,Option A,Option C,robust_pass,7.4,5.5,true,true,blocked_matched,0.03,0.04,0.05,false,true,0.04,0.01,0.03,0.05,0.92,false,blocked_trajectory_window,"workload_class,model_version,topology_bucket,tenant_concurrency_bucket,time_window",false,true,causal_fixture,causally_confounded,topology_mismatch,robust statistical threshold pass must fail closed when causal controls or pre-treatment balance are invalid
invalid-tenant-concurrency-imbalance,invalid_fixture,valid-confidence-qualified-fixture,DC-002,DC002-RAG-C-p99,Option C,Option A,Option C,robust_pass,7.4,5.5,true,true,blocked_matched,0.03,0.04,0.27,true,true,0.04,0.01,0.03,0.05,0.92,false,blocked_trajectory_window,"workload_class,model_version,topology_bucket,tenant_concurrency_bucket,time_window",false,true,causal_fixture,causally_confounded,tenant_concurrency_imbalance,robust statistical threshold pass must fail closed when causal controls or pre-treatment balance are invalid
invalid-object-size-distribution-shift,invalid_fixture,valid-confidence-qualified-fixture,DC-002,DC002-RAG-C-p99,Option C,Option A,Option C,robust_pass,7.4,5.5,true,true,blocked_matched,0.03,0.24,0.05,true,true,0.04,0.01,0.03,0.05,0.92,false,blocked_trajectory_window,"workload_class,model_version,topology_bucket,tenant_concurrency_bucket,time_window",false,true,causal_fixture,causally_confounded,object_size_distribution_shift,robust statistical threshold pass must fail closed when causal controls or pre-treatment balance are invalid
invalid-cache-warmness-imbalance,invalid_fixture,valid-confidence-qualified-fixture,DC-002,DC002-RAG-C-p99,Option C,Option A,Option C,robust_pass,7.4,5.5,true,true,blocked_matched,0.03,0.04,0.05,true,true,0.29,0.01,0.03,0.05,0.92,false,blocked_trajectory_window,"workload_class,model_version,topology_bucket,tenant_concurrency_bucket,time_window",false,true,causal_fixture,causally_confounded,cache_warmness_imbalance,robust statistical threshold pass must fail closed when causal controls or pre-treatment balance are invalid
invalid-security-deny-rate-shift,invalid_fixture,valid-confidence-qualified-fixture,DC-002,DC002-RAG-C-p99,Option C,Option A,Option C,robust_pass,7.4,5.5,true,true,blocked_matched,0.03,0.04,0.05,true,true,0.04,0.08,0.03,0.05,0.92,false,blocked_trajectory_window,"workload_class,model_version,topology_bucket,tenant_concurrency_bucket,time_window",false,true,causal_fixture,causally_confounded,security_deny_rate_shift,robust statistical threshold pass must fail closed when causal controls or pre-treatment balance are invalid
invalid-time-window-drift,invalid_fixture,valid-confidence-qualified-fixture,DC-002,DC002-RAG-C-p99,Option C,Option A,Option C,robust_pass,7.4,5.5,true,true,blocked_matched,0.03,0.04,0.05,true,true,0.04,0.01,0.21,0.05,0.92,false,blocked_trajectory_window,"workload_class,model_version,topology_bucket,tenant_concurrency_bucket,time_window",false,true,causal_fixture,causally_confounded,time_window_drift,robust statistical threshold pass must fail closed when causal controls or pre-treatment balance are invalid
invalid-post-treatment-covariate-leakage,invalid_fixture,valid-confidence-qualified-fixture,DC-002,DC002-RAG-C-p99,Option C,Option A,Option C,robust_pass,7.4,5.5,true,true,blocked_matched,0.03,0.04,0.05,true,true,0.04,0.01,0.03,0.05,0.92,true,blocked_trajectory_window,"workload_class,model_version,topology_bucket,tenant_concurrency_bucket,time_window",false,true,causal_fixture,causally_unidentified,post_treatment_covariate_leakage,robust statistical threshold pass must fail closed when causal controls or pre-treatment balance are invalid
