milestone_id,cycle,artifact,artifact_type,claim_supported,evidence_level,exists,notes
M1-paper-map,1,docs/paper_map/cycle1_foundational_map.md,report,Paper theorem map and proof architecture,reconstructed,yes,Canonical M1 narrative.
M1-paper-map,1,docs/paper_map/cycle1_dependency_graph.png,figure,Dependency graph for proof architecture,reconstructed,yes,Rendered from DOT source.
M1-paper-map,1,docs/paper_map/cycle1_open_questions.md,report,Initial bottleneck and open-question ledger,reconstructed,yes,Feeds M2/M5.
M2-proof-ledger,2,docs/proof_ledger/theorem1_exponent_flow.md,report,Theorem 1 exponent-flow reconstruction,reconstructed,yes,Tracks Proposition 3.1 to Weyl law.
M2-proof-ledger,2,docs/proof_ledger/weyl_inversion_detail.md,report,Weyl inversion near the spectral edge,reconstructed,yes,Explains alpha_R weakening.
M2-proof-ledger,3,docs/proof_ledger/proposition31_internal_reconstruction.md,report,Two-trace expansion and Markov loss,reconstructed,yes,Localizes q^{2kappa} loss.
M2-proof-ledger,3,docs/proof_ledger/two_trace_expansion_ledger.md,report,Two-trace random-cover statistic ledger,reconstructed,yes,Separates imported inputs.
M2-proof-ledger,3,docs/proof_ledger/markov_loss_reconstruction.md,report,Markov interpolation loss reconstruction,reconstructed,yes,Technical bottleneck.
M2-proof-ledger,4,docs/proof_ledger/delocalization_proof_reconstruction.md,report,Theorem 2 delocalization reconstruction,reconstructed,yes,Pre-trace/fourth-moment pipeline.
M2-proof-ledger,4,docs/proof_ledger/eigenfunction_fourth_moment_ledger.md,report,Fourth-moment and diagonal subtraction ledger,reconstructed,yes,Explains V_n and S.
M2-proof-ledger,4,docs/proof_ledger/pretrace_diagonal_term.md,report,Pre-trace diagonal term analysis,reconstructed,yes,Structural S contribution.
M2-proof-ledger,5,docs/proof_ledger/rigidity_proof_reconstruction.md,report,Unified rigidity proof reconstruction,reconstructed,yes,Canonical M2 Theorem 1 report.
M2-proof-ledger,5,docs/proof_ledger/m2_loss_map.md,report,Cross-proof loss map,reconstructed,yes,Canonical structural/technical/imported split.
M2-proof-ledger,5,docs/proof_ledger/m2_proof_ledger_closure.md,report,M2 closure note,reconstructed,yes,Records imported black boxes.
M3-computational-probes,6,scripts/probe_common_fixed_points.py,script,Common fixed-point permutation probe,numerical_evidence,yes,Baseline random-permutation harness.
M3-computational-probes,6,data/polynomial_method/common_fixed_point_summary.csv,data,Cyclic versus rank-two fixed-point scaling,numerical_evidence,yes,Summary table.
M3-computational-probes,6,reports/computational_probes/m3_common_fixed_point_probe.md,report,Cycle 6 fixed-point probe interpretation,numerical_evidence,yes,Includes null composite-word collapse.
M3-computational-probes,7,scripts/probe_folded_word_graphs.py,script,Folded quotient profile probe,numerical_evidence,yes,Quotient-profile diagnostic.
M3-computational-probes,7,data/polynomial_method/folded_word_graph_summary.csv,data,Folded graph profile summary,numerical_evidence,yes,Rare-event limitation recorded.
M3-computational-probes,7,reports/computational_probes/m3_folded_word_graph_probe.md,report,Folded quotient report,numerical_evidence,yes,Canonical Cycle 7 report.
M3-computational-probes,8,scripts/probe_labelled_graph_embeddings.py,script,Direct labelled-embedding expectation probe,numerical_evidence,yes,Avoids rare-event sparsity.
M3-computational-probes,8,data/polynomial_method/labelled_graph_embedding_summary.csv,data,Labelled embedding summary,numerical_evidence,yes,Contains cyclic/rank-two benchmark pair.
M3-computational-probes,8,reports/computational_probes/m3_labelled_graph_embedding_probe.md,report,Labelled embedding report,numerical_evidence,yes,Documents normalization finding.
M3-computational-probes,9,scripts/probe_polynomial_window_diagnostics.py,script,Polynomial-window fit diagnostics,numerical_evidence,yes,Degree/window conditioning probe.
M3-computational-probes,9,data/polynomial_method/polynomial_window_fit_summary.csv,data,Polynomial-window fit summary,numerical_evidence,yes,Degree 3 stable; degree 6/8 stress.
M3-computational-probes,9,reports/computational_probes/m3_polynomial_window_diagnostics.md,report,Polynomial-window diagnostic report,numerical_evidence,yes,Canonical Cycle 9 report.
M3-computational-probes,10,scripts/probe_schreier_spectral_toy.py,script,Schreier spectral toy model,numerical_evidence,yes,Operator-level toy bridge.
M3-computational-probes,10,data/polynomial_method/schreier_spectral_toy_summary.csv,data,Schreier spectral summary,numerical_evidence,yes,Window counts and trace moments.
M3-computational-probes,10,reports/computational_probes/m3_schreier_spectral_toy.md,report,Schreier spectral toy report,numerical_evidence,yes,States non-hyperbolic scope.
M3-computational-probes,11,reports/computational_probes/m3_computational_probe_synthesis.md,report,M3 synthesis,numerical_evidence,yes,Canonical M3 closure.
M3-computational-probes,11,data/polynomial_method/m3_probe_artifact_index.csv,data,M3 artifact index,numerical_evidence,yes,Zero missing paths at creation.
M3-computational-probes,11,reports/figures/m3_probe_ladder_summary.png,figure,M3 evidence ladder figure,numerical_evidence,yes,Generated by plot_m3_probe_ladder_summary.py.
M4-formal-certification,12,scripts/certify_labelled_embedding_expectation.py,script,Exact labelled-template identity certification,certified,yes,Python exact arithmetic and enumeration.
M4-formal-certification,12,scripts/certify_labelled_embedding_expectation.wls,script,Symbolic special-case identity checks,certified,yes,Historical WLS cross-check; Python remains canonical for final validation.
M4-formal-certification,12,tests/test_labelled_embedding_expectation_identity.py,test,M4 regression tests,certified,yes,Direct python test fallback.
M4-formal-certification,12,data/formal_certification/labelled_embedding_expectation_symbolic.csv,data,Symbolic identity outputs,certified,yes,Generated by Wolfram symbolic cross-check.
M4-formal-certification,12,data/formal_certification/labelled_embedding_expectation_exhaustive.csv,data,Exhaustive enumeration outputs,certified,yes,n <= 4 enumeration.
