candidate_id	raw_scientific_name	accepted_taxon_key	candidate_status	candidate_score	modern_failure_support	morphology_support	candidate_class	primary_citation_short	interpretation_caveat	ambiguity_flag	modern_failure_evidence_status	evidence_queue_action	inferred_anachronism_claim	enters_master_prediction_ledger
T2C0016	Asimina triloba	wfo:wfo-0000552025-2025-12	candidate_pending_validation	0.8	0.5	1.0	north_american_temperate_megafauna_fruit	Barlow2000	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	seed_modern_failure_present	verify cited modern dispersal-failure claim independently before validation	False	False
T2C0018	Diospyros virginiana		data_limited	0.8	0.5	1.0	north_american_temperate_megafauna_fruit	Barlow2000	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	seed_modern_failure_present	verify cited modern dispersal-failure claim independently before validation	False	False
T2C0019	Gymnocladus dioicus		data_limited	0.8	0.5	1.0	north_american_temperate_megafauna_fruit	Barlow2000	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	seed_modern_failure_present	verify cited modern dispersal-failure claim independently before validation	False	False
T2C0017	Maclura pomifera		data_limited	0.8	0.5	1.0	north_american_temperate_megafauna_fruit	Janzen&Martin1982	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	seed_modern_failure_present	verify cited modern dispersal-failure claim independently before validation	False	False
T2C0021	Maclura pomifera		data_limited	0.8	0.5	1.0	north_american_temperate_megafauna_fruit	Barlow2000	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	seed_modern_failure_present	verify cited modern dispersal-failure claim independently before validation	False	False
T2C0011	Crescentia alata		data_limited	0.775	0.5	1.0	neotropical_gomphothere_large_fruit	Janzen&Martin1982	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	seed_modern_failure_present	verify cited modern dispersal-failure claim independently before validation	False	False
T2C0024	Enterolobium cyclocarpum		data_limited	0.775	0.5	1.0	neotropical_gomphothere_large_fruit	Barlow2000	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	seed_modern_failure_present	verify cited modern dispersal-failure claim independently before validation	False	False
T2C0028	Persea americana		data_limited	0.775	0.5	1.0	neotropical_gomphothere_large_fruit	Barlow2000	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	seed_modern_failure_present	verify cited modern dispersal-failure claim independently before validation	False	False
T2C0009	Sideroxylon foetidissimum		data_limited	0.775	0.5	1.0	neotropical_gomphothere_large_fruit	Barlow2000	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	seed_modern_failure_present	verify cited modern dispersal-failure claim independently before validation	False	False
T2C0004	Crataegus laciniata		data_limited	0.7	0.5	1.0	european_browsing_regime	Barlow2000	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	seed_modern_failure_present	verify cited modern dispersal-failure claim independently before validation	False	False
T2C0003	Gleditsia triacanthos		data_limited	0.65	0.5	1.0	north_american_temperate_megafauna_fruit	Barlow2000	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	living_megafauna_compatible_genus	seed_modern_failure_present	verify cited modern dispersal-failure claim independently before validation	False	False
T2C0001	Adansonia grandidieri	wfo:wfo-0000519676-2025-12	insufficient_support	0.55	0.0	1.0	madagascar_elephant_bird_baobab	Bond&Silander2007	hypothesis per Bond W.J., Silander J.A. (Bond&Silander2007); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0002	Adansonia za	wfo:wfo-0000519694-2025-12	insufficient_support	0.55	0.0	1.0	madagascar_elephant_bird_baobab	Bond&Silander2007	hypothesis per Bond W.J., Silander J.A. (Bond&Silander2007); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0006	Annona cherimola	wfo:wfo-0000537707-2025-12	insufficient_support	0.55	0.0	1.0	neotropical_gomphothere_large_fruit	Janzen&Martin1982	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0025	Annona muricata	wfo:wfo-0000537848-2025-12	insufficient_support	0.55	0.0	1.0	neotropical_gomphothere_large_fruit	Guimaraes2008	hypothesis per Guimarães P.R. Jr. et al. (Guimaraes2008); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0023	Bertholletia excelsa	wfo:wfo-0000775013-2025-12	insufficient_support	0.55	0.0	1.0	amazonian_palm_or_ground_sloth_fruit	Hansen&Galetti2009	hypothesis per Hansen D.M., Galetti M. (Hansen&Galetti2009); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0013	Cassia grandis		data_limited	0.55	0.0	1.0	neotropical_gomphothere_large_fruit	Janzen&Martin1982	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0012	Crescentia cujete		data_limited	0.55	0.0	1.0	neotropical_gomphothere_large_fruit	Janzen&Martin1982	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0005	Enterolobium cyclocarpum		data_limited	0.55	0.0	1.0	neotropical_gomphothere_large_fruit	Janzen&Martin1982	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0027	Genipa americana		data_limited	0.55	0.0	1.0	neotropical_gomphothere_large_fruit	Guimaraes2008	hypothesis per Guimarães P.R. Jr. et al. (Guimaraes2008); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0020	Gleditsia triacanthos		data_limited	0.55	0.0	1.0	north_american_temperate_megafauna_fruit	Janzen&Martin1982	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
