step,stage,command,primary_artifact,exists,expected_result,production_boundary
1,foundation,python3 scripts/simulate_memory_policies.py,scripts/simulate_memory_policies.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
2,foundation,python3 scripts/plot_sim_policy_results.py,scripts/plot_sim_policy_results.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
3,scheduling,python3 scripts/evaluate_scheduling_abstractions.py,scripts/evaluate_scheduling_abstractions.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
4,scheduling,python3 scripts/plot_scheduling_abstractions.py,scripts/plot_scheduling_abstractions.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
5,architecture,python3 scripts/synthesize_architecture_package.py,scripts/synthesize_architecture_package.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
6,architecture,python3 scripts/plot_architecture_synthesis.py,scripts/plot_architecture_synthesis.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
7,trace,python3 scripts/generate_agentic_trace_v2.py,scripts/generate_agentic_trace_v2.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
8,trace,python3 scripts/validate_agentic_trace_v2.py,scripts/validate_agentic_trace_v2.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
9,trace,python3 scripts/plot_agentic_trace_v2.py,scripts/plot_agentic_trace_v2.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
10,queueing,python3 scripts/simulate_queueing_overheads.py,scripts/simulate_queueing_overheads.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
11,queueing,python3 scripts/plot_queueing_overheads.py,scripts/plot_queueing_overheads.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
12,compression,python3 scripts/evaluate_compression_strategies.py,scripts/evaluate_compression_strategies.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
13,compression,python3 scripts/plot_compression_strategies.py,scripts/plot_compression_strategies.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
14,runtime,python3 scripts/runtime_prototype.py,scripts/runtime_prototype.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
15,runtime,python3 scripts/plot_runtime_prototype.py,scripts/plot_runtime_prototype.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
16,calibration,python3 scripts/build_calibration_map.py,scripts/build_calibration_map.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
17,calibration,python3 scripts/plot_calibration_map.py,scripts/plot_calibration_map.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
18,security,python3 scripts/evaluate_security_provenance.py,scripts/evaluate_security_provenance.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
19,security,python3 scripts/plot_security_provenance.py,scripts/plot_security_provenance.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
20,energy,python3 scripts/evaluate_energy_economics.py,scripts/evaluate_energy_economics.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
21,energy,python3 scripts/plot_energy_economics.py,scripts/plot_energy_economics.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
22,security-enforcement,python3 scripts/security_enforcement_replay.py,scripts/security_enforcement_replay.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
23,security-enforcement,python3 scripts/plot_security_enforcement.py,scripts/plot_security_enforcement.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
24,planner,python3 scripts/constrained_memory_planner.py,scripts/constrained_memory_planner.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
25,planner,python3 scripts/plot_constrained_memory_planner.py,scripts/plot_constrained_memory_planner.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
26,abi,python3 scripts/build_memory_object_abi.py,scripts/build_memory_object_abi.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
27,abi,python3 scripts/validate_memory_object_abi.py,scripts/validate_memory_object_abi.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
28,abi,python3 scripts/plot_memory_object_abi.py,scripts/plot_memory_object_abi.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
29,abi-integration,python3 scripts/integrate_memory_object_abi.py,scripts/integrate_memory_object_abi.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
30,abi-integration,python3 scripts/plot_memory_object_abi_integration.py,scripts/plot_memory_object_abi_integration.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
31,control-plane-package,python3 scripts/build_architecture_control_plane_progression.py,scripts/build_architecture_control_plane_progression.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
32,control-plane-package,python3 scripts/plot_architecture_control_plane_progression.py,scripts/plot_architecture_control_plane_progression.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
33,dc12-proxy,python3 scripts/local_dc12_proxy_bench.py,scripts/local_dc12_proxy_bench.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
34,dc12-proxy,python3 scripts/apply_dc12_proxy_calibration.py,scripts/apply_dc12_proxy_calibration.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
35,dc12-proxy,python3 scripts/plot_dc12_proxy_calibration.py,scripts/plot_dc12_proxy_calibration.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
36,production-telemetry,python3 scripts/build_production_dc12_fixtures.py,scripts/build_production_dc12_fixtures.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
37,production-telemetry,python3 scripts/ingest_production_dc12_telemetry.py,scripts/ingest_production_dc12_telemetry.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
38,production-telemetry,python3 scripts/plot_production_dc12_telemetry.py,scripts/plot_production_dc12_telemetry.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
39,final-package,python3 scripts/build_final_architecture_package.py,scripts/build_final_architecture_package.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
40,final-package,python3 scripts/plot_final_architecture_package.py,scripts/plot_final_architecture_package.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
41,handoff,python3 scripts/build_campaign_handoff.py,scripts/build_campaign_handoff.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
42,handoff,python3 scripts/plot_campaign_handoff.py,scripts/plot_campaign_handoff.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
43,validation,python3 tests/verify_final_architecture_package.py,tests/verify_final_architecture_package.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
44,validation,python3 tests/verify_campaign_handoff.py,tests/verify_campaign_handoff.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
45,validation,python3 tests/verify_memory_object_abi.py,tests/verify_memory_object_abi.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
46,validation,python3 tests/verify_memory_object_abi_integration.py,tests/verify_memory_object_abi_integration.py,true,regenerates or verifies campaign artifact state,No command can promote synthetic/proxy evidence to production_ready; production_target evidence must pass M-PRODTELEM-1 and M-FINALPKG-1 gates.
