object_class,example,size_driver,lifetime_start,lifetime_end,mutability,reuse_mode,reuse_distance_driver,placement_candidates,compression_candidates,eviction_failure_mode,downstream_model_field
weights,"decoder model weights or adapter weights","parameter count and precision","model loaded or selected","model unloaded, evicted, or replaced","read-mostly","shared across requests, agents, and batches","model popularity and routing locality","HBM/GPU memory; CPU DRAM; pooled memory; NVMe cold tier","quantization; sparsity; adapter separation","cold-start latency, capacity loss, or forced rerouting","weight_residency; model_popularity"
KV cache,"attention keys/values for active context","layers x heads x head_dim x tokens x precision","prefill or decode begins","request/session ends, context is summarized, or branch is discarded","append-only with possible compaction","exact continuation and branch reuse","turn count, context length, branch survival, decode horizon","HBM/GPU memory; CPU DRAM offload; pooled memory","lower precision; paging; summarization boundary; eviction by segment","recompute prefill, lose latency target, or truncate context","token_length; kv_lifetime; context_segment_id"
prefix cache,"system prompt, tool schema, common task prefix","prefix token length and number of reusable variants","prefix first materialized","template changes, model changes, or cache invalidation","read-mostly","exact prefix reuse across sessions or branches","template popularity and workload homogeneity","HBM/GPU memory; CPU DRAM; shared cache service","deduplication; hash indexing; lower precision KV","lost cache hit and repeated prefill","prefix_id; prefix_reuse_count"
retrieved context,"RAG document chunks or source excerpts","chunk count x chunk token length","retrieval result selected","request ends, corpus version invalidates, or project no longer needs it","read-mostly with invalidation","reuse by query locality, corpus popularity, or project locality","query repetition, corpus skew, and source stability","CPU DRAM; NVMe; remote object store; HBM when inserted into prompt","chunk deduplication; embeddings; summaries","stale evidence, repeated retrieval, or lost citation provenance","retrieval_fanout; corpus_version; chunk_reuse"
tool output,"shell output, browser page, database result, test log, solver result","tool result bytes, rows, files, or trace length","tool call returns or stream begins","artifact archived, superseded, or task completes","append or immutable snapshot","reused for verification, reporting, replay, and future prompts","tool-call graph, audit needs, and recomputation cost","CPU DRAM; NVMe; durable workspace; remote store; semantic cache","structured extraction; truncation with pointer; compression","lost reproducibility, expensive rerun, or missing evidence","tool_output_size; recompute_cost; durability_horizon"
intermediate scratch,"parser buffers, planner notes, compiler temp files, generated candidates","working set of tool/runtime step","substep starts","substep completes or result checkpointed","mutable","usually none; sometimes immediate retry reuse","pipeline stage duration and retry probability","HBM/GPU memory; CPU DRAM; local disk temp","streaming; chunking; early discard","memory spike, failed tool step, or rerun","scratch_peak; scratch_duration"
branch state,"speculative plan, candidate answer, candidate patch, branch-local KV","fanout x per-branch context, artifacts, and metadata","branch is forked","branch is merged, abandoned, or promoted","mutable until merge","uncertain future reuse if branch survives or informs merge","branch probability, verifier delay, and merge probability","HBM/GPU memory for hot KV; CPU DRAM; NVMe checkpoint; durable workspace","checkpoint diffing; summaries; delta encoding","lost alternative, duplicate exploration, or biased merge","branch_probability; fanout; merge_probability"
verifier state,"test results, proofs, counterexamples, audit checklist","number of candidates x tests x traces","verification task begins","candidate accepted/rejected and audit state archived","append-mostly","reused across retries, regressions, and final audit","failure rate, validation loop count, and candidate similarity","CPU DRAM; NVMe; durable workspace; HBM when verifier prompt uses it","structured verdicts; trace summarization; deduplication","false confidence, missed counterexample, or repeated validation","validation_loops; verifier_trace_size"
trajectory log,"ordered actions, observations, decisions, prompts, and outputs","steps x observation size x metadata","agent run starts","retention policy expires or run archived","append-only","audit, replay, summarization, and context reconstruction","run length, audit depth, and summarization cadence","CPU DRAM hot index; NVMe; durable workspace; remote log store","summaries with raw pointers; event compaction; indexing","lost auditability, broken resume, or unreproducible result","trajectory_length; audit_horizon"
durable workspace,"files, patches, datasets, plots, checkpoints, reports","artifact bytes and version count","workspace created or first artifact written","project archived or explicitly deleted","mutable with version history","reused across sessions, agents, and reports","project duration, artifact dependencies, and external review","NVMe; remote object store; versioned filesystem; CPU cache for hot files","content-addressing; delta compression; archive tiers","correctness loss, broken dependency, or missing deliverable","durability_horizon; artifact_dependency_graph"
semantic cache entry,"cached answer, embedding result, tool result keyed by meaning","entry payload, embedding size, metadata, and source pointers","result canonicalized and indexed","TTL expires, source invalidates, or confidence revoked","mutable metadata; immutable payload preferred","approximate reuse across similar tasks or sessions","semantic locality, source stability, and confidence threshold","CPU DRAM index; NVMe; remote vector store; HBM only for active prompt materialization","embedding compression; payload summary; pointer storage","stale or semantically wrong reuse","semantic_key; confidence; invalidation_signal"
