workload_class,object_id,object_class,runtime_architecture_option,expected_architecture_option,boundary_match,placement_decision,retention_decision,compression_strategy,eviction_decision,queue_overhead_context,queue_help_claim,queue_harm_case_count,object_runtime_value,trajectory_fabric_value,option_b_net_value,option_c_net_value,evidence_label
RAG,rag:KV_cache:1,KV cache,B_memory_object_aware_runtime,B_memory_object_aware_runtime,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,25,12.8,3.6,10.8,-0.4,synthetic
RAG,rag:prefix_cache:1,prefix cache,B_memory_object_aware_runtime,B_memory_object_aware_runtime,true,place:CPU DRAM,retain_reuse_candidate,lossless_compress,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,25,12.8,3.6,10.8,-0.4,synthetic
RAG,rag:retrieved_context:1,retrieved context,B_memory_object_aware_runtime,B_memory_object_aware_runtime,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,25,12.8,3.6,10.8,-0.4,synthetic
RAG,rag:semantic_cache_entry:1,semantic cache entry,B_memory_object_aware_runtime,B_memory_object_aware_runtime,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,25,12.8,3.6,10.8,-0.4,synthetic
RAG,rag:tool_output:1,tool output,B_memory_object_aware_runtime,B_memory_object_aware_runtime,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,25,12.8,3.6,10.8,-0.4,synthetic
RAG,rag:tool_output:2,tool output,B_memory_object_aware_runtime,B_memory_object_aware_runtime,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,25,12.8,3.6,10.8,-0.4,synthetic
RAG,rag:tool_output:3,tool output,B_memory_object_aware_runtime,B_memory_object_aware_runtime,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,25,12.8,3.6,10.8,-0.4,synthetic
RAG,rag:weights:1,weights,B_memory_object_aware_runtime,B_memory_object_aware_runtime,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,25,12.8,3.6,10.8,-0.4,synthetic
batch summarization/offline inference control,batch_summarization_offline_inference_control:KV_cache:1,KV cache,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,true,place:HBM/GPU memory,retain_baseline_serving_state,keep_hot,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->A_conventional_request_model_kv_serving,none_selected_positive_object_rows,13,0.0,0.0,-2.0,-4.0,synthetic
batch summarization/offline inference control,batch_summarization_offline_inference_control:intermediate_scratch:1,intermediate scratch,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,true,place:CPU DRAM,retain_baseline_serving_state,keep_hot,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->A_conventional_request_model_kv_serving,none_selected_positive_object_rows,13,0.0,0.0,-2.0,-4.0,synthetic
batch summarization/offline inference control,batch_summarization_offline_inference_control:weights:1,weights,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->A_conventional_request_model_kv_serving,none_selected_positive_object_rows,13,0.0,0.0,-2.0,-4.0,synthetic
