annotation_id,target_case_id,merge_status,selected_option,option_a_fallback_executable,option_b_or_c_requires_validated_abi,downstream_memory_action_count,boundary_result
ann_valid_reuse_scope_kv,legacy_kv_cache_uncertain_reuse_scope,abi_admissible,B_memory_object_aware_runtime,false,true,4,validated_annotation_actions
ann_invalid_reuse_scope_widen,legacy_kv_cache_uncertain_reuse_scope,fail_closed,A_conventional_request_model_kv_serving,true,false,0,fail_closed_zero_actions
ann_valid_tenant_security,legacy_retrieved_context_rag,abi_admissible,B_memory_object_aware_runtime,false,true,4,validated_annotation_actions
ann_invalid_tenant_widen,legacy_retrieved_context_rag,fail_closed,A_conventional_request_model_kv_serving,true,false,0,fail_closed_zero_actions
ann_valid_tool_provenance,legacy_tool_output_missing_provenance,abi_admissible,B_memory_object_aware_runtime,false,true,4,validated_annotation_actions
ann_invalid_tool_provenance_mismatch,legacy_tool_output_missing_provenance,fail_closed,A_conventional_request_model_kv_serving,true,false,0,fail_closed_zero_actions
ann_valid_branch_dependency,legacy_branch_state_dangling_parent,abi_admissible,C_trajectory_dag_memory_fabric,false,true,5,validated_annotation_actions
ann_invalid_branch_parent_conflict,legacy_branch_state_dangling_parent,fail_closed,A_conventional_request_model_kv_serving,true,false,0,fail_closed_zero_actions
ann_valid_verifier_integrity,legacy_verifier_state_missing_integrity_annotation,abi_admissible,C_trajectory_dag_memory_fabric,false,true,5,validated_annotation_actions
ann_invalid_verifier_target_mismatch,legacy_verifier_state_missing_integrity_annotation,fail_closed,A_conventional_request_model_kv_serving,true,false,0,fail_closed_zero_actions
ann_valid_compression_safety,legacy_branch_state_dangling_parent,fail_closed,A_conventional_request_model_kv_serving,true,false,0,fail_closed_zero_actions
ann_invalid_lossy_correctness,legacy_branch_state_dangling_parent,fail_closed,A_conventional_request_model_kv_serving,true,false,0,fail_closed_zero_actions
ann_valid_retention_policy,legacy_durable_workspace_missing_retention,abi_admissible,C_trajectory_dag_memory_fabric,false,true,5,validated_annotation_actions
ann_invalid_infinite_retention_no_policy,legacy_durable_workspace_missing_retention,fail_closed,A_conventional_request_model_kv_serving,true,false,0,fail_closed_zero_actions
ann_valid_evidence_label,legacy_kv_cache_uncertain_reuse_scope,fail_closed,A_conventional_request_model_kv_serving,true,false,0,fail_closed_zero_actions
ann_invalid_production_upgrade,legacy_kv_cache_uncertain_reuse_scope,fail_closed,A_conventional_request_model_kv_serving,true,false,0,fail_closed_zero_actions
ann_option_a_none,option_a_opaque_legacy_request,option_a_opaque_fallback,A_conventional_request_model_kv_serving,true,false,0,opaque_execute
