object_class,base_size_symbol,growth_driver,birth_event,death_event,reuse_process,survival_parameter,eviction_cost_type,special_case_behavior
weights,S_w,model_parameter_count_x_precision,model_load_or_route,model_unload_or_eviction,model_popularity_reuse,p_model_hot,cold_start_or_reroute,ordinary_serving_keeps_only_weights_plus_KV_when_other_reuse_terms_zero
KV cache,s_kv,T_tokens_until_context_cap,prefill_or_decode_start,session_end_summary_or_branch_discard,exact_continuation_or_branch_reuse,p_session_alive,prefill_recompute_or_context_truncation,context_saturation_T_equals_T_max_caps_live_bytes_at_s_kv_T_max
prefix cache,S_prefix,prefix_token_length_x_variant_count,prefix_materialized,template_model_or_cache_invalidation,poisson_exact_reuse_lambda_prefix,p_prefix_valid,repeated_prefill,no_reuse_lambda_0_gives_zero_reuse_value_pinned_prefix_gives_reuse_probability_1
retrieved context,S_ret,chunk_count_x_chunk_tokens,retrieval_result_selected,request_end_or_corpus_invalidation,query_or_corpus_locality_lambda_ret,p_corpus_valid,repeated_retrieval_or_stale_evidence,no_reuse_or_invalid_corpus_collapses_to_request_local_context
tool output,S_tool,tool_result_bytes_rows_files_or_trace,tool_call_returns,artifact_archive_supersession_or_task_end,verification_report_or_replay_reuse_lambda_tool,p_tool_reused,lost_provenance_or_expensive_rerun,zero_audit_reuse_makes_output_transient_scratch_like
intermediate scratch,S_scratch,working_set_peak_for_substep,substep_start,substep_complete_or_checkpoint,retry_local_reuse_lambda_retry,p_retry,rerun_or_memory_spike,zero_retry_probability_makes_state strictly_transient
branch state,s_b,fanout_x_per_branch_context_artifacts_metadata,branch_fork,branch_merge_abandon_or_promote,survival_and_merge_conditioned_reuse,p_s,lost_alternative_duplicate_exploration_or_biased_merge,p_s_0_gives_zero_branch_bytes_f_1_gives_single_candidate_case
verifier state,S_verifier,candidates_x_tests_x_traces,verification_start,candidate_accept_reject_or_audit_archive,retry_regression_and_counterexample_reuse,p_verifier_needed,missed_counterexample_or_repeated_validation,verifier_delay_0_or_candidate_count_0_removes_verifier_residency
trajectory log,g_traj,steps_x_observation_size_x_metadata,agent_run_start,retention_expiry_or_archive,audit_replay_resume_reuse,p_audit_needed,lost_auditability_or_broken_resume,zero_audit_horizon_collapses_to_no_durable_trajectory_state
durable workspace,D_0,g_d_artifact_growth_rate,workspace_create_or_first_artifact,project_archive_or_delete,project_session_cross_agent_reuse,H,correctness_loss_or_broken_dependency,g_d_0_leaves_only_initial_workspace_bytes_context_cap_does_not_remove_durable_state
semantic cache entry,S_sem,entry_payload_embedding_metadata,result_canonicalized_and_indexed,ttl_expiry_source_invalidation_or_confidence_revoked,semantic_locality_lambda_sem,p_sem_valid,stale_or_semantically_wrong_reuse,no_reuse_or_invalid_source_removes_approximate_cache_value
