rank,component_id,name,category,evidence_level,update_interval_days,reuse_volume,update_stability,approximation_tolerance,integration_complexity,energy_upside_vs_baseline,software_baseline_resistance,evidence_quality,total_score,baseline_penalty,recommended_next_target,baseline_comparison,rationale,falsifier
1,safety_filter,Fixed safety/filter classifier submodels,candidate,inferred,180,4.4,4.3,3.8,4.0,3.396,3.18,3.0,3.775,0.372,True,"Programmable accelerators are strong, but isolation and fallback make fixed or semi-fixed safety filters testable.","Small repeated classifiers can be long-lived, isolated, and tolerant of conservative fallback.",Demote if policy churn forces weekly updates or false-positive/negative cost requires full programmable execution.
2,wake_router,Small always-on wake-word or router models,candidate,inferred,365,3.9,4.6,4.0,4.2,3.103,3.28,3.1,3.772,0.372,False,Programmable accelerator cost may dominate for always-on tiny models; fixed local logic has a plausible idle-energy niche.,"Always-on routing has stable weights, simple interfaces, and high aggregate reuse despite small per-request work.",Demote if the router must track fast-changing model menus or if CPU/NPU idle states already match the energy target.
3,rerank_transform,Repeated retrieval/reranking feature transforms,candidate,inferred,120,4.2,4.0,3.5,3.7,3.281,2.98,2.8,3.545,0.372,False,"Software caching helps, but repeated feature transforms can remain hot across requests.",Reranking pipelines often reuse stable transforms at high volume and can fall back to programmable paths.,Demote if workload-specific feature changes dominate or batching/caching erases memory movement.
4,moe_router,Mixture-of-experts router or dispatch logic,candidate,modeled,90,4.5,3.5,3.2,3.6,2.866,2.78,2.7,3.354,0.372,False,"Software runtimes already optimize dispatch, so credit only the stable high-volume router core.","Routers are reused heavily and smaller than experts, but integration with dynamic serving is nontrivial.",Demote if expert churn or load balancing changes the router distribution faster than quarterly.
5,rope_transform,Positional encoding / RoPE / deterministic transform support,candidate,inferred,365,4.0,4.7,3.6,4.0,1.547,1.18,3.0,3.163,0.372,False,Deterministic transforms are easy to optimize in software or programmable logic; physicalized weights add little.,"This is stable and reusable, but it is not obviously weight-dominated.",Demote if profiling shows negligible memory/energy share versus attention and KV movement.
6,lora_adapter,Domain-specific adapter or LoRA blocks with slow update cadence,candidate,modeled,90,3.6,3.4,3.0,3.1,2.836,2.38,2.6,3.023,0.372,False,The software-optimized baseline is dangerous here because adapters are already compact and easy to swap.,"Some long-lived enterprise adapters have enough stability to justify semi-fixed treatment, not permanent masks.",Demote if tenant-specific updates are monthly or if memory savings from adapter caching reaches 50%.
7,embedding_table,Fixed or slowly changing embedding tables for constrained vocabularies/domains,candidate,inferred,180,3.5,3.9,2.5,2.8,2.921,2.18,2.5,2.957,0.372,False,Programmable memory hierarchy improvements compete directly; only constrained stable vocabularies survive.,"Constrained domains can make table storage stable and reusable, but vocabulary churn is a major risk.",Demote if vocabulary/logit head variants churn or if compression/caching removes the movement bottleneck.
8,quant_scale,Quantization/dequantization and scaling constants,candidate,inferred,180,4.1,3.8,2.2,3.9,1.962,1.38,2.8,2.907,0.372,False,"Quantization is already a software/compiler strength, so fixed constants alone get limited credit.","Constants are stable and easy to integrate, but energy upside may be too small for a dedicated substrate.",Demote if compiler fusion removes standalone movement or if formats change per model family.
9,projection_block,Frozen first-layer projections or low-rank projection blocks,candidate,modeled,180,3.2,3.7,2.8,2.9,2.714,2.08,2.5,2.88,0.372,False,"Programmable accelerators handle dense projections well, so physicalization must exploit exceptional reuse or locality.","Projection blocks are static and simple, but they are deeply coupled to model layout.",Demote if accelerator matrix units keep the block bandwidth-local or if model revisions alter dimensions.
10,kv_compress,KV-cache compression/decompression transforms,candidate,speculative,60,4.0,2.6,2.7,2.4,3.091,1.78,2.0,2.718,0.372,False,Software/runtime KV management is a core null-hypothesis strength; fixed transforms need robust cross-model reuse.,"KV traffic is important, but context-dependent behavior makes fixed physicalization risky.",Demote if quality loss is prompt-dependent or runtime compression policies change frequently.
11,frontier_dense,Full frontier LLM dense weights burned permanently into fixed logic,anti-target,modeled,14,4.8,0.8,0.8,0.3,3.657,0.0,2.6,1.377,0.372,False,"Even if per-request energy looks attractive, update cadence, yield, stranded capital, and programmable baselines dominate.",Superficially large energy upside fails the null because the entire model is high-churn and hard to repair.,"Promote only with evidence of multi-year frozen weights, extreme volume, repairability, and no competitive programmable path."
12,tenant_finetune,Frequently updated tenant-specific fine-tunes or adapters,anti-target,modeled,7,2.0,0.6,1.8,1.7,2.187,0.38,2.7,1.127,0.372,False,Software adapter loading and routing are designed for this case; fixed substrates strand value quickly.,Update churn prevents amortization even if adapters are small.,Promote only if a tenant model freezes for quarters and reaches high shared reuse.
13,vocab_head_churn,High-churn vocabulary/logit-head variants,anti-target,speculative,14,2.6,0.8,1.5,1.2,2.295,0.48,2.1,1.126,0.372,False,Tokenizer/head churn is exactly where software indirection and table updates are cheap.,Variants look table-like but update and SKU fragmentation erase the fixed-weight case.,Promote only for a constrained vocabulary with stable deployment and high shared traffic.
14,dynamic_attention,Dynamic attention over live context as fixed physical logic,anti-target,inferred,1,4.7,0.4,0.7,0.5,1.0,0.28,2.5,1.045,0.372,False,KV/cache software and programmable accelerators are the right baseline; live context is not static weight state.,Attention dataflow is important but too dynamic to burn as fixed weights.,Promote only for a narrow fixed transform inside attention with measured stability and fallback.
15,training_state,Training/optimizer state and gradient computation,anti-target,inferred,0.1,0.8,0.1,0.3,0.4,0.85,0.0,2.8,0.472,0.372,False,This is not inference weight reuse; programmable training systems remain the relevant substrate.,Optimizer state mutates continuously and cannot amortize fixed physicalization.,Promote only if the scope changes to inference-only frozen auxiliary weights.
