"expression","special_point","symbolic_result","interpretation","memory_centric_implication"
"queue_delay","lambda_s_equals_0","0","Idle coordination service contributes zero queueing delay.","rules out fixed overhead when trace has no events"
"queue_delay","mu_s_to_infinity","0","Infinite service capacity removes queueing delay.","low-overhead winners should match prior architecture boundary"
"queue_delay","lambda_s_approaches_mu_s","Infinity","Queue delay diverges at saturation.","object/DAG options must reverse near saturation"
"option_b","zero_metadata_latency","BenefitObject - (lambdaMigration*Omigration)/(muMigration*(-lambdaMigration + muMigration))","Registry and object-policy queues collapse; migration may still matter.","isolates movement from metadata overhead"
"option_b","no_migrations","BenefitObject - (lambdaPolicy*Opolicy)/(muPolicy*(-lambdaPolicy + muPolicy)) - (lambdaRegistry*Oregistry)/(muRegistry*(-lambdaRegistry + muRegistry))","Migration queue is removed from Option B incremental cost.","tests object registry/policy alone"
"option_c","zero_branch_width","BenefitDag - (lambdaDurable*Odurable)/(muDurable*(-lambdaDurable + muDurable)) - (lambdaPreempt*Opreempt)/(muPreempt*(-lambdaPreempt + muPreempt)) - (lambdaVerifier*Overifier*VerifierDelay)/(muVerifier*(-lambdaVerifier + muVerifier))","DAG coordination term collapses, verifier/durable/preemption may remain.","controls and RAG should not require trajectory coordination"
"option_c","zero_verifier_delay","BenefitDag - (DAGWidth*lambdaDag*Odag)/(muDag*(-lambdaDag + muDag)) - (lambdaDurable*Odurable)/(muDurable*(-lambdaDurable + muDurable)) - (lambdaPreempt*Opreempt)/(muPreempt*(-lambdaPreempt + muPreempt))","Verifier synchronization term collapses.","verification-specific advantage must shrink if verifier waits vanish"
"option_c","zero_durable_writes","BenefitDag - (DAGWidth*lambdaDag*Odag)/(muDag*(-lambdaDag + muDag)) - (lambdaPreempt*Opreempt)/(muPreempt*(-lambdaPreempt + muPreempt)) - (lambdaVerifier*Overifier*VerifierDelay)/(muVerifier*(-lambdaVerifier + muVerifier))","Durable consistency queue is removed.","durable overhead should not appear without durable events"
"winner","equal_retained_value_zero","{-((lambdaMigration*Omigration)/(muMigration*(-lambdaMigration + muMigration))) - (lambdaPolicy*Opolicy)/(muPolicy*(-lambdaPolicy + muPolicy)) - (lambdaRegistry*Oregistry)/(muRegistry*(-lambdaRegistry + muRegistry)), -((DAGWidth*lambdaDag*Odag)/(muDag*(-lambdaDag + muDag))) - (lambdaDurable*Odurable)/(muDurable*(-lambdaDurable + muDurable)) - (lambdaPreempt*Opreempt)/(muPreempt*(-lambdaPreempt + muPreempt)) - (lambdaVerifier*Overifier*VerifierDelay)/(muVerifier*(-lambdaVerifier + muVerifier))}","With no retained-value difference, extra coordination only hurts.","lower-overhead architecture should win"
"option_b","infinite_metadata_latency","-Infinity","Registry saturation drives Option B below Option A.","rules out non-falsifiable object scheduling"
"option_c","saturated_dag_service","-Infinity","DAG saturation drives Option C below Option B.","rules out non-falsifiable trajectory scheduling"
