artifact_path,artifact_type,milestone_id,invariant_name,expected_value,observed_value,status,notes
physicalized-weights/data/phase2_synthesis_summary.json,json,M-SYNTH-2,current_superiority_claim_count,0,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/phase2_synthesis_summary.json,json,M-SYNTH-2,actual_reopen_candidate_count,0,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/phase2_synthesis_summary.json,json,M-SYNTH-2,new_reopen_gate_count,0,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/phase2_synthesis_summary.json,json,M-SYNTH-2,current_artifacts_reopen,false,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/phase2_synthesis_summary.json,json,M-SYNTH-2,performance_claim_reopened,false,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/phase3_reopen_summary.json,json,M-PHASE3-SYNTH-1,current_superiority_claim_count,0,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/phase3_reopen_summary.json,json,M-PHASE3-SYNTH-1,actual_reopen_candidate_count,0,0,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/phase3_reopen_summary.json,json,M-PHASE3-SYNTH-1,new_reopen_gate_count,0,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/phase3_reopen_summary.json,json,M-PHASE3-SYNTH-1,current_artifacts_reopen,false,false,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/phase3_reopen_summary.json,json,M-PHASE3-SYNTH-1,performance_claim_reopened,false,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/phase4_reopen_summary.json,json,M-PHASE4-SYNTH-1,current_superiority_claim_count,0,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/phase4_reopen_summary.json,json,M-PHASE4-SYNTH-1,actual_reopen_candidate_count,0,0,consistent,Endpoint field agrees with campaign invariant.
