adapter_id,collector_category,stream_class,required,input_contract,emitted_schema_fields,derived_schema_fields,required_join_keys,clock_contract,provenance_contract,preflight_checks,coverage_status,evidence_label_allowed,production_target_allowed,fail_closed_policy
adapter-accelerator-energy-power-counters,accelerator energy/power counters,accelerator energy/power counters,true,newline-delimited records or CSV rows with common join envelope and stream payload,joules_measured; power_counter_source; energy_noise_floor_j; accelerator_type; interval_ms; power_interval_start_ms; power_interval_end_ms,energy_per_byte_j = joules_measured / bytes_moved after byte join,interval_id; object_id; run_id; security_context_id; tenant_id; topology_id; workload_id,single monotonic collector clock or bounded clock offset <= 10% of interval_ms,collector_instance_id; collector_trust_domain; adapter_version; fixture_source,PF-002,covered,synthetic_adapter_fixture,false,"missing join key, unknown provenance, stale security context, or clock mismatch blocks normalization"
adapter-host-energy-power-counters,host energy/power counters,host energy/power counters,true,newline-delimited records or CSV rows with common join envelope and stream payload,joules_measured; power_counter_source; energy_noise_floor_j; interval_ms; power_interval_start_ms; power_interval_end_ms,host_energy_share_j when accelerator-only counters are incomplete,interval_id; object_id; run_id; security_context_id; tenant_id; topology_id; workload_id,single monotonic collector clock or bounded clock offset <= 10% of interval_ms,collector_instance_id; collector_trust_domain; adapter_version; fixture_source,PF-003,covered,synthetic_adapter_fixture,false,"missing join key, unknown provenance, stale security context, or clock mismatch blocks normalization"
adapter-source-destination-tier-byte-counters,source/destination tier byte counters,source/destination tier byte counters,true,newline-delimited records or CSV rows with common join envelope and stream payload,source_tier; destination_tier; bytes_moved; resident_bytes; byte_interval_start_ms; byte_interval_end_ms,tier_pair = source_tier + '->' + destination_tier,interval_id; object_id; run_id; security_context_id; tenant_id; topology_id; workload_id,single monotonic collector clock or bounded clock offset <= 10% of interval_ms,collector_instance_id; collector_trust_domain; adapter_version; fixture_source,PF-004,covered,synthetic_adapter_fixture,false,"missing join key, unknown provenance, stale security context, or clock mismatch blocks normalization"
adapter-cxl-or-pooled-memory-latency-p50-p95-p99,CXL or pooled-memory latency p50/p95/p99,CXL or pooled-memory latency p50/p95/p99,true,newline-delimited records or CSV rows with common join envelope and stream payload,latency_p50_us; latency_p95_us; latency_p99_us; hardware_topology_id; topology_scope,tail_penalty_us = latency_p99_us - latency_p50_us,interval_id; object_id; run_id; security_context_id; tenant_id; topology_id; workload_id,single monotonic collector clock or bounded clock offset <= 10% of interval_ms,collector_instance_id; collector_trust_domain; adapter_version; fixture_source,PF-005,covered,synthetic_adapter_fixture,false,"missing join key, unknown provenance, stale security context, or clock mismatch blocks normalization"
adapter-queue-depth-and-tenant-concurrency,queue depth and tenant concurrency,queue depth and tenant concurrency,true,newline-delimited records or CSV rows with common join envelope and stream payload,tenant_count; queue_depth; production_target_id; hardware_topology_id,tenant_id; interval_concurrency_class,interval_id; object_id; run_id; security_context_id; tenant_id; topology_id; workload_id,single monotonic collector clock or bounded clock offset <= 10% of interval_ms,collector_instance_id; collector_trust_domain; adapter_version; fixture_source,PF-006,covered,synthetic_adapter_fixture,false,"missing join key, unknown provenance, stale security context, or clock mismatch blocks normalization"
adapter-workload-object-classification,workload/object classification,workload/object classification,true,newline-delimited records or CSV rows with common join envelope and stream payload,workload_class; object_class; measurement_run_id; production_target_id; fixture_id; fixture_class; notes,workload_id; object_id; interval_id,interval_id; object_id; run_id; security_context_id; tenant_id; topology_id; workload_id,single monotonic collector clock or bounded clock offset <= 10% of interval_ms,collector_instance_id; collector_trust_domain; adapter_version; fixture_source,PF-007,covered,synthetic_adapter_fixture,false,"missing join key, unknown provenance, stale security context, or clock mismatch blocks normalization"
adapter-reuse-decision-and-architecture-option,reuse decision and architecture option,reuse decision and architecture option,true,newline-delimited records or CSV rows with common join envelope and stream payload,architecture_option; reuse_decision; calibration_candidate; claimed_reuse_credit; claimed_energy_credit_j; constant_id; threshold_id,planner_decision_id,interval_id; object_id; run_id; security_context_id; tenant_id; topology_id; workload_id,single monotonic collector clock or bounded clock offset <= 10% of interval_ms,collector_instance_id; collector_trust_domain; adapter_version; fixture_source,PF-008,covered,synthetic_adapter_fixture,false,"missing join key, unknown provenance, stale security context, or clock mismatch blocks normalization"
adapter-security-provenance-retention-verifier-gates,security/provenance/retention/verifier gates,security/provenance/retention/verifier gates,true,newline-delimited records or CSV rows with common join envelope and stream payload,security_allowed; provenance_valid; retention_valid; verifier_valid,security_context_id; provenance_chain_id; verifier_run_id,interval_id; object_id; run_id; security_context_id; tenant_id; topology_id; workload_id,single monotonic collector clock or bounded clock offset <= 10% of interval_ms,collector_instance_id; collector_trust_domain; adapter_version; fixture_source,PF-009,covered,synthetic_adapter_fixture,false,"missing join key, unknown provenance, stale security context, or clock mismatch blocks normalization"
adapter-interval-alignment-and-noise-floor-metadata,interval alignment and noise-floor metadata,interval alignment and noise-floor metadata,true,newline-delimited records or CSV rows with common join envelope and stream payload,measurement_run_id; evidence_label; production_target_id; interval_ms; energy_noise_floor_j; byte_interval_start_ms; byte_interval_end_ms; power_interval_start_ms; power_interval_end_ms,run_id; interval_id; clock_offset_ms; counter_resolution,interval_id; object_id; run_id; security_context_id; tenant_id; topology_id; workload_id,single monotonic collector clock or bounded clock offset <= 10% of interval_ms,collector_instance_id; collector_trust_domain; adapter_version; fixture_source,PF-001; PF-010,covered,synthetic_adapter_fixture,false,"missing join key, unknown provenance, stale security context, or clock mismatch blocks normalization"
adapter-topology-inventory,topology inventory,topology inventory,true,deployment inventory records keyed by topology_id and joined to every interval envelope,hardware_topology_id; accelerator_type; topology_scope; production_target_id,topology_id,interval_id; object_id; run_id; security_context_id; tenant_id; topology_id; workload_id,topology inventory version must be valid for the measurement interval,collector_instance_id; collector_trust_domain; adapter_version; fixture_source,PF-001,covered,synthetic_adapter_fixture,false,missing or untrusted topology inventory blocks calibration and architecture-option attribution
