case_id,redaction_admissible,existing_gatechain_allowed,export_quality_precondition_only,production_calibrated,production_ready,claim_credit_allowed,boundary_reason
valid-minimal-redaction-fixture,true,false,true,false,false,false,redaction_export_quality_precondition_only
invalid-unknown-source-fixture,false,false,true,false,false,false,unknown_source_fixture_id
invalid-missing-source-fixture,false,false,true,false,false,false,missing_source_fixture_id
invalid-unsupported-evidence-label,false,false,true,false,false,false,unsupported_evidence_label
invalid-missing-evidence-label,false,false,true,false,false,false,unsupported_evidence_label
invalid-empty-redaction-policy,false,false,true,false,false,false,missing_tenant_pseudonym
invalid-all-fields-raw,false,false,true,false,false,false,raw_tenant_identifier_leaked
invalid-all-fields-suppressed,false,false,true,false,false,false,missing_tenant_pseudonym
invalid-missing-tenant-pseudonym,false,false,true,false,false,false,missing_tenant_pseudonym
invalid-unstable-object-pseudonym,false,false,true,false,false,false,unstable_object_pseudonym_across_intervals
invalid-removed-workload-label,false,false,true,false,false,false,removed_workload_label
invalid-topology-overcoarsened,false,false,true,false,false,false,topology_coarsened_past_threshold_replay
invalid-suppressed-security-context,false,false,true,false,false,false,suppressed_security_context
invalid-removed-noise-metadata,false,false,true,false,false,false,removed_measurement_noise_metadata
invalid-redacted-clock-domain,false,false,true,false,false,false,redacted_clock_domain
invalid-raw-tenant-identifier,false,false,true,false,false,false,raw_tenant_identifier_leaked
invalid-raw-tool-output-uri,false,false,true,false,false,false,raw_tool_output_uri_leaked
invalid-join-key-collision,false,false,true,false,false,false,irreversible_join_key_collision
invalid-negative-join-key-collision,false,false,true,false,false,false,negative_join_key_collision_count
invalid-nonnumeric-join-key-collision,false,false,true,false,false,false,invalid_join_key_collision_count
invalid-fixture-attempted-production-calibration,false,false,true,false,false,false,fixture_attempted_production_calibration
