case_id,object_id,object_class,selected_option,abi_status,primary_reason,admitted_to_runtime,runtime_action_count,planner_action_count,downstream_memory_action_count,placement_policy,selected_tier,runtime_prototype_consistency,constrained_planner_consistency,integration_source,option_boundary,production_calibrated,production_ready,threshold_success,causal_validity_granted,claim_credit_allowed
valid_retrieved_context,obj_retrieved_context,retrieved context,B_memory_object_aware_runtime,accepted,planner_admissible,true,4,4,4,residency_hint,CPU DRAM,supported_by_runtime_policy_decisions,supported_by_memory_plan_actions,abi_validation_plus_runtime_policy_decisions_plus_memory_plan_actions,object_admitted,false,false,false,false,false
valid_branch_state,obj_branch_state,branch state,C_trajectory_dag_memory_fabric,accepted,planner_admissible,true,5,5,5,residency_hint,CPU DRAM,supported_by_runtime_policy_decisions,supported_by_memory_plan_actions,abi_validation_plus_runtime_policy_decisions_plus_memory_plan_actions,object_admitted,false,false,false,false,false
missing_object_class,bad_object_class,opaque request/model/KV serving state,B_memory_object_aware_runtime,rejected,missing_object_class,false,0,0,0,none_fail_closed,not_placed,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,abi_validation_plus_runtime_policy_decisions_plus_memory_plan_actions,abi_rejected,false,false,false,false,false
tenant_reuse_scope_mismatch,tenant_reuse_scope_mismatch,semantic cache entry,B_memory_object_aware_runtime,rejected,tenant_reuse_scope_mismatch,false,0,0,0,none_fail_closed,not_placed,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,abi_validation_plus_runtime_policy_decisions_plus_memory_plan_actions,abi_rejected,false,false,false,false,false
dangling_branch_parent,dangling_branch_parent,branch state,C_trajectory_dag_memory_fabric,rejected,dangling_branch_parent,false,0,0,0,none_fail_closed,not_placed,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,abi_validation_plus_runtime_policy_decisions_plus_memory_plan_actions,abi_rejected,false,false,false,false,false
lossy_compression_correctness_critical,lossy_compression_correctness_critical,verifier state,C_trajectory_dag_memory_fabric,rejected,lossy_compression_for_correctness_critical_object,false,0,0,0,none_fail_closed,not_placed,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,abi_validation_plus_runtime_policy_decisions_plus_memory_plan_actions,abi_rejected,false,false,false,false,false
missing_advisory_residency_hint,bad_advisory_residency_hint,retrieved context,B_memory_object_aware_runtime,accepted,planner_admissible,true,4,4,4,default_no_residency_hint,CPU DRAM,supported_by_runtime_policy_decisions,supported_by_memory_plan_actions,abi_validation_plus_runtime_policy_decisions_plus_memory_plan_actions,object_admitted,false,false,false,false,false
durable_retention_without_policy,durable_retention_without_policy,durable workspace artifact,C_trajectory_dag_memory_fabric,rejected,durable_retention_without_policy,false,0,0,0,none_fail_closed,not_placed,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,abi_validation_plus_runtime_policy_decisions_plus_memory_plan_actions,abi_rejected,false,false,false,false,false
production_evidence_label_in_runtime_abi,production_evidence_label_in_runtime_abi,retrieved context,B_memory_object_aware_runtime,rejected,production_evidence_label_not_runtime_abi,false,0,0,0,none_fail_closed,not_placed,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,abi_validation_plus_runtime_policy_decisions_plus_memory_plan_actions,abi_rejected,false,false,false,false,false
option_a_opaque_baseline,,opaque request/model/KV serving state,A_conventional_request_model_kv_serving,accepted,option_a_opaque,true,1,1,0,default_first_allowed_tier,not_placed,opaque_supported_by_runtime_policy_decisions,opaque_supported_by_memory_plan_actions,abi_validation_plus_runtime_policy_decisions_plus_memory_plan_actions,opaque_baseline,false,false,false,false,false
