case_id,observed_status,currently_supportable_lifecycle_state,production_calibrated,production_ready,threshold_success,causal_validity_granted,claim_credit_allowed,claim_lifecycle_boundary_only
fresh_prior_production_replay,currently_supportable,true,false,false,false,false,false,true
t0_without_upstream_production,not_production_supported,false,false,false,false,false,false,true
dry_run_fixture_attempt,not_production_supported,false,false,false,false,false,false,true
synthetic_proxy_attempt,not_production_supported,false,false,false,false,false,false,true
age_exceeds_policy_ttl,expired,false,false,false,false,false,false,true
age_equals_policy_ttl,expired,false,false,false,false,false,false,true
model_version_changed,invalidated_by_change,false,false,false,false,false,false,true
topology_changed,invalidated_by_change,false,false,false,false,false,false,true
workload_mix_outside_overlap,revalidation_required,false,false,false,false,false,false,true
scheduler_policy_changed,revalidation_required,false,false,false,false,false,false,true
memory_tier_regime_shifted,revalidation_required,false,false,false,false,false,false,true
collector_rotated_without_reenrollment,invalidated_by_change,false,false,false,false,false,false,true
trust_policy_rotated,invalidated_by_change,false,false,false,false,false,false,true
security_deny_rate_drifted,revalidation_required,false,false,false,false,false,false,true
redaction_policy_changed,invalidated_by_change,false,false,false,false,false,false,true
uncertainty_interval_widened,revalidation_required,false,false,false,false,false,false,true
causal_controls_not_comparable,revalidation_required,false,false,false,false,false,false,true
copied_old_replay_after_drift,revalidation_required,false,false,false,false,false,false,true
