claim_id,claim,claim_type,readiness_label,production_ready,evidence_classes,gate_status,basis,supporting_artifacts,falsification_condition
CL-001,"Control workloads with no durable, branch, or cross-request reuse variables collapse to conventional Option A serving.",validated_artifact,validated_mechanism,false,validated_artifact; ,fail_closed_without_production_target,validated by prior milestone artifacts but not production telemetry,data/runtime_workload_summary.csv; data/queueing_architecture_winners.csv; data/scheduling_regime_winners.csv,A control trace shows positive non-KV retained value and valid reuse that beats Option A under overheads.
CL-002,"RAG-like workloads justify Option B when retrieved-context, semantic-cache, or prefix reuse survives provenance and freshness checks.",simulated,synthetic_supported,false,simulated; ,fail_closed_without_production_target,"supported by simulation, synthetic sensitivity, or synthetic enforcement evidence",data/runtime_workload_summary.csv; data/compression_workload_summary.csv; data/security_workload_summary.csv,Measured stale/false-positive or validation costs make safe object reuse consistently negative.
CL-003,"Option C is justified only when branch survival, verifier state, trajectory logs, and durable workspace state create retained value after coordination costs.",simulated,synthetic_supported,false,simulated; ,fail_closed_without_production_target,"supported by simulation, synthetic sensitivity, or synthetic enforcement evidence",data/runtime_workload_summary.csv; data/queueing_architecture_winners.csv; data/security_workload_summary.csv,Production traces show low trajectory reuse or high DAG overhead so C loses to B/A.
CL-004,High object-registry overhead can reverse both Option B and C to Option A.,simulated,host_local_proxy_only,false,simulated; host_local_proxy; synthetic_production_fixture,fail_closed_without_production_target,host-local proxy evidence exists but cannot calibrate production claims,data/queueing_architecture_winners.csv; memory-centric-agentic/queueing_model.md,Measured metadata services remain below reversal thresholds at target load.
CL-005,High DAG/verifier/durable coordination overhead can reverse Option C to Option B.,simulated,host_local_proxy_only,false,simulated; host_local_proxy; synthetic_production_fixture,fail_closed_without_production_target,host-local proxy evidence exists but cannot calibrate production claims,data/queueing_architecture_winners.csv,Measured DAG coordination overhead is small relative to branch/verifier retained value.
CL-006,Compression/offload must be representation-safe before byte savings are counted.,validated_artifact,validated_mechanism,false,validated_artifact; ,fail_closed_without_production_target,validated by prior milestone artifacts but not production telemetry,data/compression_safety_failures.csv; data/compression_best_strategy_by_object.csv; memory-centric-agentic/compression_model.md,A lossy strategy without recovery preserves correctness across replay/merge/verification fixtures.
CL-007,Current compression/offload settings do not preserve queue thresholds under synthetic coefficients.,simulated,synthetic_supported,false,simulated; ,fail_closed_without_production_target,"supported by simulation, synthetic sensitivity, or synthetic enforcement evidence",data/compression_object_queue_interactions.csv; data/compression_queue_interactions.csv,Measured reconstruction/metadata costs are low enough to create positive object-level queue relief.
CL-008,"Public sources calibrate HBM capacity/bandwidth, fabric capability, PCIe capability, and some workload/cache mechanisms, but not core agentic reuse distributions.",sourced,synthetic_supported,false,sourced; ,fail_closed_without_production_target,"supported by simulation, synthetic sensitivity, or synthetic enforcement evidence",REFERENCES.md; data/calibration_memory_tiers.csv; data/calibration_workload_evidence.csv; data/calibration_deferred_constants.csv,"Public or reproducible traces provide calibrated trajectory reuse, security overhead, and durable latency constants."
CL-009,"Security validation is part of architecture selection, not an add-on.",validated_artifact,validated_mechanism,false,validated_artifact; ,fail_closed_without_production_target,validated by prior milestone artifacts but not production telemetry,data/security_workload_summary.csv; data/security_invalid_trace_fixtures.csv; memory-centric-agentic/security_provenance_model.md,"A design safely reuses objects without provenance, freshness, isolation, lineage, verifier, or retention checks."
CL-010,Trace v2 is sufficient for lifetime/reuse/DAG analysis but not production-grade security.,validated_artifact,validated_mechanism,false,validated_artifact; ,fail_closed_without_production_target,validated by prior milestone artifacts but not production telemetry,memory-centric-agentic/trace_schema.md; data/security_invalid_trace_fixtures.csv,Production security review shows trace v2 fields alone can enforce all required reuse gates.
CL-011,The architecture rule is to expose the coarsest state boundary that preserves causal retained-value variables.,derived,validated_mechanism,false,derived; ,fail_closed_without_production_target,validated by prior milestone artifacts but not production telemetry,memory-centric-agentic/architecture_proposal.md; data/synthesis_architecture_decision_matrix.csv,Fine-grained state visibility wins even when causal variables are zero or hidden.
CL-012,"The strongest unresolved memory-centric claim is economic and energy value, because per-tier energy and pricing are not calibrated.",speculative,host_local_proxy_only,false,speculative; host_local_proxy; synthetic_production_fixture,fail_closed_without_production_target,host-local proxy evidence exists but cannot calibrate production claims,data/calibration_deferred_constants.csv; memory-centric-agentic/cost_model.md,Telemetry shows placement/reuse energy savings are negligible relative to arithmetic and system overhead.
CL-012,3 synthetic production-shaped rows passed gates; no real production_target evidence ingested,production_telemetry_contract,contract_ready,false,synthetic_production_fixture,fail_closed_without_production_target,synthetic fixtures are not real production evidence,data/production_dc12_claim_update_matrix.csv; data/production_dc12_ingestion_results.csv,A synthetic/proxy row becomes production_ready or real production_target row fails required gates.
CL-004,DC-002 rows replay against existing CXL/pooled-memory thresholds,production_telemetry_contract,contract_ready,false,synthetic_production_fixture,fail_closed_without_production_target,awaiting real target CXL/pool-memory telemetry,data/production_dc12_claim_update_matrix.csv; data/production_dc12_ingestion_results.csv,A synthetic/proxy row becomes production_ready or real production_target row fails required gates.
CL-005,Option B/C updates are named by threshold crossings only,production_telemetry_contract,contract_ready,false,synthetic_production_fixture,fail_closed_without_production_target,synthetic fixture only,data/production_dc12_claim_update_matrix.csv; data/production_dc12_ingestion_results.csv,A synthetic/proxy row becomes production_ready or real production_target row fails required gates.
SECURITY-GATE-ENERGY-001,security blocked rows=1; denied reuse/energy credit granted=0,production_telemetry_contract,contract_ready,false,synthetic_production_fixture,fail_closed_without_production_target,security_denied_rows_receive_zero_credit,data/production_dc12_claim_update_matrix.csv; data/production_dc12_ingestion_results.csv,A synthetic/proxy row becomes production_ready or real production_target row fails required gates.
CONTROL-OPTION-A,control rows=1; controls remain Option A and not calibration candidates,production_telemetry_contract,contract_ready,false,synthetic_production_fixture,fail_closed_without_production_target,control_workload_has_no_positive_reuse,data/production_dc12_claim_update_matrix.csv; data/production_dc12_ingestion_results.csv,A synthetic/proxy row becomes production_ready or real production_target row fails required gates.
