trace_id,run_id,workload_class,time_step,event_type,object_id,object_class,size_units,tier,parent_object_id,trajectory_node_id,branch_id,provenance_id,reuse_distance,reuse_probability_hint,correctness_sensitive,recompute_cost_hint,loss_cost_hint,durability_horizon,verifier_id,merge_state,source_version,invalidation_signal,evidence_label,tenant_scope,cache_salt,actor_id,replay_authorization_scope,verifier_evidence_hash,retention_hold_state,pointer_valid,validation_gate_ids,validation_decision,validation_lookup_count,validation_queue_wait,validation_start_time,validation_end_time,raw_reuse_credit,evidence_label
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,0,run_start,,,,,,,,,,,,,,,,,synthetic_v2,,synthetic_trace_v3,tenant_control,,actor_chat,actor_chat,,not_required,false,,not_reuse_candidate,0,0.0,,,0.0,synthetic_trace_v3
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,1,object_create,single-turn_chat_control:weights:1,weights,908,HBM/GPU memory,,,,,,0.72,false,300,0,0,,,synthetic_v2,none,synthetic_trace_v3,tenant_control,0fac50137bb8e4cc,actor_chat,baseline_runtime,,not_required,true,tenant_isolation,not_reuse_candidate,1,0.01,1.001,1.09716,0.0,synthetic_trace_v3
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,2,object_place,single-turn_chat_control:weights:1,weights,900,HBM/GPU memory,,,,,,,false,,,0,,,synthetic_v2,none,synthetic_trace_v3,tenant_control,0fac50137bb8e4cc,actor_chat,baseline_runtime,,not_required,true,tenant_isolation,not_reuse_candidate,1,0.02,2.001,2.097,0.0,synthetic_trace_v3
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,2,object_create,single-turn_chat_control:prefix_cache:1,prefix cache,44,CPU DRAM,,,,,,0.72,false,13,0,0,,,synthetic_v2,none,synthetic_trace_v3,tenant_control,458b3fb06bcc4bbd,actor_chat,actor_chat,,not_required,false,source_freshness; tenant_isolation; cache_salt_isolation,not_reuse_candidate,3,0.03,2.001,2.11588,0.0,synthetic_trace_v3
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,3,object_place,single-turn_chat_control:prefix_cache:1,prefix cache,40,CPU DRAM,,,,,,,false,,,0,,,synthetic_v2,none,synthetic_trace_v3,tenant_control,458b3fb06bcc4bbd,actor_chat,actor_chat,,not_required,false,source_freshness; tenant_isolation; cache_salt_isolation,not_reuse_candidate,3,0.04,3.001,3.1158,0.0,synthetic_trace_v3
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,3,object_create,single-turn_chat_control:KV_cache:1,KV cache,22,HBM/GPU memory,,,,,,0.25,false,6,0,0,,,synthetic_v2,none,synthetic_trace_v3,tenant_control,995098f7a9b2996e,actor_chat,baseline_runtime,,not_required,true,tenant_isolation; cache_salt_isolation,not_reuse_candidate,2,0.05,3.001,3.09744,0.0,synthetic_trace_v3
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,4,object_place,single-turn_chat_control:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,,,false,,,0,,,synthetic_v2,none,synthetic_trace_v3,tenant_control,995098f7a9b2996e,actor_chat,baseline_runtime,,not_required,true,tenant_isolation; cache_salt_isolation,not_reuse_candidate,2,0.06,4.001,4.0974,0.0,synthetic_trace_v3
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,4,object_create,single-turn_chat_control:intermediate_scratch:1,intermediate scratch,32,CPU DRAM,,,,,,0.25,false,8,0,0,,,synthetic_v2,none,synthetic_trace_v3,tenant_control,be0a908987a18245,actor_chat,baseline_runtime,,not_required,true,tenant_isolation,not_reuse_candidate,1,0.0,4.001,4.07964,0.0,synthetic_trace_v3
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,5,object_place,single-turn_chat_control:intermediate_scratch:1,intermediate scratch,25,CPU DRAM,,,,,,,false,,,0,,,synthetic_v2,none,synthetic_trace_v3,tenant_control,be0a908987a18245,actor_chat,baseline_runtime,,not_required,true,tenant_isolation,not_reuse_candidate,1,0.01,5.001,5.0795,0.0,synthetic_trace_v3
trace-v2-single-turn_chat_control,single-turn_chat_control,single-turn chat control,8,object_access,single-turn_chat_control:weights:1,weights,900,HBM/GPU memory,,,,,6,0.75,false,300,0,0,,,synthetic_v2,none,synthetic_trace_v3,tenant_control,0fac50137bb8e4cc,actor_chat,baseline_runtime,,not_required,true,tenant_isolation,not_reuse_candidate,1,0.02,8.001,8.097,0.0,synthetic_trace_v3
