case_id,dryrun_status,expected_status,status_matches_expected,actual_reopen_candidate,is_evidence,manifest_complete,trace_schema_headers_present,privacy_safe_header,known_threshold_scenario,hash_match,attestation_replaced,source_measurement_consistent,primary_blocker,blocking_reasons
complete_shadow_template,ready_for_collection_not_evidence,ready_for_collection_not_evidence,True,False,False,True,True,True,True,True,True,True,none_ready_template_not_evidence,none
complete_canary_template,ready_for_collection_not_evidence,ready_for_collection_not_evidence,True,False,False,True,True,True,True,True,True,True,none_ready_template_not_evidence,none
missing_required_manifest_field,template_incomplete,template_incomplete,True,False,False,False,True,True,True,True,True,True,missing_required_manifest_field:trace_sha256,missing_required_manifest_field:trace_sha256
raw_content_column_present,privacy_blocked,privacy_blocked,True,False,False,True,True,False,True,True,True,True,privacy_disallowed_column:content,privacy_disallowed_column:content
placeholder_attestation_unreplaced,provenance_blocked,provenance_blocked,True,False,False,True,True,True,True,True,False,True,placeholder_attestation_unreplaced,placeholder_attestation_unreplaced
unknown_threshold_scenario,threshold_mapping_blocked,threshold_mapping_blocked,True,False,False,True,True,True,False,True,True,True,unknown_threshold_scenario:unknown_operator_case,unknown_threshold_scenario:unknown_operator_case
hash_mismatch,integrity_blocked,integrity_blocked,True,False,False,True,True,True,True,False,True,True,trace_sha256_mismatch,trace_sha256_mismatch
proxy_status_with_production_source,schema_blocked,schema_blocked,True,False,False,True,True,True,True,True,True,False,source_measurement_contradiction,source_measurement_contradiction
invalid_manifest_source_value,schema_blocked,schema_blocked,True,False,False,True,True,True,True,True,True,True,invalid_manifest_value:evidence_source_type:not_a_real_source,invalid_manifest_value:evidence_source_type:not_a_real_source
unknown_ingestion_path,schema_blocked,schema_blocked,True,False,False,True,True,True,True,True,True,True,inadmissible_ingestion_path:unknown_ingestion_path,inadmissible_ingestion_path:unknown_ingestion_path
missing_counterfactual_baseline_columns,schema_blocked,schema_blocked,True,False,False,True,False,True,True,True,True,True,missing_trace_column:software_baseline_latency_ns,missing_trace_column:software_baseline_latency_ns|missing_trace_column:accelerator_baseline_latency_ns
measured_status_without_energy_columns,schema_blocked,schema_blocked,True,False,False,True,False,True,True,True,True,True,missing_trace_column:accelerator_energy_proxy_or_measured_pj,missing_trace_column:accelerator_energy_proxy_or_measured_pj|missing_trace_column:accelerator_energy_status|missing_trace_column:hybrid_energy_proxy_or_measured_pj|missing_trace_column:hybrid_energy_status
