edge_id	edge_type	canonical_node_ids_json	raw_node_ids_json	role_map_json	question_id	category	prompt_template_id	source_edge_id	supporting_edge_type	accepted_taxon_key	source_group	source_id	source_record_id	access_date	license	provenance_pointer	allowed_evidence_scope	caveats	confidence	source_reliability	pending_crosswalk	inferred_flag
track6:adversarial_probe_edge:t6_convergence_detection_03ef165d70c1	adversarial_probe_edge	"[""probe_question:t6_convergence_detection_03ef165d70c1"", ""probe_ground_truth:t6_convergence_detection_03ef165d70c1"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"[""probe_question:t6_convergence_detection_03ef165d70c1"", ""probe_ground_truth:t6_convergence_detection_03ef165d70c1"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"{""error_class_label"": ""convergence_detection"", ""foundation_model_response"": [""foundation_model_response:offline_unrun""], ""probe_ground_truth"": ""probe_ground_truth:t6_convergence_detection_03ef165d70c1"", ""probe_question"": ""probe_question:t6_convergence_detection_03ef165d70c1"", ""prompt_template"": ""prompt_template:track6_offline_convergence_detection_v1"", ""scoring_rule"": ""track6_offline_required_forbidden_terms_v1"", ""supporting_substrate_edge"": ""conv_fa5731567a9550bb9532""}"	t6_convergence_detection_03ef165d70c1	convergence_detection	track6_offline_convergence_detection_v1	conv_fa5731567a9550bb9532	fruit_morphology		convergence_sources	austraits_6_0_0	0004	2026-05-17	CC-BY-4.0	https://zenodo.org/records/11188867	offline probe ground truth derived from cited substrate edge; model-response placeholder is unrun	No paid, key-gated, remote, or live provider call has been made. foundation_model_response:offline_unrun is a placeholder for schema-shaped offline ground truth only.	0.8	0.8	False	False
track6:adversarial_probe_edge:t6_convergence_detection_0728f3a2b655	adversarial_probe_edge	"[""probe_question:t6_convergence_detection_0728f3a2b655"", ""probe_ground_truth:t6_convergence_detection_0728f3a2b655"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"[""probe_question:t6_convergence_detection_0728f3a2b655"", ""probe_ground_truth:t6_convergence_detection_0728f3a2b655"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"{""error_class_label"": ""convergence_detection"", ""foundation_model_response"": [""foundation_model_response:offline_unrun""], ""probe_ground_truth"": ""probe_ground_truth:t6_convergence_detection_0728f3a2b655"", ""probe_question"": ""probe_question:t6_convergence_detection_0728f3a2b655"", ""prompt_template"": ""prompt_template:track6_offline_convergence_detection_v1"", ""scoring_rule"": ""track6_offline_required_forbidden_terms_v1"", ""supporting_substrate_edge"": ""conv_1ec53d97f4b8717bdc51""}"	t6_convergence_detection_0728f3a2b655	convergence_detection	track6_offline_convergence_detection_v1	conv_1ec53d97f4b8717bdc51	fruit_morphology		convergence_sources	austraits_6_0_0	0001	2026-05-17	CC-BY-4.0	https://zenodo.org/records/11188867	offline probe ground truth derived from cited substrate edge; model-response placeholder is unrun	No paid, key-gated, remote, or live provider call has been made. foundation_model_response:offline_unrun is a placeholder for schema-shaped offline ground truth only.	0.8	0.8	False	False
track6:adversarial_probe_edge:t6_convergence_detection_0adae15e9c51	adversarial_probe_edge	"[""probe_question:t6_convergence_detection_0adae15e9c51"", ""probe_ground_truth:t6_convergence_detection_0adae15e9c51"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"[""probe_question:t6_convergence_detection_0adae15e9c51"", ""probe_ground_truth:t6_convergence_detection_0adae15e9c51"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"{""error_class_label"": ""convergence_detection"", ""foundation_model_response"": [""foundation_model_response:offline_unrun""], ""probe_ground_truth"": ""probe_ground_truth:t6_convergence_detection_0adae15e9c51"", ""probe_question"": ""probe_question:t6_convergence_detection_0adae15e9c51"", ""prompt_template"": ""prompt_template:track6_offline_convergence_detection_v1"", ""scoring_rule"": ""track6_offline_required_forbidden_terms_v1"", ""supporting_substrate_edge"": ""conv_cd39f71a35626ec3917a""}"	t6_convergence_detection_0adae15e9c51	convergence_detection	track6_offline_convergence_detection_v1	conv_cd39f71a35626ec3917a	fruit_morphology	wfo:wfo-0000074859-2025-12	convergence_sources	austraits_6_0_0	00004	2026-05-17	CC-BY-4.0	https://zenodo.org/records/11188867	offline probe ground truth derived from cited substrate edge; model-response placeholder is unrun	No paid, key-gated, remote, or live provider call has been made. foundation_model_response:offline_unrun is a placeholder for schema-shaped offline ground truth only.	0.8	0.8	False	False
track6:adversarial_probe_edge:t6_convergence_detection_0eb3f1328976	adversarial_probe_edge	"[""probe_question:t6_convergence_detection_0eb3f1328976"", ""probe_ground_truth:t6_convergence_detection_0eb3f1328976"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"[""probe_question:t6_convergence_detection_0eb3f1328976"", ""probe_ground_truth:t6_convergence_detection_0eb3f1328976"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"{""error_class_label"": ""convergence_detection"", ""foundation_model_response"": [""foundation_model_response:offline_unrun""], ""probe_ground_truth"": ""probe_ground_truth:t6_convergence_detection_0eb3f1328976"", ""probe_question"": ""probe_question:t6_convergence_detection_0eb3f1328976"", ""prompt_template"": ""prompt_template:track6_offline_convergence_detection_v1"", ""scoring_rule"": ""track6_offline_required_forbidden_terms_v1"", ""supporting_substrate_edge"": ""conv_597fc3ac0ea1f4395677""}"	t6_convergence_detection_0eb3f1328976	convergence_detection	track6_offline_convergence_detection_v1	conv_597fc3ac0ea1f4395677	fruit_morphology		convergence_sources	austraits_6_0_0	0001	2026-05-17	CC-BY-4.0	https://zenodo.org/records/11188867	offline probe ground truth derived from cited substrate edge; model-response placeholder is unrun	No paid, key-gated, remote, or live provider call has been made. foundation_model_response:offline_unrun is a placeholder for schema-shaped offline ground truth only.	0.8	0.8	False	False
track6:adversarial_probe_edge:t6_convergence_detection_14bb8d6691e0	adversarial_probe_edge	"[""probe_question:t6_convergence_detection_14bb8d6691e0"", ""probe_ground_truth:t6_convergence_detection_14bb8d6691e0"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"[""probe_question:t6_convergence_detection_14bb8d6691e0"", ""probe_ground_truth:t6_convergence_detection_14bb8d6691e0"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"{""error_class_label"": ""convergence_detection"", ""foundation_model_response"": [""foundation_model_response:offline_unrun""], ""probe_ground_truth"": ""probe_ground_truth:t6_convergence_detection_14bb8d6691e0"", ""probe_question"": ""probe_question:t6_convergence_detection_14bb8d6691e0"", ""prompt_template"": ""prompt_template:track6_offline_convergence_detection_v1"", ""scoring_rule"": ""track6_offline_required_forbidden_terms_v1"", ""supporting_substrate_edge"": ""conv_142f7e05fa2bdb4f9675""}"	t6_convergence_detection_14bb8d6691e0	convergence_detection	track6_offline_convergence_detection_v1	conv_142f7e05fa2bdb4f9675	fruit_morphology	wfo:wfo-0000336880-2025-12	convergence_sources	austraits_6_0_0	001	2026-05-17	CC-BY-4.0	https://zenodo.org/records/11188867	offline probe ground truth derived from cited substrate edge; model-response placeholder is unrun	No paid, key-gated, remote, or live provider call has been made. foundation_model_response:offline_unrun is a placeholder for schema-shaped offline ground truth only.	0.8	0.8	False	False
track6:adversarial_probe_edge:t6_convergence_detection_153b2f5c59d3	adversarial_probe_edge	"[""probe_question:t6_convergence_detection_153b2f5c59d3"", ""probe_ground_truth:t6_convergence_detection_153b2f5c59d3"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"[""probe_question:t6_convergence_detection_153b2f5c59d3"", ""probe_ground_truth:t6_convergence_detection_153b2f5c59d3"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"{""error_class_label"": ""convergence_detection"", ""foundation_model_response"": [""foundation_model_response:offline_unrun""], ""probe_ground_truth"": ""probe_ground_truth:t6_convergence_detection_153b2f5c59d3"", ""probe_question"": ""probe_question:t6_convergence_detection_153b2f5c59d3"", ""prompt_template"": ""prompt_template:track6_offline_convergence_detection_v1"", ""scoring_rule"": ""track6_offline_required_forbidden_terms_v1"", ""supporting_substrate_edge"": ""conv_20cfd71c035805a8e3e9""}"	t6_convergence_detection_153b2f5c59d3	convergence_detection	track6_offline_convergence_detection_v1	conv_20cfd71c035805a8e3e9	fruit_morphology		convergence_sources	austraits_6_0_0	002	2026-05-17	CC-BY-4.0	https://zenodo.org/records/11188867	offline probe ground truth derived from cited substrate edge; model-response placeholder is unrun	No paid, key-gated, remote, or live provider call has been made. foundation_model_response:offline_unrun is a placeholder for schema-shaped offline ground truth only.	0.8	0.8	False	False
track6:adversarial_probe_edge:t6_convergence_detection_216a0e32d24f	adversarial_probe_edge	"[""probe_question:t6_convergence_detection_216a0e32d24f"", ""probe_ground_truth:t6_convergence_detection_216a0e32d24f"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"[""probe_question:t6_convergence_detection_216a0e32d24f"", ""probe_ground_truth:t6_convergence_detection_216a0e32d24f"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"{""error_class_label"": ""convergence_detection"", ""foundation_model_response"": [""foundation_model_response:offline_unrun""], ""probe_ground_truth"": ""probe_ground_truth:t6_convergence_detection_216a0e32d24f"", ""probe_question"": ""probe_question:t6_convergence_detection_216a0e32d24f"", ""prompt_template"": ""prompt_template:track6_offline_convergence_detection_v1"", ""scoring_rule"": ""track6_offline_required_forbidden_terms_v1"", ""supporting_substrate_edge"": ""conv_61fb192aa02097c9f095""}"	t6_convergence_detection_216a0e32d24f	convergence_detection	track6_offline_convergence_detection_v1	conv_61fb192aa02097c9f095	fruit_morphology		convergence_sources	austraits_6_0_0	0002	2026-05-17	CC-BY-4.0	https://zenodo.org/records/11188867	offline probe ground truth derived from cited substrate edge; model-response placeholder is unrun	No paid, key-gated, remote, or live provider call has been made. foundation_model_response:offline_unrun is a placeholder for schema-shaped offline ground truth only.	0.8	0.8	False	False
track6:adversarial_probe_edge:t6_convergence_detection_305bb1d76b8d	adversarial_probe_edge	"[""probe_question:t6_convergence_detection_305bb1d76b8d"", ""probe_ground_truth:t6_convergence_detection_305bb1d76b8d"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"[""probe_question:t6_convergence_detection_305bb1d76b8d"", ""probe_ground_truth:t6_convergence_detection_305bb1d76b8d"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"{""error_class_label"": ""convergence_detection"", ""foundation_model_response"": [""foundation_model_response:offline_unrun""], ""probe_ground_truth"": ""probe_ground_truth:t6_convergence_detection_305bb1d76b8d"", ""probe_question"": ""probe_question:t6_convergence_detection_305bb1d76b8d"", ""prompt_template"": ""prompt_template:track6_offline_convergence_detection_v1"", ""scoring_rule"": ""track6_offline_required_forbidden_terms_v1"", ""supporting_substrate_edge"": ""conv_d6df11a4b62bfcdf8353""}"	t6_convergence_detection_305bb1d76b8d	convergence_detection	track6_offline_convergence_detection_v1	conv_d6df11a4b62bfcdf8353	fruit_morphology	wfo:wfo-0000510878-2025-12	convergence_sources	austraits_6_0_0	0003	2026-05-17	CC-BY-4.0	https://zenodo.org/records/11188867	offline probe ground truth derived from cited substrate edge; model-response placeholder is unrun	No paid, key-gated, remote, or live provider call has been made. foundation_model_response:offline_unrun is a placeholder for schema-shaped offline ground truth only.	0.8	0.8	False	False
track6:adversarial_probe_edge:t6_convergence_detection_31419331fd22	adversarial_probe_edge	"[""probe_question:t6_convergence_detection_31419331fd22"", ""probe_ground_truth:t6_convergence_detection_31419331fd22"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"[""probe_question:t6_convergence_detection_31419331fd22"", ""probe_ground_truth:t6_convergence_detection_31419331fd22"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"{""error_class_label"": ""convergence_detection"", ""foundation_model_response"": [""foundation_model_response:offline_unrun""], ""probe_ground_truth"": ""probe_ground_truth:t6_convergence_detection_31419331fd22"", ""probe_question"": ""probe_question:t6_convergence_detection_31419331fd22"", ""prompt_template"": ""prompt_template:track6_offline_convergence_detection_v1"", ""scoring_rule"": ""track6_offline_required_forbidden_terms_v1"", ""supporting_substrate_edge"": ""conv_1aab80bb217119dbfe5e""}"	t6_convergence_detection_31419331fd22	convergence_detection	track6_offline_convergence_detection_v1	conv_1aab80bb217119dbfe5e	fruit_morphology		convergence_sources	austraits_6_0_0	002	2026-05-17	CC-BY-4.0	https://zenodo.org/records/11188867	offline probe ground truth derived from cited substrate edge; model-response placeholder is unrun	No paid, key-gated, remote, or live provider call has been made. foundation_model_response:offline_unrun is a placeholder for schema-shaped offline ground truth only.	0.8	0.8	False	False
track6:adversarial_probe_edge:t6_convergence_detection_34e928bdbe9a	adversarial_probe_edge	"[""probe_question:t6_convergence_detection_34e928bdbe9a"", ""probe_ground_truth:t6_convergence_detection_34e928bdbe9a"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"[""probe_question:t6_convergence_detection_34e928bdbe9a"", ""probe_ground_truth:t6_convergence_detection_34e928bdbe9a"", ""prompt_template:track6_offline_convergence_detection_v1"", ""foundation_model_response:offline_unrun""]"	"{""error_class_label"": ""convergence_detection"", ""foundation_model_response"": [""foundation_model_response:offline_unrun""], ""probe_ground_truth"": ""probe_ground_truth:t6_convergence_detection_34e928bdbe9a"", ""probe_question"": ""probe_question:t6_convergence_detection_34e928bdbe9a"", ""prompt_template"": ""prompt_template:track6_offline_convergence_detection_v1"", ""scoring_rule"": ""track6_offline_required_forbidden_terms_v1"", ""supporting_substrate_edge"": ""conv_208bb6793a5526f3e8c2""}"	t6_convergence_detection_34e928bdbe9a	convergence_detection	track6_offline_convergence_detection_v1	conv_208bb6793a5526f3e8c2	fruit_morphology		convergence_sources	austraits_6_0_0	0001	2026-05-17	CC-BY-4.0	https://zenodo.org/records/11188867	offline probe ground truth derived from cited substrate edge; model-response placeholder is unrun	No paid, key-gated, remote, or live provider call has been made. foundation_model_response:offline_unrun is a placeholder for schema-shaped offline ground truth only.	0.8	0.8	False	False
