design_id,readiness_class,actual_reopen_candidate,is_evidence,missing_criteria_count,fatal_missing_count,repairable_missing_count,blocking_reasons,fatal_blocking_reasons,repair_actions,downstream_gate_failures,primary_blocker,ingestion_path_id,evidence_source_type
shadow_dual_run_full_instrumentation,ready_to_collect_candidate,False,False,0,0,0,none,none,none,none,none_ready_plan_not_evidence,shadow_production_dual_run,shadow_production
canary_ab_full_instrumentation,ready_to_collect_candidate,False,False,0,0,0,none,none,none,none,none_ready_plan_not_evidence,canary_ab_dual_instrumented,canary_production
sampled_logs_no_counterfactual,inadmissible_design,False,False,1,1,0,C10:admissible_ingestion_path,C10:admissible_ingestion_path,none,admissible_ingestion_path,C10:admissible_ingestion_path,sampled_production_logs_without_baselines,production
vendor_benchmark_plus_local_proxy,diagnostic_only,False,False,7,5,2,C09:valid_trace;C11:measured_terms;C13:measured_terms;C14:valid_trace;C15:valid_trace;C17:production_or_shadow_or_canary_source;C19:admissible_ingestion_path,C09:valid_trace;C14:valid_trace;C15:valid_trace;C17:production_or_shadow_or_canary_source;C19:admissible_ingestion_path,C11:measured_terms;C13:measured_terms,admissible_ingestion_path;measured_terms;production_or_shadow_or_canary_source;valid_trace,C09:valid_trace,accelerator_vendor_benchmark_only,local_proxy
shadow_dual_run_missing_energy,repair_required_before_collection,False,False,1,0,1,C11:measured_terms,none,C11:measured_terms,measured_terms,C11:measured_terms,shadow_production_dual_run,shadow_production
canary_ab_privacy_risk_raw_content,inadmissible_design,False,False,3,3,0,C02:privacy_attestation;C03:privacy_attestation;C07:privacy_attestation,C02:privacy_attestation;C03:privacy_attestation;C07:privacy_attestation,none,privacy_attestation,C02:privacy_attestation,canary_ab_dual_instrumented,canary_production
single_path_production_fast_path_only,inadmissible_design,False,False,2,2,0,C10:admissible_ingestion_path;C20:admissible_ingestion_path,C10:admissible_ingestion_path;C20:admissible_ingestion_path,none,admissible_ingestion_path,C10:admissible_ingestion_path,sampled_production_logs_without_baselines,production
synthetic_replay_scaled_volume,diagnostic_only,False,False,4,2,2,C11:measured_terms;C13:measured_terms;C17:production_or_shadow_or_canary_source;C18:production_or_shadow_or_canary_source,C17:production_or_shadow_or_canary_source;C18:production_or_shadow_or_canary_source,C11:measured_terms;C13:measured_terms,measured_terms;production_or_shadow_or_canary_source,C11:measured_terms,synthetic_fixture_only,synthetic
shadow_dual_run_unknown_threshold_mapping,inadmissible_design,False,False,1,1,0,C08:known_threshold_scenario,C08:known_threshold_scenario,none,known_threshold_scenario,C08:known_threshold_scenario,shadow_production_dual_run,shadow_production
canary_ab_missing_provenance_attestation,inadmissible_design,False,False,1,1,0,C06:provenance_attestation,C06:provenance_attestation,none,provenance_attestation,C06:provenance_attestation,canary_ab_dual_instrumented,canary_production
