case_id,observed_status,fresh_production_replay_required,old_replay_copy_accepted,revalidation_may_use_prior_result_without_new_evidence,operator_action
fresh_prior_production_replay,currently_supportable,false,false,false,none_currently_supportable
t0_without_upstream_production,not_production_supported,false,false,false,collect_current_material_and_rerun_full_chain
dry_run_fixture_attempt,not_production_supported,false,false,false,collect_current_material_and_rerun_full_chain
synthetic_proxy_attempt,not_production_supported,false,false,false,collect_current_material_and_rerun_full_chain
age_exceeds_policy_ttl,expired,true,false,false,collect_current_material_and_rerun_full_chain
age_equals_policy_ttl,expired,true,false,false,collect_current_material_and_rerun_full_chain
model_version_changed,invalidated_by_change,true,false,false,collect_current_material_and_rerun_full_chain
topology_changed,invalidated_by_change,true,false,false,collect_current_material_and_rerun_full_chain
workload_mix_outside_overlap,revalidation_required,true,false,false,collect_current_material_and_rerun_full_chain
scheduler_policy_changed,revalidation_required,true,false,false,collect_current_material_and_rerun_full_chain
memory_tier_regime_shifted,revalidation_required,true,false,false,collect_current_material_and_rerun_full_chain
collector_rotated_without_reenrollment,invalidated_by_change,true,false,false,collect_current_material_and_rerun_full_chain
trust_policy_rotated,invalidated_by_change,true,false,false,collect_current_material_and_rerun_full_chain
security_deny_rate_drifted,revalidation_required,true,false,false,collect_current_material_and_rerun_full_chain
redaction_policy_changed,invalidated_by_change,true,false,false,collect_current_material_and_rerun_full_chain
uncertainty_interval_widened,revalidation_required,true,false,false,collect_current_material_and_rerun_full_chain
causal_controls_not_comparable,revalidation_required,true,false,false,collect_current_material_and_rerun_full_chain
copied_old_replay_after_drift,revalidation_required,true,false,false,collect_current_material_and_rerun_full_chain
