path,milestone,evidence_type,validation_status,generating_command,artifact_hash,dependent_artifacts,claim_supported
physicalized-weights/docs/taxonomy_and_null.md,M-TAX-1,inferred,validated,,de468fb925faed43941c23aa4ee2c1d3141bd8d71b78a79f2b7e20a38ce01f21,,"Defines physicalization levels, inference-component candidates, strong software/runtime null hypothesis, and falsification criteria."
REFERENCES.md,M-FINAL-1,sourced,validated,,e2657b761a803e175066d17547f582842f89f97273924fb7f636e2f9796d9004,,"Records the external sources used for RISC-V openness, toolchain context, and analog in-memory-computing background claims."
physicalized-weights/docs/final_synthesis.md,M-FINAL-1,speculative,validated,,53ff4d5e19e5d6f58dece5d4cee0e4ac42b5602ddb880bb09b24f587653ccdfe,physicalized-weights/docs/taxonomy_and_null.md; REFERENCES.md,"Keeps analog, photonic, and process-specific hardware-advantage claims explicitly speculative until device-level calibration, drift, conversion, yield, and repair data exist."
physicalized-weights/scripts/breakeven_model.py,M-MODEL-1,modeled,validated,python3 physicalized-weights/scripts/breakeven_model.py,b4408d4d53c512ad64839c3bdec23a7119dd86bb44e5ac3b05188247688b6db2,physicalized-weights/docs/taxonomy_and_null.md,"Implements the normalized break-even comparison across programmable, optimized software, accelerator, fixed, analog, and hybrid strategies."
physicalized-weights/data/breakeven_summary.json,M-MODEL-1/M-BASE-1,modeled,validated,python3 physicalized-weights/scripts/breakeven_model.py,a32d851d578f3d501597673b858535b305cb4cd99dcadc71f97cbdc19c1a2932,physicalized-weights/scripts/breakeven_model.py; physicalized-weights/data/breakeven_grid.csv,Software-optimized and programmable-accelerator baselines dominate many sampled regions; fixed digital wins only under favorable volume/update assumptions.
physicalized-weights/data/breakeven_update_volume.png,M-MODEL-1,modeled,validated,python3 physicalized-weights/scripts/breakeven_model.py,cda59537cf854f16ba0b6dfa3f3855a05928a9f22a250a34b3dcd3f01fa64968,physicalized-weights/data/breakeven_grid.csv,Visualizes break-even sensitivity to request volume and update cadence.
physicalized-weights/scripts/symbolic_breakeven.wls,M-MODEL-1,modeled,validated,wolfram-batch -script physicalized-weights/scripts/symbolic_breakeven.wls,5ccddf0977c2eba658e2c2ed7f55baa228846b40c72581e5d1819441733ad3c7,physicalized-weights/docs/taxonomy_and_null.md,"Symbolically checks the break-even inequality, zero-volume failure, update-cadence divergence, and software-savings threshold shift."
physicalized-weights/docs/target_ranking.md,M-TARGET-1,inferred,validated,,cd8f4d42ae5ed92bd0160887267e60728dbaa8b910a8f3fe4560f8563c2fed69,physicalized-weights/data/target_scores_summary.json; physicalized-weights/data/breakeven_summary.json,Ranks safety/filter classifier as the narrow next target and rejects full frontier dense weights as an anti-target.
physicalized-weights/data/target_scores_summary.json,M-TARGET-1,modeled,validated,python3 physicalized-weights/scripts/target_scoring.py,f25a6dbeacb06419b03236e6592ea9c2a35c4b5a91546ac7c75dc06bec3776cd,physicalized-weights/data/breakeven_summary.json; physicalized-weights/data/breakeven_grid.csv,Scores 10 candidate components and 5 anti-targets while preserving software/runtime baseline pressure.
physicalized-weights/docs/hybrid_safety_filter_architecture.md,M-ARCH-1,inferred,validated,,19b6258d0c2e7194f81e3435f691b47ad673d1e39a6878fe94bc02b3d1e362cf,physicalized-weights/docs/target_ranking.md; physicalized-weights/data/hybrid_arch_summary.json,"Specifies a bounded host/RISC-V-compatible safety-filter architecture with version, health, drift, audit, fallback, and rollback controls."
physicalized-weights/docs/hybrid_safety_filter_arch.png,M-ARCH-1,inferred,validated,dot -Tpng physicalized-weights/docs/hybrid_safety_filter_arch.dot -o physicalized-weights/docs/hybrid_safety_filter_arch.png,e33d3f34d5702211dce19d0fdf355fe4bef10ed331b76037e8c8363615825a60,physicalized-weights/docs/hybrid_safety_filter_arch.dot,"Shows the architecture boundary between host runtime, fixed classifier, fallback, audit, updates, and fail-safe state."
physicalized-weights/data/hybrid_arch_summary.json,M-ARCH-1,simulated,validated,python3 physicalized-weights/scripts/fallback_policy_sim.py,ab48ac7870f20b3cd1600a223764f22531e8fc44cfe2e0e477370c0f9579228f,physicalized-weights/scripts/fallback_policy_sim.py,"Simulates fallback policy cases so stale, low-confidence, unhealthy, drifted, or unaudited outputs do not silently use the fast path."
physicalized-weights/docs/prototype_safety_filter.md,M-PROTO-1,simulated,validated,,a7ad396d056047a1718d385f03a5c07356370d42d5e2f277e5a94828843e42a2,physicalized-weights/data/prototype_summary.json; physicalized-weights/data/hdl_sim_results.csv,"Documents the tiny fixed classifier prototype, baseline comparison, and route behavior."
physicalized-weights/data/prototype_summary.json,M-PROTO-1,simulated,validated,python3 physicalized-weights/scripts/prototype_safety_filter.py,b212f1cf275e4c6c7bb42de4c71e0b0a108e8d684a033f9dd38e2c4c68386621,physicalized-weights/scripts/prototype_safety_filter.py,"Records 16 prototype cases: 6 fast path, 8 fallback, 2 fail-safe, with normalized baseline costs."
physicalized-weights/hdl/safety_filter_core.sv,M-PROTO-1,synthesized,validated,,0e8c8bf40b62aa9a97a203a7bdc879aa788c91b6a2ecd34522cf2ae1f03d1017,physicalized-weights/scripts/prototype_safety_filter.py,"Implements only fixed signed int8 dot product, threshold compare, margin, and confidence in HDL."
physicalized-weights/data/hdl_sim_results.csv,M-PROTO-1,synthesized,validated,python3 physicalized-weights/hdl/run_yosys_eval.py,0246f1f8e588f5da280310464c6cc4f75704a940e1ca609f1c99628f1ff2a3c3,physicalized-weights/hdl/safety_filter_core.sv; physicalized-weights/data/prototype_vectors.csv,Yosys eval matches Python golden outputs for all HDL vector cases.
physicalized-weights/data/yosys_safety_filter.log,M-PROTO-1,synthesized,validated,yosys -s physicalized-weights/hdl/safety_filter_core.ys > physicalized-weights/data/yosys_safety_filter.log 2>&1,cbf07508d283d6aa8991de718a479d10289eceab2699225a921efe51dcd63f14,physicalized-weights/hdl/safety_filter_core.sv; physicalized-weights/hdl/safety_filter_core.ys,"Yosys check/synthesis reports no structural problems, no memories, and no processes for the pure combinational core."
physicalized-weights/data/prototype_verification_closure.json,M-PROTO-1,synthesized,validated,python3 physicalized-weights/scripts/verify_prototype_closure.py,2eeed47545b50c113dc207f76350af3266eb61f1081a1ae87f04578655a76413,physicalized-weights/data/hdl_sim_results.csv; physicalized-weights/data/yosys_safety_filter.log; physicalized-weights/data/verilator_safety_filter.log,Hash-ties the amended Verilator/Yosys/Python/synthesis closure and records compiled Verilator as blocked by missing build tools.
physicalized-weights/docs/prototype_verification_closure.md,M-PROTO-1,inferred,validated,,718b13a04425dc1a243af55dd4171a578aea9c749d198b8d06445c84266a17d0,physicalized-weights/data/prototype_verification_closure.json,Defines the narrow amended evidence contract and reopen criteria for M-PROTO-1.
physicalized-weights/docs/final_synthesis.md,M-FINAL-1,inferred,validated,,53ff4d5e19e5d6f58dece5d4cee0e4ac42b5602ddb880bb09b24f587653ccdfe,physicalized-weights/data/evidence_manifest.json; physicalized-weights/data/final_synthesis_summary.json,Integrates validated artifacts into the final evidence-labeled answer to the directive.
physicalized-weights/scripts/build_final_synthesis.py,M-FINAL-1,inferred,validated,,5d6b0c33cbca676a9263b38db732eafc3bc34476d974fda547391c1e3b241d81,physicalized-weights/docs/final_synthesis.md; physicalized-weights/docs/reproducibility.md,"Builds the final evidence manifest, summary JSON, and evidence map from workspace artifacts."
physicalized-weights/data/final_synthesis_summary.json,M-FINAL-1,inferred,validated,python3 physicalized-weights/scripts/build_final_synthesis.py,85eaab24352058cdf46f6dabcfadba9ebbb7ef50b048abfe1e061289ef73b665,physicalized-weights/data/breakeven_summary.json; physicalized-weights/data/target_scores_summary.json; physicalized-weights/data/prototype_summary.json; physicalized-weights/data/prototype_verification_closure.json,"Summarizes the final conclusion, validated milestones, evidence type counts, break-even outputs, target recommendation, prototype routes, and closure status."
physicalized-weights/docs/reproducibility.md,M-FINAL-1,inferred,validated,,0e0c5fadb159248ace2024571848edcb8d3f38c0bcb9fd6652e4cf1927e82d9a,physicalized-weights/scripts/build_final_synthesis.py,Gives compact commands for regenerating the first-arc artifacts with current local tool limitations noted.
physicalized-weights/tests/test_final_synthesis.py,M-FINAL-1,simulated,validated,python3 physicalized-weights/tests/test_final_synthesis.py,8834ae5cf66d072757d74bdeed17c53f5c9346b961f43b5c61aa30a287e89e83,physicalized-weights/docs/final_synthesis.md; physicalized-weights/data/evidence_manifest.csv; physicalized-weights/data/final_synthesis_summary.json,"Checks milestone coverage, manifest coverage, path existence, current hashes, evidence labels, falsification criteria, reopen rules, and no broad fixed-frontier overclaim."
physicalized-weights/data/final_evidence_map.png,M-FINAL-1,inferred,validated,python3 physicalized-weights/scripts/build_final_synthesis.py,35ad954d57078668df83f525338a12f8fcdfdcc4da6bfc8565560d8ef88f1e2a,physicalized-weights/data/evidence_manifest.json,"Evidence map linking validated milestones, generated artifacts, and final claims by evidence type."
physicalized-weights/docs/phase2_synthesis_downgrade.md,M-SYNTH-2,inferred,validated,python3 physicalized-weights/scripts/build_phase2_synthesis.py,58841894327d6b459492ef2cce2b8dcdec1c867b3d469828460b2eaa8f83659a,physicalized-weights/data/phase2_claim_matrix.csv; physicalized-weights/data/phase2_synthesis_summary.json,Downgrades the safety/filter performance/economic claim after calibrated workload and stronger-baseline replay while preserving the architecture/failure-mode value.
physicalized-weights/data/phase2_claim_matrix.csv,M-SYNTH-2,modeled,validated,python3 physicalized-weights/scripts/build_phase2_synthesis.py,c5073358e9522972bfce6c18a0d7aeb95f338c249fc17c43f1ea1c956b31a603,physicalized-weights/data/calibrated_breakeven_summary.json; physicalized-weights/data/workload_summary.json; physicalized-weights/data/stronger_baseline_summary.json,"Machine-checkable classification of major Phase 1 claims as preserved, weakened, falsified, superseded, or open after Phase 2 evidence."
physicalized-weights/data/phase2_synthesis_summary.json,M-SYNTH-2,modeled,validated,python3 physicalized-weights/scripts/build_phase2_synthesis.py,eeadcb2bdd6ff1b95a3444fa243f50b00acf4fbdcabb9df6236121891b44aa50,physicalized-weights/data/phase2_claim_matrix.csv; physicalized-weights/data/stronger_baseline_summary.json,"Records zero hybrid workload wins, programmable-accelerator dominance, and the reopening standard for the safety/filter performance claim."
physicalized-weights/data/phase2_evidence_map.png,M-SYNTH-2,inferred,validated,python3 physicalized-weights/scripts/build_phase2_synthesis.py,fb97b283a3a482eaa54836949943b62541bf9a456c75a10bc2e272b005286d77,physicalized-weights/data/phase2_claim_matrix.csv,Visualizes Phase 1 and Phase 2 claim statuses after calibrated workload and stronger-baseline replay.
