node_id	node_type	raw_label	canonical_taxon	attributes_json	source_id	source_provenance_json	allowed_evidence_scope	caveats_json
wild_ancestor:Triticum_urartu_A_genome	wild_ancestor	Triticum urartu (A genome)	Triticum urartu	"{""context_crop"": ""Triticum aestivum"", ""vavilov_center"": ""vc:near_eastern""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Marcussen T. et al. 2014, Science 345:1250092 \u2014 Ancient hybridizations among the ancestral genomes of bread wheat""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Aegilops_speltoides_B_genome_donor_lineage	wild_ancestor	Aegilops speltoides (B genome donor lineage)	Aegilops speltoides	"{""context_crop"": ""Triticum aestivum"", ""vavilov_center"": ""vc:near_eastern""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Marcussen T. et al. 2014, Science 345:1250092 \u2014 Ancient hybridizations among the ancestral genomes of bread wheat""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Aegilops_tauschii_D_genome	wild_ancestor	Aegilops tauschii (D genome)	Aegilops tauschii	"{""context_crop"": ""Triticum aestivum"", ""vavilov_center"": ""vc:near_eastern""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Marcussen T. et al. 2014, Science 345:1250092 \u2014 Ancient hybridizations among the ancestral genomes of bread wheat""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Malus_sieversii	wild_ancestor	Malus sieversii	Malus sieversii	"{""context_crop"": ""Malus domestica"", ""vavilov_center"": ""vc:central_asian""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Cornille A. et al. 2014, Trends in Genet. 30(2):57-65 \u2014 The domestication and evolutionary ecology of apples""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Malus_sylvestris	wild_ancestor	Malus sylvestris	Malus sylvestris	"{""context_crop"": ""Malus domestica"", ""vavilov_center"": ""vc:central_asian""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Cornille A. et al. 2014, Trends in Genet. 30(2):57-65 \u2014 The domestication and evolutionary ecology of apples""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Malus_baccata_introgression	wild_ancestor	Malus baccata (introgression)	Malus baccata	"{""context_crop"": ""Malus domestica"", ""vavilov_center"": ""vc:central_asian""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Cornille A. et al. 2014, Trends in Genet. 30(2):57-65 \u2014 The domestication and evolutionary ecology of apples""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Musa_acuminata_A_genome	wild_ancestor	Musa acuminata (A genome)	Musa acuminata	"{""context_crop"": ""Musa x paradisiaca / Musa acuminata cultivar group"", ""vavilov_center"": ""vc:indo_malay""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""D'Hont A. et al. 2012, Nature 488:213-217 \u2014 The banana (Musa acuminata) genome""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Musa_balbisiana_B_genome	wild_ancestor	Musa balbisiana (B genome)	Musa balbisiana	"{""context_crop"": ""Musa x paradisiaca / Musa acuminata cultivar group"", ""vavilov_center"": ""vc:indo_malay""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""D'Hont A. et al. 2012, Nature 488:213-217 \u2014 The banana (Musa acuminata) genome""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Brassica_rapa_A_genome	wild_ancestor	Brassica rapa (A genome)	Brassica rapa	"{""context_crop"": ""Brassica napus"", ""vavilov_center"": ""vc:mediterranean""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Chalhoub B. et al. 2014, Science 345:950-953 \u2014 Early allopolyploid evolution in the post-Neolithic Brassica napus oilseed genome""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Brassica_oleracea_C_genome	wild_ancestor	Brassica oleracea (C genome)	Brassica oleracea	"{""context_crop"": ""Brassica napus"", ""vavilov_center"": ""vc:mediterranean""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Chalhoub B. et al. 2014, Science 345:950-953 \u2014 Early allopolyploid evolution in the post-Neolithic Brassica napus oilseed genome""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
