node_id	node_type	raw_label	canonical_taxon	attributes_json	source_id	source_provenance_json	allowed_evidence_scope	caveats_json
vc:chinese	vavilov_center	Chinese / East Asian center		"{""region"": ""East Asia (China, Korea, Japan)"", ""contested"": true, ""framework_note"": ""Vavilov 1926/1992 plus Harlan 1971 extensions; centers are contested in modern phylogeography (e.g. multiple origins of rice, banana).""}"	vincent_2013_cwr	"{""source_id"": ""vincent_2013_cwr"", ""source_name"": ""Vincent et al. 2013 Global CWR Checklist"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Article copyright Elsevier; factual taxon list extracted"", ""attribution"": ""Vincent H. et al. 2013, Biological Conservation 167:265-275"", ""source_reliability"": 0.93, ""secondary_attribution"": ""Vavilov 1926/1992; Hawkes 1983""}"	supports 'this source asserts X is a center for crop Y'; does not support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov+Harlan extensions""}"
vc:indian	vavilov_center	Indian / Indo-Burman center		"{""region"": ""South Asia (India, Indo-Burma)"", ""contested"": true, ""framework_note"": ""Vavilov 1926/1992 plus Harlan 1971 extensions; centers are contested in modern phylogeography (e.g. multiple origins of rice, banana).""}"	vincent_2013_cwr	"{""source_id"": ""vincent_2013_cwr"", ""source_name"": ""Vincent et al. 2013 Global CWR Checklist"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Article copyright Elsevier; factual taxon list extracted"", ""attribution"": ""Vincent H. et al. 2013, Biological Conservation 167:265-275"", ""source_reliability"": 0.93, ""secondary_attribution"": ""Vavilov 1926/1992""}"	supports 'this source asserts X is a center for crop Y'; does not support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov+Harlan extensions""}"
vc:indo_malay	vavilov_center	Indo-Malayan / Indonesian-Indochinese		"{""region"": ""SE Asia, Malay Archipelago, New Guinea"", ""contested"": true, ""framework_note"": ""Vavilov 1926/1992 plus Harlan 1971 extensions; centers are contested in modern phylogeography (e.g. multiple origins of rice, banana).""}"	vincent_2013_cwr	"{""source_id"": ""vincent_2013_cwr"", ""source_name"": ""Vincent et al. 2013 Global CWR Checklist"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Article copyright Elsevier; factual taxon list extracted"", ""attribution"": ""Vincent H. et al. 2013, Biological Conservation 167:265-275"", ""source_reliability"": 0.93, ""secondary_attribution"": ""Vavilov 1926/1992; Zeven & de Wet 1982""}"	supports 'this source asserts X is a center for crop Y'; does not support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov+Harlan extensions""}"
vc:central_asian	vavilov_center	Central Asian center		"{""region"": ""Central Asia (Hindu Kush, Pamir, Tien Shan)"", ""contested"": true, ""framework_note"": ""Vavilov 1926/1992 plus Harlan 1971 extensions; centers are contested in modern phylogeography (e.g. multiple origins of rice, banana).""}"	vincent_2013_cwr	"{""source_id"": ""vincent_2013_cwr"", ""source_name"": ""Vincent et al. 2013 Global CWR Checklist"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Article copyright Elsevier; factual taxon list extracted"", ""attribution"": ""Vincent H. et al. 2013, Biological Conservation 167:265-275"", ""source_reliability"": 0.93, ""secondary_attribution"": ""Vavilov 1926/1992""}"	supports 'this source asserts X is a center for crop Y'; does not support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov+Harlan extensions""}"
vc:near_eastern	vavilov_center	Near Eastern / Fertile Crescent		"{""region"": ""Levant, Anatolia, Iran"", ""contested"": true, ""framework_note"": ""Vavilov 1926/1992 plus Harlan 1971 extensions; centers are contested in modern phylogeography (e.g. multiple origins of rice, banana).""}"	vincent_2013_cwr	"{""source_id"": ""vincent_2013_cwr"", ""source_name"": ""Vincent et al. 2013 Global CWR Checklist"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Article copyright Elsevier; factual taxon list extracted"", ""attribution"": ""Vincent H. et al. 2013, Biological Conservation 167:265-275"", ""source_reliability"": 0.93, ""secondary_attribution"": ""Vavilov 1926/1992; Zohary, Hopf & Weiss 2012""}"	supports 'this source asserts X is a center for crop Y'; does not support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov+Harlan extensions""}"
vc:mediterranean	vavilov_center	Mediterranean center		"{""region"": ""Mediterranean basin"", ""contested"": true, ""framework_note"": ""Vavilov 1926/1992 plus Harlan 1971 extensions; centers are contested in modern phylogeography (e.g. multiple origins of rice, banana).""}"	vincent_2013_cwr	"{""source_id"": ""vincent_2013_cwr"", ""source_name"": ""Vincent et al. 2013 Global CWR Checklist"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Article copyright Elsevier; factual taxon list extracted"", ""attribution"": ""Vincent H. et al. 2013, Biological Conservation 167:265-275"", ""source_reliability"": 0.93, ""secondary_attribution"": ""Vavilov 1926/1992""}"	supports 'this source asserts X is a center for crop Y'; does not support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov+Harlan extensions""}"
vc:abyssinian	vavilov_center	Ethiopian / Abyssinian center		"{""region"": ""Horn of Africa (Ethiopia, Eritrea)"", ""contested"": true, ""framework_note"": ""Vavilov 1926/1992 plus Harlan 1971 extensions; centers are contested in modern phylogeography (e.g. multiple origins of rice, banana).""}"	vincent_2013_cwr	"{""source_id"": ""vincent_2013_cwr"", ""source_name"": ""Vincent et al. 2013 Global CWR Checklist"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Article copyright Elsevier; factual taxon list extracted"", ""attribution"": ""Vincent H. et al. 2013, Biological Conservation 167:265-275"", ""source_reliability"": 0.93, ""secondary_attribution"": ""Vavilov 1926/1992; Harlan 1969""}"	supports 'this source asserts X is a center for crop Y'; does not support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov+Harlan extensions""}"
vc:south_mexican	vavilov_center	South Mexican / Central American		"{""region"": ""Mexico, Mesoamerica"", ""contested"": true, ""framework_note"": ""Vavilov 1926/1992 plus Harlan 1971 extensions; centers are contested in modern phylogeography (e.g. multiple origins of rice, banana).""}"	vincent_2013_cwr	"{""source_id"": ""vincent_2013_cwr"", ""source_name"": ""Vincent et al. 2013 Global CWR Checklist"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Article copyright Elsevier; factual taxon list extracted"", ""attribution"": ""Vincent H. et al. 2013, Biological Conservation 167:265-275"", ""source_reliability"": 0.93, ""secondary_attribution"": ""Vavilov 1926/1992""}"	supports 'this source asserts X is a center for crop Y'; does not support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov+Harlan extensions""}"
vc:south_american	vavilov_center	South American (Andean / Brazilian-Paraguayan / Chiloe)		"{""region"": ""Andes, Amazonia, southern cone"", ""contested"": true, ""framework_note"": ""Vavilov 1926/1992 plus Harlan 1971 extensions; centers are contested in modern phylogeography (e.g. multiple origins of rice, banana).""}"	vincent_2013_cwr	"{""source_id"": ""vincent_2013_cwr"", ""source_name"": ""Vincent et al. 2013 Global CWR Checklist"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Article copyright Elsevier; factual taxon list extracted"", ""attribution"": ""Vincent H. et al. 2013, Biological Conservation 167:265-275"", ""source_reliability"": 0.93, ""secondary_attribution"": ""Vavilov 1926/1992""}"	supports 'this source asserts X is a center for crop Y'; does not support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov+Harlan extensions""}"
vc:north_american	vavilov_center	North American (Harlan added)		"{""region"": ""North America east of Rockies"", ""contested"": true, ""framework_note"": ""Vavilov 1926/1992 plus Harlan 1971 extensions; centers are contested in modern phylogeography (e.g. multiple origins of rice, banana).""}"	vincent_2013_cwr	"{""source_id"": ""vincent_2013_cwr"", ""source_name"": ""Vincent et al. 2013 Global CWR Checklist"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Article copyright Elsevier; factual taxon list extracted"", ""attribution"": ""Vincent H. et al. 2013, Biological Conservation 167:265-275"", ""source_reliability"": 0.93, ""secondary_attribution"": ""Harlan 1971 'centers of agriculture'""}"	supports 'this source asserts X is a center for crop Y'; does not support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov+Harlan extensions""}"
