mechanism,cancellation_type,stratum_type,classification,A_offset_from_markov,sigma,denominator_loss_D,Lambda0_power,surface_attached,pointwise_at_x_1_over_n,requires_absolute_control,uses_only_schreier_or_independent_permutation_evidence,paper_safe_range,paper_proved_success,claims_proved_exponent_improvement,claims_local_statistics,claims_variance_law,claims_shrinking_window_theorem,reason
markov_baseline,none,global,paper_proved_baseline,0.0,0.0,0.0,20,True,True,False,False,True,True,False,False,False,False,Existing reciprocal-integer plus Markov interpolation bound.
surface_signed_pointwise_grouping,signed_pointwise,surface_quotient_strata,surface_theorem_target,1.5,0.35,0.0,20,True,True,False,False,True,False,False,False,False,False,"Would group actual weighted Q_{gamma1^k1,gamma2^k2}(1/n) terms with signs after normalization."
diagonal_offdiagonal_signed_balance,diagonal_offdiagonal,primitive_power,surface_theorem_target,1.0,0.25,0.0,20,True,True,False,False,True,False,False,False,False,False,Could be independent only if diagonal and off-diagonal surface strata cancel at x=1/n.
oscillatory_transform_phase,phase_oscillation,length,surface_theorem_target,1.0,0.35,0.0,20,True,True,False,False,True,False,False,False,False,False,Uses signs from transform values together with surface quotient evaluations.
fixed_d_absolute_stratum_control,absolute_stratum_bound,fixed_d,coefficient_variation_equivalent,2.0,0.0,0.0,20,True,True,True,False,True,False,False,False,False,False,"If every fixed d=C-V stratum is controlled in absolute value, this is coefficient variation in substance."
coefficient_sign_variation_control,coefficient_variation,coefficient,coefficient_variation_equivalent,2.0,0.15,0.0,20,True,True,True,False,True,False,False,False,False,False,Expands coefficients or total signed variation rather than proving a pointwise value cancellation.
x_zero_only_cancellation,wrong_point,special_point,range_blocked,2.0,0.35,0.0,20,True,False,False,False,True,False,False,False,False,False,Cancellation at x=0 does not control the evaluated ratio at x=1/n.
off_range_reciprocal_cancellation,wrong_range,reciprocal_boundary,range_blocked,2.0,0.35,0.0,20,True,True,False,False,False,False,False,False,False,False,Uses reciprocal values below the Corollary 3.4 safe range.
near_zero_denominator_signed_saving,denominator_loss,denominator,denominator_blocked,2.0,0.6,1.0,20,True,True,False,False,False,False,False,False,False,False,A near-zero denominator subtracts D from the signed numerator saving.
schreier_pairing_transfer,toy_pairing,toy,toy_only,2.0,0.35,0.0,20,False,True,False,True,True,False,False,False,False,False,"Independent-permutation cancellations do not include the surface relation, Q_id, MPvH/Nau inputs, or Selberg weights."
special_point:x=0,special_point,special_point,range_blocked,0.0,0.0,0.0,20,True,False,False,False,False,False,False,False,False,False,Wrong evaluation point unless paired with neighborhood or coefficient control.
special_point:x=1/n,special_point,special_point,surface_theorem_target,0.0,0.0,0.0,20,True,True,False,False,True,False,False,False,False,False,The actual denominator-normalized target point.
special_point:n=Cq^kappa,special_point,special_point,surface_theorem_target,0.0,0.0,0.0,20,True,False,False,False,True,False,False,False,False,False,Paper-safe boundary after constants are chosen.
special_point:q->infinity,special_point,special_point,surface_theorem_target,0.0,0.0,0.0,20,True,False,False,False,False,False,False,False,False,False,Degree and quotient complexity grow with q.
special_point:fixed_Lambda0,special_point,special_point,paper_proved_baseline,0.0,0.0,0.0,20,True,False,False,False,True,False,False,False,False,False,Isolates the q-exponent while preserving Lambda0^20.
special_point:high_Lambda0,special_point,special_point,paper_proved_baseline,0.0,0.0,0.0,20,True,False,False,False,True,False,False,False,False,False,M37 preserves Lambda0^20 and proves no high-energy saving.
special_point:Q_id(1/n)=0,special_point,special_point,denominator_blocked,0.0,0.0,0.0,20,True,False,False,False,False,False,False,False,False,False,Excluded in the paper range but fatal outside it.
special_point:Q_id(1/n) near-zero,special_point,special_point,denominator_blocked,0.0,0.0,0.0,20,True,False,False,False,False,False,False,False,False,False,Modeled by D; it can erase every signed saving.
