blocked_reason,quarantine_category,path_count,fail_closed
empty_path,empty_path,1,true
failed_attestation_mechanically_valid,failed_gate,1,true
final_readiness_without_handoff_traceability,downstream_gate_violation,1,true
mismatched_bundle_id,identifier_mismatch,1,true
mismatched_collector_id,identifier_mismatch,1,true
mismatched_measurement_run_id,identifier_mismatch,1,true
mismatched_operator_id,identifier_mismatch,1,true
mismatched_schema_version,identifier_mismatch,1,true
non_production_evidence_label,evidence_label_boundary,3,true
out_of_order_state,skipped_or_order,1,true
proxy_evidence_threshold_credit_blocked,evidence_label_boundary,1,true
skipped_adapter_conformance,skipped_or_order,1,true
skipped_attestation,skipped_or_order,1,true
skipped_intake,skipped_or_order,1,true
skipped_trust_policy,skipped_or_order,1,true
threshold_without_noise_floor,downstream_gate_violation,1,true
threshold_without_security_provenance,downstream_gate_violation,1,true
