hook,owner,required_fields,workload_regimes,object_classes,evidence_source,failure_if_missing
object_registry,runtime,object_id; object_class; size_units,all nontrivial regimes,all memory objects,M-TAX-1; M-SCHED-1,placement collapses to aggregate request/model heuristics
lifetime_boundary,runtime+compiler,lifetime_start; lifetime_end,RAG; code-agent; verification-heavy; branch/merge,KV cache; retrieved context; tool output; branch state; verifier state,M-LIFE-1,state is evicted before reuse or retained after value expires
reuse_probability_estimator,runtime,reuse_probability; reuse_distance_driver,RAG; prefix reuse; semantic cache; tool reuse,prefix cache; retrieved context; tool output; semantic cache entry,M-LIFE-1; M-SIM-1,reuse-aware tiering cannot distinguish hot objects from dead state
retention_value_estimator,runtime,reuse_probability; recompute_cost; loss_cost; residency_cost,all options with caching beyond baseline,all memory objects,M-COST-1,eviction policy optimizes bytes instead of retained value
correctness_sensitive_pin,runtime+storage,correctness_sensitive; loss_cost; provenance pointer,RAG; code-agent; verification-heavy; branch/merge,retrieved context; tool output; verifier state; trajectory log; durable workspace,M-COST-1; M-SIM-1,scheduler treats correctness loss as latency-only recomputation
durability_horizon,runtime+storage,durability_horizon; artifact_dependency_graph,code-agent; long-running research; branch/merge,tool output; trajectory log; durable workspace,M-LIFE-1; M-SCHED-1,"workspace artifacts are archived, evicted, or summarized before downstream use"
branch_state_annotation,compiler+runtime,branch_fanout; branch_survival; merge_probability,branch/merge; speculative agents,branch state; KV cache; trajectory log,M-LIFE-1; M-SCHED-1,branch-local state is either overpinned or lost before merge
verifier_retention_barrier,compiler+runtime,verifier_delay; validation_loop_id; candidate_id,verification-heavy; code-agent; branch/merge,verifier state; tool output; trajectory log,M-SCHED-1,counterexamples and test evidence are recomputed or omitted from final audit
trajectory_graph_edge,runtime+storage,trajectory_id; parent_edge; merge_or_discard_state,code-agent; verification-heavy; branch/merge,branch state; verifier state; trajectory log; durable workspace,M-SCHED-1,object-local policy misses cross-object dependencies
tier_placement_hint,runtime,tier_candidates; hotness; transfer_cost_proxy,all options,all memory objects,M-COST-1; M-SIM-1,objects move through tiers without exposing value/cost tradeoff
compression_boundary,compiler+runtime,compression_candidate; summary_pointer; raw_pointer,RAG; code-agent; durable workspace,KV cache; retrieved context; tool output; trajectory log; durable workspace,M-TAX-1,summaries lose required provenance or raw state remains too expensive
provenance_pointer,storage+runtime,source_uri; version; invalidation_signal,RAG; tool agents; audits,retrieved context; tool output; semantic cache entry; durable workspace,M-TAX-1; M-SIM-1,"cache hits become stale, unverifiable, or semantically wrong"
