setting,workload_class,baseline_option,planned_option,dominant_constraint,constraint_counts,total_net_plan_value,positive_reuse_rows,evidence_label
baseline,RAG,B_memory_object_aware_runtime,B_memory_object_aware_runtime,capacity,capacity=11; compression_unsafe=1; queueing_overhead=5; security_gate=6; validation_overhead=1; value_positive=3,30.812157,15,synthetic_planning
baseline,batch summarization/offline inference control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_or_zero_reuse,control_or_zero_reuse=11,-7.1563,0,synthetic_planning
baseline,code-agent loop,C_trajectory_dag_memory_fabric,B_memory_object_aware_runtime,security_gate,capacity=16; contention_tail=5; queueing_overhead=7; security_gate=29; validation_overhead=1; value_positive=5,21.909521,21,synthetic_planning
baseline,multi-agent branch/merge,C_trajectory_dag_memory_fabric,B_memory_object_aware_runtime,security_gate,capacity=18; contention_tail=6; queueing_overhead=8; security_gate=58; validation_overhead=1; value_positive=6,7.363077,24,synthetic_planning
baseline,single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_or_zero_reuse,control_or_zero_reuse=7,-5.1716,0,synthetic_planning
baseline,verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,security_gate,capacity=15; compression_unsafe=1; contention_tail=4; queueing_overhead=7; security_gate=30; validation_overhead=1,-1.287681,16,synthetic_planning
tight_capacity,RAG,B_memory_object_aware_runtime,B_memory_object_aware_runtime,capacity,capacity=12; queueing_overhead=5; security_gate=6; validation_overhead=1; value_positive=3,30.812157,15,synthetic_planning
tight_capacity,batch summarization/offline inference control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_or_zero_reuse,control_or_zero_reuse=11,-7.1563,0,synthetic_planning
tight_capacity,code-agent loop,C_trajectory_dag_memory_fabric,B_memory_object_aware_runtime,security_gate,capacity=20; contention_tail=1; queueing_overhead=7; security_gate=29; validation_overhead=1; value_positive=5,28.885832,25,synthetic_planning
tight_capacity,multi-agent branch/merge,C_trajectory_dag_memory_fabric,B_memory_object_aware_runtime,security_gate,capacity=21; contention_tail=3; queueing_overhead=8; security_gate=58; validation_overhead=1; value_positive=6,14.402599,27,synthetic_planning
tight_capacity,single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_or_zero_reuse,control_or_zero_reuse=7,-5.1716,0,synthetic_planning
tight_capacity,verification-heavy,C_trajectory_dag_memory_fabric,B_memory_object_aware_runtime,security_gate,capacity=17; contention_tail=3; queueing_overhead=7; security_gate=30; validation_overhead=1,-1.523903,17,synthetic_planning
high_validation_overhead,RAG,B_memory_object_aware_runtime,B_memory_object_aware_runtime,capacity,capacity=11; security_gate=6; validation_overhead=7; value_positive=3,11.686757,14,synthetic_planning
high_validation_overhead,batch summarization/offline inference control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_or_zero_reuse,control_or_zero_reuse=11,-7.1563,0,synthetic_planning
high_validation_overhead,code-agent loop,C_trajectory_dag_memory_fabric,B_memory_object_aware_runtime,security_gate,capacity=16; security_gate=29; validation_overhead=13; value_positive=5,-34.648379,21,synthetic_planning
high_validation_overhead,multi-agent branch/merge,C_trajectory_dag_memory_fabric,B_memory_object_aware_runtime,security_gate,capacity=18; security_gate=58; validation_overhead=15; value_positive=6,-77.399412,24,synthetic_planning
high_validation_overhead,single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_or_zero_reuse,control_or_zero_reuse=7,-5.1716,0,synthetic_planning
high_validation_overhead,verification-heavy,C_trajectory_dag_memory_fabric,B_memory_object_aware_runtime,security_gate,capacity=15; security_gate=30; validation_overhead=13,-60.80157,15,synthetic_planning
pathological_cxl_p99,RAG,B_memory_object_aware_runtime,B_memory_object_aware_runtime,capacity,capacity=11; compression_unsafe=1; queueing_overhead=5; security_gate=6; validation_overhead=1; value_positive=3,30.212157,15,synthetic_planning
pathological_cxl_p99,batch summarization/offline inference control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_or_zero_reuse,control_or_zero_reuse=11,-7.1563,0,synthetic_planning
pathological_cxl_p99,code-agent loop,C_trajectory_dag_memory_fabric,B_memory_object_aware_runtime,security_gate,capacity=16; contention_tail=5; queueing_overhead=7; security_gate=29; validation_overhead=1; value_positive=5,19.509521,21,synthetic_planning
pathological_cxl_p99,multi-agent branch/merge,C_trajectory_dag_memory_fabric,B_memory_object_aware_runtime,security_gate,capacity=18; contention_tail=6; queueing_overhead=8; security_gate=58; validation_overhead=1; value_positive=6,3.013077,24,synthetic_planning
pathological_cxl_p99,single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_or_zero_reuse,control_or_zero_reuse=7,-7.1216,0,synthetic_planning
pathological_cxl_p99,verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,security_gate,capacity=15; compression_unsafe=1; contention_tail=4; queueing_overhead=7; security_gate=30; validation_overhead=1,-3.643903,16,synthetic_planning
