L,variant,weight_scheme,n_power,coefficient_order,aggregate_coefficient,tv_stratum,m7_bound_proxy,weighted_stratum_bound_proxy,empirical_ratio,notes
1,all_conflict_free,weight_exp_decay_theta_0_5,0,1,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_exp_decay_theta_0_5,0,2,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_exp_decay_theta_0_5,0,3,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_exp_decay_theta_0_5,0,4,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_exp_decay_theta_0_5,1,1,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_exp_decay_theta_0_5,1,2,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_exp_decay_theta_0_5,1,3,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_exp_decay_theta_0_5,1,4,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_length_inverse,0,1,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_length_inverse,0,2,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_length_inverse,0,3,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_length_inverse,0,4,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_length_inverse,1,1,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_length_inverse,1,2,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_length_inverse,1,3,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_length_inverse,1,4,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_unweighted,0,1,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_unweighted,0,2,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_unweighted,0,3,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_unweighted,0,4,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_unweighted,1,1,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_unweighted,1,2,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
