claim_id,claim,blocker_type,source_artifact,required_resolution,readiness_label
DC-001,Production calibration rejected for valid-dc001-rag-b,production_calibrated,data/production_dc12_ingestion_results.csv,"Provide real production_target telemetry with all required fields, joins, noise, threshold, and security/provenance gates passing.",production_calibration_required
DC-002,Production calibration rejected for valid-dc002-rag-c,production_calibrated,data/production_dc12_ingestion_results.csv,"Provide real production_target telemetry with all required fields, joins, noise, threshold, and security/provenance gates passing.",production_calibration_required
DC-002,Production calibration rejected for valid-dc002-code-b,threshold_crossed,data/production_dc12_ingestion_results.csv,"Provide real production_target telemetry with all required fields, joins, noise, threshold, and security/provenance gates passing.",production_calibration_required
DC-002,Production calibration rejected for valid-control-a,threshold_crossed,data/production_dc12_ingestion_results.csv,"Provide real production_target telemetry with all required fields, joins, noise, threshold, and security/provenance gates passing.",production_calibration_required
DC-001,Production calibration rejected for invalid-missing-power-interval,join_valid,data/production_dc12_ingestion_results.csv,"Provide real production_target telemetry with all required fields, joins, noise, threshold, and security/provenance gates passing.",blocked
DC-001,Production calibration rejected for invalid-missing-tier-bytes,schema_valid,data/production_dc12_ingestion_results.csv,"Provide real production_target telemetry with all required fields, joins, noise, threshold, and security/provenance gates passing.",blocked
DC-001,Production calibration rejected for invalid-missing-label,schema_valid,data/production_dc12_ingestion_results.csv,"Provide real production_target telemetry with all required fields, joins, noise, threshold, and security/provenance gates passing.",blocked
DC-001,Production calibration rejected for invalid-missing-topology-tenant,schema_valid,data/production_dc12_ingestion_results.csv,"Provide real production_target telemetry with all required fields, joins, noise, threshold, and security/provenance gates passing.",blocked
DC-001,Production calibration rejected for invalid-unaligned-interval,join_valid,data/production_dc12_ingestion_results.csv,"Provide real production_target telemetry with all required fields, joins, noise, threshold, and security/provenance gates passing.",blocked
DC-001,Production calibration rejected for invalid-below-noise,noise_floor_passed,data/production_dc12_ingestion_results.csv,"Provide real production_target telemetry with all required fields, joins, noise, threshold, and security/provenance gates passing.",blocked
DC-001,Production calibration rejected for invalid-security-positive-credit,security_credit_allowed,data/production_dc12_ingestion_results.csv,"Provide real production_target telemetry with all required fields, joins, noise, threshold, and security/provenance gates passing.",blocked
DC-001,Production calibration rejected for invalid-host-proxy-mislabeled,calibration_candidate,data/production_dc12_ingestion_results.csv,"Provide real production_target telemetry with all required fields, joins, noise, threshold, and security/provenance gates passing.",blocked
