source_row_id,mlperf_benchmark,scenario,hardware_family,campaign_dimension,mapping_strength,directly_calibratable,calibration_blocker,recommended_use,notes
mlperf_v60_01,deepseek-r1,Server,NVIDIA datacenter accelerator,programmable_accelerator_throughput_prior,medium,partial,benchmark throughput is not identical safety-filter request accounting,bounded_prior_refresh,Use 58553.3 Tokens/s as public programmable-system strength context only.
mlperf_v60_01,deepseek-r1,Server,NVIDIA datacenter accelerator,programmable_accelerator_energy_prior,none,no,not_directly_energy_calibratable,do_not_update_energy,No energy value inferred from throughput-only evidence.
mlperf_v60_01,deepseek-r1,Server,NVIDIA datacenter accelerator,software_runtime_prior,weak,no,"submitted system includes full benchmark stack, not isolated campaign software-runtime path",qualitative_context_only,"Useful for public runtime maturity context, not direct M-SWBASE-2 replacement."
mlperf_v60_01,deepseek-r1,Server,NVIDIA datacenter accelerator,workload_comparability,weak,no,MLPerf benchmark workload differs from safety-filter feature/audit/fallback/update accounting,state_non_comparability,"Scenario labels such as Server or Offline are useful structure, not workload identity."
mlperf_v60_01,deepseek-r1,Server,NVIDIA datacenter accelerator,direct_energy_calibration_usable,none,no,no explicit comparable energy-per-request field in selected primary rows,block_direct_energy_update,Energy calibration remains unchanged until explicit comparable power/energy plus workload accounting exists.
mlperf_v60_01,deepseek-r1,Server,NVIDIA datacenter accelerator,safety_filter_workload_comparable,none,no,not the campaign safety-filter production/shadow/canary workload,no_hybrid_reopen_credit,Does not supply measured hybrid total H or measured best programmable baseline under identical safety-filter workload.
mlperf_v60_02,deepseek-r1,Server,NVIDIA datacenter accelerator,programmable_accelerator_throughput_prior,medium,partial,benchmark throughput is not identical safety-filter request accounting,bounded_prior_refresh,Use 311531.0 Tokens/s as public programmable-system strength context only.
mlperf_v60_02,deepseek-r1,Server,NVIDIA datacenter accelerator,programmable_accelerator_energy_prior,none,no,not_directly_energy_calibratable,do_not_update_energy,No energy value inferred from throughput-only evidence.
mlperf_v60_02,deepseek-r1,Server,NVIDIA datacenter accelerator,software_runtime_prior,weak,no,"submitted system includes full benchmark stack, not isolated campaign software-runtime path",qualitative_context_only,"Useful for public runtime maturity context, not direct M-SWBASE-2 replacement."
mlperf_v60_02,deepseek-r1,Server,NVIDIA datacenter accelerator,workload_comparability,weak,no,MLPerf benchmark workload differs from safety-filter feature/audit/fallback/update accounting,state_non_comparability,"Scenario labels such as Server or Offline are useful structure, not workload identity."
mlperf_v60_02,deepseek-r1,Server,NVIDIA datacenter accelerator,direct_energy_calibration_usable,none,no,no explicit comparable energy-per-request field in selected primary rows,block_direct_energy_update,Energy calibration remains unchanged until explicit comparable power/energy plus workload accounting exists.
mlperf_v60_02,deepseek-r1,Server,NVIDIA datacenter accelerator,safety_filter_workload_comparable,none,no,not the campaign safety-filter production/shadow/canary workload,no_hybrid_reopen_credit,Does not supply measured hybrid total H or measured best programmable baseline under identical safety-filter workload.
mlperf_v60_03,deepseek-r1,Server,NVIDIA datacenter accelerator,programmable_accelerator_throughput_prior,medium,partial,benchmark throughput is not identical safety-filter request accounting,bounded_prior_refresh,Use 46513.1 Tokens/s as public programmable-system strength context only.
mlperf_v60_03,deepseek-r1,Server,NVIDIA datacenter accelerator,programmable_accelerator_energy_prior,none,no,not_directly_energy_calibratable,do_not_update_energy,No energy value inferred from throughput-only evidence.
mlperf_v60_03,deepseek-r1,Server,NVIDIA datacenter accelerator,software_runtime_prior,weak,no,"submitted system includes full benchmark stack, not isolated campaign software-runtime path",qualitative_context_only,"Useful for public runtime maturity context, not direct M-SWBASE-2 replacement."
mlperf_v60_03,deepseek-r1,Server,NVIDIA datacenter accelerator,workload_comparability,weak,no,MLPerf benchmark workload differs from safety-filter feature/audit/fallback/update accounting,state_non_comparability,"Scenario labels such as Server or Offline are useful structure, not workload identity."
mlperf_v60_03,deepseek-r1,Server,NVIDIA datacenter accelerator,direct_energy_calibration_usable,none,no,no explicit comparable energy-per-request field in selected primary rows,block_direct_energy_update,Energy calibration remains unchanged until explicit comparable power/energy plus workload accounting exists.
mlperf_v60_03,deepseek-r1,Server,NVIDIA datacenter accelerator,safety_filter_workload_comparable,none,no,not the campaign safety-filter production/shadow/canary workload,no_hybrid_reopen_credit,Does not supply measured hybrid total H or measured best programmable baseline under identical safety-filter workload.
mlperf_v60_04,deepseek-r1,Server,NVIDIA datacenter accelerator,programmable_accelerator_throughput_prior,medium,partial,benchmark throughput is not identical safety-filter request accounting,bounded_prior_refresh,Use 35552.6 Tokens/s as public programmable-system strength context only.
mlperf_v60_04,deepseek-r1,Server,NVIDIA datacenter accelerator,programmable_accelerator_energy_prior,none,no,not_directly_energy_calibratable,do_not_update_energy,No energy value inferred from throughput-only evidence.
mlperf_v60_04,deepseek-r1,Server,NVIDIA datacenter accelerator,software_runtime_prior,weak,no,"submitted system includes full benchmark stack, not isolated campaign software-runtime path",qualitative_context_only,"Useful for public runtime maturity context, not direct M-SWBASE-2 replacement."
mlperf_v60_04,deepseek-r1,Server,NVIDIA datacenter accelerator,workload_comparability,weak,no,MLPerf benchmark workload differs from safety-filter feature/audit/fallback/update accounting,state_non_comparability,"Scenario labels such as Server or Offline are useful structure, not workload identity."
mlperf_v60_04,deepseek-r1,Server,NVIDIA datacenter accelerator,direct_energy_calibration_usable,none,no,no explicit comparable energy-per-request field in selected primary rows,block_direct_energy_update,Energy calibration remains unchanged until explicit comparable power/energy plus workload accounting exists.
mlperf_v60_04,deepseek-r1,Server,NVIDIA datacenter accelerator,safety_filter_workload_comparable,none,no,not the campaign safety-filter production/shadow/canary workload,no_hybrid_reopen_credit,Does not supply measured hybrid total H or measured best programmable baseline under identical safety-filter workload.
mlperf_v60_05,deepseek-r1,Offline,NVIDIA datacenter accelerator,programmable_accelerator_throughput_prior,medium,partial,benchmark throughput is not identical safety-filter request accounting,bounded_prior_refresh,Use 69251.4 Tokens/s as public programmable-system strength context only.
mlperf_v60_05,deepseek-r1,Offline,NVIDIA datacenter accelerator,programmable_accelerator_energy_prior,none,no,not_directly_energy_calibratable,do_not_update_energy,No energy value inferred from throughput-only evidence.
mlperf_v60_05,deepseek-r1,Offline,NVIDIA datacenter accelerator,software_runtime_prior,weak,no,"submitted system includes full benchmark stack, not isolated campaign software-runtime path",qualitative_context_only,"Useful for public runtime maturity context, not direct M-SWBASE-2 replacement."
mlperf_v60_05,deepseek-r1,Offline,NVIDIA datacenter accelerator,workload_comparability,weak,no,MLPerf benchmark workload differs from safety-filter feature/audit/fallback/update accounting,state_non_comparability,"Scenario labels such as Server or Offline are useful structure, not workload identity."
mlperf_v60_05,deepseek-r1,Offline,NVIDIA datacenter accelerator,direct_energy_calibration_usable,none,no,no explicit comparable energy-per-request field in selected primary rows,block_direct_energy_update,Energy calibration remains unchanged until explicit comparable power/energy plus workload accounting exists.
mlperf_v60_05,deepseek-r1,Offline,NVIDIA datacenter accelerator,safety_filter_workload_comparable,none,no,not the campaign safety-filter production/shadow/canary workload,no_hybrid_reopen_credit,Does not supply measured hybrid total H or measured best programmable baseline under identical safety-filter workload.
mlperf_v60_06,deepseek-r1,Offline,NVIDIA datacenter accelerator,programmable_accelerator_throughput_prior,medium,partial,benchmark throughput is not identical safety-filter request accounting,bounded_prior_refresh,Use 627653.0 Tokens/s as public programmable-system strength context only.
mlperf_v60_06,deepseek-r1,Offline,NVIDIA datacenter accelerator,programmable_accelerator_energy_prior,none,no,not_directly_energy_calibratable,do_not_update_energy,No energy value inferred from throughput-only evidence.
mlperf_v60_06,deepseek-r1,Offline,NVIDIA datacenter accelerator,software_runtime_prior,weak,no,"submitted system includes full benchmark stack, not isolated campaign software-runtime path",qualitative_context_only,"Useful for public runtime maturity context, not direct M-SWBASE-2 replacement."
mlperf_v60_06,deepseek-r1,Offline,NVIDIA datacenter accelerator,workload_comparability,weak,no,MLPerf benchmark workload differs from safety-filter feature/audit/fallback/update accounting,state_non_comparability,"Scenario labels such as Server or Offline are useful structure, not workload identity."
mlperf_v60_06,deepseek-r1,Offline,NVIDIA datacenter accelerator,direct_energy_calibration_usable,none,no,no explicit comparable energy-per-request field in selected primary rows,block_direct_energy_update,Energy calibration remains unchanged until explicit comparable power/energy plus workload accounting exists.
mlperf_v60_06,deepseek-r1,Offline,NVIDIA datacenter accelerator,safety_filter_workload_comparable,none,no,not the campaign safety-filter production/shadow/canary workload,no_hybrid_reopen_credit,Does not supply measured hybrid total H or measured best programmable baseline under identical safety-filter workload.
mlperf_v60_07,deepseek-r1,Offline,NVIDIA datacenter accelerator,programmable_accelerator_throughput_prior,medium,partial,benchmark throughput is not identical safety-filter request accounting,bounded_prior_refresh,Use 69021.2 Tokens/s as public programmable-system strength context only.
mlperf_v60_07,deepseek-r1,Offline,NVIDIA datacenter accelerator,programmable_accelerator_energy_prior,none,no,not_directly_energy_calibratable,do_not_update_energy,No energy value inferred from throughput-only evidence.
mlperf_v60_07,deepseek-r1,Offline,NVIDIA datacenter accelerator,software_runtime_prior,weak,no,"submitted system includes full benchmark stack, not isolated campaign software-runtime path",qualitative_context_only,"Useful for public runtime maturity context, not direct M-SWBASE-2 replacement."
mlperf_v60_07,deepseek-r1,Offline,NVIDIA datacenter accelerator,workload_comparability,weak,no,MLPerf benchmark workload differs from safety-filter feature/audit/fallback/update accounting,state_non_comparability,"Scenario labels such as Server or Offline are useful structure, not workload identity."
mlperf_v60_07,deepseek-r1,Offline,NVIDIA datacenter accelerator,direct_energy_calibration_usable,none,no,no explicit comparable energy-per-request field in selected primary rows,block_direct_energy_update,Energy calibration remains unchanged until explicit comparable power/energy plus workload accounting exists.
mlperf_v60_07,deepseek-r1,Offline,NVIDIA datacenter accelerator,safety_filter_workload_comparable,none,no,not the campaign safety-filter production/shadow/canary workload,no_hybrid_reopen_credit,Does not supply measured hybrid total H or measured best programmable baseline under identical safety-filter workload.
mlperf_v60_08,deepseek-r1,Offline,NVIDIA datacenter accelerator,programmable_accelerator_throughput_prior,medium,partial,benchmark throughput is not identical safety-filter request accounting,bounded_prior_refresh,Use 69617.4 Tokens/s as public programmable-system strength context only.
mlperf_v60_08,deepseek-r1,Offline,NVIDIA datacenter accelerator,programmable_accelerator_energy_prior,none,no,not_directly_energy_calibratable,do_not_update_energy,No energy value inferred from throughput-only evidence.
mlperf_v60_08,deepseek-r1,Offline,NVIDIA datacenter accelerator,software_runtime_prior,weak,no,"submitted system includes full benchmark stack, not isolated campaign software-runtime path",qualitative_context_only,"Useful for public runtime maturity context, not direct M-SWBASE-2 replacement."
mlperf_v60_08,deepseek-r1,Offline,NVIDIA datacenter accelerator,workload_comparability,weak,no,MLPerf benchmark workload differs from safety-filter feature/audit/fallback/update accounting,state_non_comparability,"Scenario labels such as Server or Offline are useful structure, not workload identity."
mlperf_v60_08,deepseek-r1,Offline,NVIDIA datacenter accelerator,direct_energy_calibration_usable,none,no,no explicit comparable energy-per-request field in selected primary rows,block_direct_energy_update,Energy calibration remains unchanged until explicit comparable power/energy plus workload accounting exists.
mlperf_v60_08,deepseek-r1,Offline,NVIDIA datacenter accelerator,safety_filter_workload_comparable,none,no,not the campaign safety-filter production/shadow/canary workload,no_hybrid_reopen_credit,Does not supply measured hybrid total H or measured best programmable baseline under identical safety-filter workload.
mlperf_v60_09,deepseek-r1,Interactive,NVIDIA datacenter accelerator,programmable_accelerator_throughput_prior,medium,partial,benchmark throughput is not identical safety-filter request accounting,bounded_prior_refresh,Use 4934.65 Tokens/s as public programmable-system strength context only.
mlperf_v60_09,deepseek-r1,Interactive,NVIDIA datacenter accelerator,programmable_accelerator_energy_prior,none,no,not_directly_energy_calibratable,do_not_update_energy,No energy value inferred from throughput-only evidence.
mlperf_v60_09,deepseek-r1,Interactive,NVIDIA datacenter accelerator,software_runtime_prior,weak,no,"submitted system includes full benchmark stack, not isolated campaign software-runtime path",qualitative_context_only,"Useful for public runtime maturity context, not direct M-SWBASE-2 replacement."
mlperf_v60_09,deepseek-r1,Interactive,NVIDIA datacenter accelerator,workload_comparability,weak,no,MLPerf benchmark workload differs from safety-filter feature/audit/fallback/update accounting,state_non_comparability,"Scenario labels such as Server or Offline are useful structure, not workload identity."
mlperf_v60_09,deepseek-r1,Interactive,NVIDIA datacenter accelerator,direct_energy_calibration_usable,none,no,no explicit comparable energy-per-request field in selected primary rows,block_direct_energy_update,Energy calibration remains unchanged until explicit comparable power/energy plus workload accounting exists.
mlperf_v60_09,deepseek-r1,Interactive,NVIDIA datacenter accelerator,safety_filter_workload_comparable,none,no,not the campaign safety-filter production/shadow/canary workload,no_hybrid_reopen_credit,Does not supply measured hybrid total H or measured best programmable baseline under identical safety-filter workload.
mlperf_v60_10,deepseek-r1,Interactive,NVIDIA datacenter accelerator,programmable_accelerator_throughput_prior,medium,partial,benchmark throughput is not identical safety-filter request accounting,bounded_prior_refresh,Use 250634.0 Tokens/s as public programmable-system strength context only.
mlperf_v60_10,deepseek-r1,Interactive,NVIDIA datacenter accelerator,programmable_accelerator_energy_prior,none,no,not_directly_energy_calibratable,do_not_update_energy,No energy value inferred from throughput-only evidence.
mlperf_v60_10,deepseek-r1,Interactive,NVIDIA datacenter accelerator,software_runtime_prior,weak,no,"submitted system includes full benchmark stack, not isolated campaign software-runtime path",qualitative_context_only,"Useful for public runtime maturity context, not direct M-SWBASE-2 replacement."
mlperf_v60_10,deepseek-r1,Interactive,NVIDIA datacenter accelerator,workload_comparability,weak,no,MLPerf benchmark workload differs from safety-filter feature/audit/fallback/update accounting,state_non_comparability,"Scenario labels such as Server or Offline are useful structure, not workload identity."
mlperf_v60_10,deepseek-r1,Interactive,NVIDIA datacenter accelerator,direct_energy_calibration_usable,none,no,no explicit comparable energy-per-request field in selected primary rows,block_direct_energy_update,Energy calibration remains unchanged until explicit comparable power/energy plus workload accounting exists.
mlperf_v60_10,deepseek-r1,Interactive,NVIDIA datacenter accelerator,safety_filter_workload_comparable,none,no,not the campaign safety-filter production/shadow/canary workload,no_hybrid_reopen_credit,Does not supply measured hybrid total H or measured best programmable baseline under identical safety-filter workload.
mlperf_v60_11,gpt-oss-120b,Interactive,NVIDIA datacenter accelerator,programmable_accelerator_throughput_prior,medium,partial,benchmark throughput is not identical safety-filter request accounting,bounded_prior_refresh,Use 26005.8 Tokens/s as public programmable-system strength context only.
mlperf_v60_11,gpt-oss-120b,Interactive,NVIDIA datacenter accelerator,programmable_accelerator_energy_prior,none,no,not_directly_energy_calibratable,do_not_update_energy,No energy value inferred from throughput-only evidence.
mlperf_v60_11,gpt-oss-120b,Interactive,NVIDIA datacenter accelerator,software_runtime_prior,weak,no,"submitted system includes full benchmark stack, not isolated campaign software-runtime path",qualitative_context_only,"Useful for public runtime maturity context, not direct M-SWBASE-2 replacement."
mlperf_v60_11,gpt-oss-120b,Interactive,NVIDIA datacenter accelerator,workload_comparability,weak,no,MLPerf benchmark workload differs from safety-filter feature/audit/fallback/update accounting,state_non_comparability,"Scenario labels such as Server or Offline are useful structure, not workload identity."
mlperf_v60_11,gpt-oss-120b,Interactive,NVIDIA datacenter accelerator,direct_energy_calibration_usable,none,no,no explicit comparable energy-per-request field in selected primary rows,block_direct_energy_update,Energy calibration remains unchanged until explicit comparable power/energy plus workload accounting exists.
mlperf_v60_11,gpt-oss-120b,Interactive,NVIDIA datacenter accelerator,safety_filter_workload_comparable,none,no,not the campaign safety-filter production/shadow/canary workload,no_hybrid_reopen_credit,Does not supply measured hybrid total H or measured best programmable baseline under identical safety-filter workload.
mlperf_v60_12,gpt-oss-120b,Interactive,NVIDIA datacenter accelerator,programmable_accelerator_throughput_prior,medium,partial,benchmark throughput is not identical safety-filter request accounting,bounded_prior_refresh,Use 677199.0 Tokens/s as public programmable-system strength context only.
mlperf_v60_12,gpt-oss-120b,Interactive,NVIDIA datacenter accelerator,programmable_accelerator_energy_prior,none,no,not_directly_energy_calibratable,do_not_update_energy,No energy value inferred from throughput-only evidence.
mlperf_v60_12,gpt-oss-120b,Interactive,NVIDIA datacenter accelerator,software_runtime_prior,weak,no,"submitted system includes full benchmark stack, not isolated campaign software-runtime path",qualitative_context_only,"Useful for public runtime maturity context, not direct M-SWBASE-2 replacement."
mlperf_v60_12,gpt-oss-120b,Interactive,NVIDIA datacenter accelerator,workload_comparability,weak,no,MLPerf benchmark workload differs from safety-filter feature/audit/fallback/update accounting,state_non_comparability,"Scenario labels such as Server or Offline are useful structure, not workload identity."
mlperf_v60_12,gpt-oss-120b,Interactive,NVIDIA datacenter accelerator,direct_energy_calibration_usable,none,no,no explicit comparable energy-per-request field in selected primary rows,block_direct_energy_update,Energy calibration remains unchanged until explicit comparable power/energy plus workload accounting exists.
