field_name,required,redaction_rule,purpose
case_id,true,stable_or_bucketed_for_replay,redaction fixture field
case_type,true,stable_or_bucketed_for_replay,redaction fixture field
policy_profile_id,true,stable_or_bucketed_for_replay,redaction fixture field
source_fixture_id,true,stable_or_bucketed_for_replay,redaction fixture field
measurement_run_pseudonym,true,stable_or_bucketed_for_replay,redaction fixture field
bundle_pseudonym,true,stable_or_bucketed_for_replay,redaction fixture field
collector_pseudonym,true,stable_or_bucketed_for_replay,redaction fixture field
tenant_pseudonym,true,stable_or_bucketed_for_replay,redaction fixture field
object_pseudonym,true,stable_or_bucketed_for_replay,redaction fixture field
object_pseudonym_interval_2,true,stable_or_bucketed_for_replay,redaction fixture field
workload_label,true,stable_or_bucketed_for_replay,redaction fixture field
topology_bucket,true,stable_or_bucketed_for_replay,redaction fixture field
topology_granularity,true,stable_or_bucketed_for_replay,redaction fixture field
security_context_pseudonym,true,stable_or_bucketed_for_replay,redaction fixture field
noise_floor_class,true,stable_or_bucketed_for_replay,redaction fixture field
clock_domain_pseudonym,true,stable_or_bucketed_for_replay,redaction fixture field
interval_id,true,stable_or_bucketed_for_replay,redaction fixture field
raw_tenant_identifier,false,forbidden_raw,redaction fixture field
raw_tool_output_uri,false,forbidden_raw,redaction fixture field
join_key_collision_count,true,stable_or_bucketed_for_replay,redaction fixture field
evidence_label,true,stable_or_bucketed_for_replay,redaction fixture field
expected_blocked_reason,false,stable_or_bucketed_for_replay,redaction fixture field
notes,false,stable_or_bucketed_for_replay,redaction fixture field
