grouping,grouping_invariant,paper_visibility,sign_source,evaluation_point,denominator_regime,required_input,classification,A_offset,sigma,D,Lambda0_power,beta_formula,paper_native,pointwise_at_x_1_over_n,denominator_safe,requires_absolute_fixed_stratum,uses_schreier_or_independent_permutation_evidence,claims_proved_exponent_improvement,claims_local_statistics,claims_variance_law,claims_shrinking_window_theorem,theorem_template,reason
markov_baseline,global_corollary34_ratio,paper_proved,none,x=1/n,paper_safe,reciprocal-integer control plus Markov brothers for x^2 p(x),paper_proved_baseline,0.0,0.0,0.0,20,beta=(2 kappa - A) eta + sigma - D,True,True,True,False,False,False,False,False,False,not a new grouping theorem,Existing baseline; included to anchor Lambda0^20 and zero saving.
quotient_complex_profile_pointwise,quotient polynomial degree/profile and d=C-V proxy,paper_visible,"Q_{gamma1^k1,gamma2^k2}(1/n) signs after transform weights",x=1/n,paper_safe,surface quotient-family cancellation inside each profile without absolute coefficient expansion,underdetermined_surface_input,1.5,0.3,0.0,20,beta=(2 kappa - A) eta + sigma - D,True,True,True,False,False,False,False,False,False,"SPC_G(A,sigma) for quotient-complex profiles","Paper-native invariant, but no current surface theorem supplies profile-level sign cancellation."
surface_relation_kernel_grouping,kernel constraints from the surface relation and quotient complex,paper_visible_but_implicit,evaluated quotient-polynomial signs constrained by surface-group relations,x=1/n,paper_safe,new Lemma 3.3-level structural cancellation theorem for relation-compatible quotients,surface_theorem_target,1.25,0.35,0.0,20,beta=(2 kappa - A) eta + sigma - D,True,True,True,False,False,False,False,False,False,"SPC_G(A,sigma) for surface-relation kernel classes",This is the cleanest surviving direct grouping target because it is surface-native and pointwise.
diagonal_offdiagonal_relation_balance,diagonal versus off-diagonal word relation,paper_visible,signed balance between diagonal and non-diagonal evaluated terms,x=1/n,paper_safe,actual surface diagonal/off-diagonal cancellation after Selberg and transform weights,underdetermined_surface_input,1.0,0.25,0.0,20,beta=(2 kappa - A) eta + sigma - D,True,True,True,False,False,False,False,False,False,"SPC_G(A,sigma) for diagonal/off-diagonal classes","Visible in the aggregate, but the diagonal is typically same-sign and must be balanced by a real surface input."
primitive_power_profile,"primitive geodesic and power pair (gamma,k)",paper_visible,transform signs and quotient evaluations across primitive-power shells,x=1/n,paper_safe,power-profile cancellation that does not take absolute values inside each power shell,underdetermined_surface_input,1.0,0.2,0.0,20,beta=(2 kappa - A) eta + sigma - D,True,True,True,False,False,False,False,False,False,"SPC_G(A,sigma) for primitive-power profiles",Primitive-power structure is native to the Selberg sum but cancellation remains unproved.
length_shell_transform_phase,geodesic length shell and transform sign/phase,paper_visible,(h o f_Lambda0)^vee(k ell_gamma) signs times Q_i(1/n),x=1/n,paper_safe,phase cancellation across length shells after positive Selberg length denominator,surface_theorem_target,1.0,0.35,0.0,20,beta=(2 kappa - A) eta + sigma - D,True,True,True,False,False,False,False,False,False,"SPC_G(A,sigma) for transform-phase length shells",Native sign source; theorem-ready as a falsifiable target but not proved by current paper inputs.
fixed_d_absolute_control,fixed d=C-V stratum,paper_visible_via_degree_proxy,none after absolute values,x=1/n,paper_safe,sum of absolute weights or coefficient total variation inside every fixed d stratum,coefficient_variation_equivalent,2.0,0.0,0.0,20,beta=(2 kappa - A) eta + sigma - D,True,True,True,True,False,False,False,False,False,not direct SPC_G; coefficient/signed-variation theorem,Taking absolute values in fixed d strata collapses the direct route into coefficient variation.
length_or_power_absolute_control,fixed length or primitive-power stratum,paper_visible,none after absolute values,x=1/n,paper_safe,absolute control in every length or primitive-power shell,coefficient_variation_equivalent,2.0,0.1,0.0,20,beta=(2 kappa - A) eta + sigma - D,True,True,True,True,False,False,False,False,False,not direct SPC_G; coefficient/signed-variation theorem,"A useful proof may exist, but it is no longer signed pointwise cancellation."
coefficient_expansion_by_x0,coefficient cancellation at x=0,paper_object_wrong_point,coefficient signs at x=0,x=0,paper_safe,neighborhood or coefficient-variation theorem connecting x=0 to x=1/n,range_blocked,2.0,0.25,0.0,20,beta=(2 kappa - A) eta + sigma - D,True,False,True,False,False,False,False,False,False,blocked unless upgraded to coefficient variation,The target value is x=1/n; cancellation only at x=0 is the wrong point.
off_range_reciprocal_grouping,reciprocal grid below paper-safe range,paper_range_violation,evaluated quotient signs,x=1/n,off_range,Lemma 3.3 denominator and error control outside n >= C q^kappa,range_blocked,2.0,0.25,0.0,20,beta=(2 kappa - A) eta + sigma - D,True,True,False,False,False,False,False,False,False,blocked outside paper range,Leaving the safe reciprocal-integer range loses the Corollary 3.4 normalization.
near_zero_denominator_grouping,Q_id(1/n) small or zero,paper_excluded_in_safe_range,numerator signs divided by unstable denominator,x=1/n,denominator_loss,lower bound for Q_id(1/n) or explicit D-loss budget,denominator_blocked,2.0,0.45,1.0,20,beta=(2 kappa - A) eta + sigma - D,True,True,False,False,False,False,False,False,False,blocked unless beta remains positive after D,Denominator loss subtracts from every signed numerator saving.
schreier_pairing_analogy,independent-permutation sign pairing,toy_imported,toy model pairing signs,x=1/n,paper_safe,surface replacement for independent permutation pairing,toy_only,2.0,0.3,0.0,20,beta=(2 kappa - A) eta + sigma - D,False,True,True,False,True,False,False,False,False,analogy only,"Schreier evidence lacks the surface relation, Q_id, MPvH/Nau inputs, and Selberg weights."
