grouping,classification,dependency,role,needed_for_valid_surface_theorem,status_for_grouping
markov_baseline,paper_proved_baseline,actual Corollary 3.4 summand,required_for_all,yes,required
markov_baseline,paper_proved_baseline,Selberg length weight positivity,sign bookkeeping,yes,required
markov_baseline,paper_proved_baseline,transform sign values,possible sign source,yes,required
markov_baseline,paper_proved_baseline,Q_i(1/n) evaluated signs,possible sign source,yes,required
markov_baseline,paper_proved_baseline,Q_id(1/n) lower bound,denominator safety,yes,required_and_available_in_paper_range
markov_baseline,paper_proved_baseline,coefficient expansion,collapses direct route if essential,conditional,not_required_for_direct_target
markov_baseline,paper_proved_baseline,Schreier independent pairing,negative control only,no,not_used
quotient_complex_profile_pointwise,underdetermined_surface_input,actual Corollary 3.4 summand,required_for_all,yes,required
quotient_complex_profile_pointwise,underdetermined_surface_input,Selberg length weight positivity,sign bookkeeping,yes,required
quotient_complex_profile_pointwise,underdetermined_surface_input,transform sign values,possible sign source,yes,required
quotient_complex_profile_pointwise,underdetermined_surface_input,Q_i(1/n) evaluated signs,possible sign source,yes,required
quotient_complex_profile_pointwise,underdetermined_surface_input,Q_id(1/n) lower bound,denominator safety,yes,required_and_available_in_paper_range
quotient_complex_profile_pointwise,underdetermined_surface_input,coefficient expansion,collapses direct route if essential,conditional,not_required_for_direct_target
quotient_complex_profile_pointwise,underdetermined_surface_input,Schreier independent pairing,negative control only,no,not_used
surface_relation_kernel_grouping,surface_theorem_target,actual Corollary 3.4 summand,required_for_all,yes,required
surface_relation_kernel_grouping,surface_theorem_target,Selberg length weight positivity,sign bookkeeping,yes,required
surface_relation_kernel_grouping,surface_theorem_target,transform sign values,possible sign source,yes,required
surface_relation_kernel_grouping,surface_theorem_target,Q_i(1/n) evaluated signs,possible sign source,yes,required
surface_relation_kernel_grouping,surface_theorem_target,Q_id(1/n) lower bound,denominator safety,yes,required_and_available_in_paper_range
surface_relation_kernel_grouping,surface_theorem_target,coefficient expansion,collapses direct route if essential,conditional,not_required_for_direct_target
surface_relation_kernel_grouping,surface_theorem_target,Schreier independent pairing,negative control only,no,not_used
diagonal_offdiagonal_relation_balance,underdetermined_surface_input,actual Corollary 3.4 summand,required_for_all,yes,required
diagonal_offdiagonal_relation_balance,underdetermined_surface_input,Selberg length weight positivity,sign bookkeeping,yes,required
diagonal_offdiagonal_relation_balance,underdetermined_surface_input,transform sign values,possible sign source,yes,required
diagonal_offdiagonal_relation_balance,underdetermined_surface_input,Q_i(1/n) evaluated signs,possible sign source,yes,required
diagonal_offdiagonal_relation_balance,underdetermined_surface_input,Q_id(1/n) lower bound,denominator safety,yes,required_and_available_in_paper_range
diagonal_offdiagonal_relation_balance,underdetermined_surface_input,coefficient expansion,collapses direct route if essential,conditional,not_required_for_direct_target
diagonal_offdiagonal_relation_balance,underdetermined_surface_input,Schreier independent pairing,negative control only,no,not_used
primitive_power_profile,underdetermined_surface_input,actual Corollary 3.4 summand,required_for_all,yes,required
primitive_power_profile,underdetermined_surface_input,Selberg length weight positivity,sign bookkeeping,yes,required
primitive_power_profile,underdetermined_surface_input,transform sign values,possible sign source,yes,required
primitive_power_profile,underdetermined_surface_input,Q_i(1/n) evaluated signs,possible sign source,yes,required
primitive_power_profile,underdetermined_surface_input,Q_id(1/n) lower bound,denominator safety,yes,required_and_available_in_paper_range
primitive_power_profile,underdetermined_surface_input,coefficient expansion,collapses direct route if essential,conditional,not_required_for_direct_target
primitive_power_profile,underdetermined_surface_input,Schreier independent pairing,negative control only,no,not_used
length_shell_transform_phase,surface_theorem_target,actual Corollary 3.4 summand,required_for_all,yes,required
length_shell_transform_phase,surface_theorem_target,Selberg length weight positivity,sign bookkeeping,yes,required
length_shell_transform_phase,surface_theorem_target,transform sign values,possible sign source,yes,required
length_shell_transform_phase,surface_theorem_target,Q_i(1/n) evaluated signs,possible sign source,yes,required
length_shell_transform_phase,surface_theorem_target,Q_id(1/n) lower bound,denominator safety,yes,required_and_available_in_paper_range
length_shell_transform_phase,surface_theorem_target,coefficient expansion,collapses direct route if essential,conditional,not_required_for_direct_target
length_shell_transform_phase,surface_theorem_target,Schreier independent pairing,negative control only,no,not_used
fixed_d_absolute_control,coefficient_variation_equivalent,actual Corollary 3.4 summand,required_for_all,yes,required
fixed_d_absolute_control,coefficient_variation_equivalent,Selberg length weight positivity,sign bookkeeping,yes,required
fixed_d_absolute_control,coefficient_variation_equivalent,transform sign values,possible sign source,yes,required
fixed_d_absolute_control,coefficient_variation_equivalent,Q_i(1/n) evaluated signs,possible sign source,yes,required
fixed_d_absolute_control,coefficient_variation_equivalent,Q_id(1/n) lower bound,denominator safety,yes,required_and_available_in_paper_range
fixed_d_absolute_control,coefficient_variation_equivalent,coefficient expansion,collapses direct route if essential,conditional,required
fixed_d_absolute_control,coefficient_variation_equivalent,Schreier independent pairing,negative control only,no,not_used
length_or_power_absolute_control,coefficient_variation_equivalent,actual Corollary 3.4 summand,required_for_all,yes,required
length_or_power_absolute_control,coefficient_variation_equivalent,Selberg length weight positivity,sign bookkeeping,yes,required
length_or_power_absolute_control,coefficient_variation_equivalent,transform sign values,possible sign source,yes,required
length_or_power_absolute_control,coefficient_variation_equivalent,Q_i(1/n) evaluated signs,possible sign source,yes,required
length_or_power_absolute_control,coefficient_variation_equivalent,Q_id(1/n) lower bound,denominator safety,yes,required_and_available_in_paper_range
length_or_power_absolute_control,coefficient_variation_equivalent,coefficient expansion,collapses direct route if essential,conditional,required
length_or_power_absolute_control,coefficient_variation_equivalent,Schreier independent pairing,negative control only,no,not_used
coefficient_expansion_by_x0,range_blocked,actual Corollary 3.4 summand,required_for_all,yes,required
coefficient_expansion_by_x0,range_blocked,Selberg length weight positivity,sign bookkeeping,yes,required
coefficient_expansion_by_x0,range_blocked,transform sign values,possible sign source,yes,required
coefficient_expansion_by_x0,range_blocked,Q_i(1/n) evaluated signs,possible sign source,yes,required
coefficient_expansion_by_x0,range_blocked,Q_id(1/n) lower bound,denominator safety,yes,required_and_available_in_paper_range
coefficient_expansion_by_x0,range_blocked,coefficient expansion,collapses direct route if essential,conditional,not_required_for_direct_target
coefficient_expansion_by_x0,range_blocked,Schreier independent pairing,negative control only,no,not_used
off_range_reciprocal_grouping,range_blocked,actual Corollary 3.4 summand,required_for_all,yes,required
off_range_reciprocal_grouping,range_blocked,Selberg length weight positivity,sign bookkeeping,yes,required
off_range_reciprocal_grouping,range_blocked,transform sign values,possible sign source,yes,required
off_range_reciprocal_grouping,range_blocked,Q_i(1/n) evaluated signs,possible sign source,yes,required
off_range_reciprocal_grouping,range_blocked,Q_id(1/n) lower bound,denominator safety,yes,fails_or_costs_D
off_range_reciprocal_grouping,range_blocked,coefficient expansion,collapses direct route if essential,conditional,not_required_for_direct_target
off_range_reciprocal_grouping,range_blocked,Schreier independent pairing,negative control only,no,not_used
near_zero_denominator_grouping,denominator_blocked,actual Corollary 3.4 summand,required_for_all,yes,required
