gate_order,gate_name,upstream_dependency,dependency_required,required_link_field,failure_if_missing
1,root_enrollment,none,false,,
2,attestation_envelope,root_enrollment,true,upstream_artifact_digests,missing_upstream_root_enrollment_evidence
3,trust_policy,attestation_envelope,true,upstream_artifact_digests,missing_upstream_attestation_envelope_evidence
4,intake_custody,trust_policy,true,upstream_artifact_digests,missing_upstream_trust_policy_evidence
5,adapter_conformance,intake_custody,true,upstream_artifact_digests,missing_upstream_intake_custody_evidence
6,timebase_integrity,adapter_conformance,true,upstream_artifact_digests,missing_upstream_adapter_conformance_evidence
7,redaction_integrity,timebase_integrity,true,upstream_artifact_digests,missing_upstream_timebase_integrity_evidence
8,evidence_gatechain,redaction_integrity,true,upstream_artifact_digests,missing_upstream_redaction_integrity_evidence
9,uncertainty_qualification,evidence_gatechain,true,upstream_artifact_digests,missing_upstream_evidence_gatechain_evidence
10,causal_attribution,uncertainty_qualification,true,upstream_artifact_digests,missing_upstream_uncertainty_qualification_evidence
11,dc001_dc002_threshold_replay,causal_attribution,true,upstream_artifact_digests,missing_upstream_causal_attribution_evidence
12,planner_readiness_boundary,dc001_dc002_threshold_replay,true,upstream_artifact_digests,missing_upstream_dc001_dc002_threshold_replay_evidence
13,final_handoff_traceability,planner_readiness_boundary,true,upstream_artifact_digests,missing_upstream_planner_readiness_boundary_evidence
