deferred_constant,experiment_id,claim_id,update_type,update_condition,non_update_condition,evidence_status,scope_note
DC-005,TRJ-007-control-negative,CL-001,trajectory_reuse_negative_control,"controls show zero or inert DAG fields and no Option C recommendation","controls show spurious Option C from logging artifacts",measurement_design,trajectory_reuse_evidence_not_production_calibration
DC-005,TRJ-001-branch-survival,CL-003,trajectory_reuse_support,"branch survival and later evidence access produce positive retained value after authorization gates","branches die or evidence is never accessed",measurement_design,trajectory_reuse_evidence_not_production_calibration
DC-005,TRJ-002-verifier-reuse,CL-003,trajectory_reuse_support,"verifier-state reuse avoids repeated validation or preserves correctness-sensitive evidence","verifier state is single-use or replay is not authorized",measurement_design,trajectory_reuse_evidence_not_production_calibration
DC-005,TRJ-003-tool-output-replay,CL-003,trajectory_reuse_support,"tool-output replay avoids rerun cost or preserves audit evidence","tool outputs are never replayed or cheap to rerun",measurement_design,trajectory_reuse_evidence_not_production_calibration
DC-005,TRJ-004-durable-dependency,CL-003,trajectory_reuse_support,"durable workspace artifacts become future execution dependencies","durable artifacts are archival only",measurement_design,trajectory_reuse_evidence_not_production_calibration
DC-005,TRJ-006-field-ablation-replay,CL-005,collapse_boundary_update,"hiding branch/verifier/durable fields collapses Option C to B under high trajectory overhead or absent trajectory benefit","architecture choice unchanged when trajectory fields are hidden",measurement_design,trajectory_reuse_evidence_not_production_calibration
DC-005,TRJ-005-trajectory-reuse-distance,CL-008,deferred_constant_update,"production traces show trajectory reuse-distance distribution beyond request-local scope","reuse distances are short and KV-like or fields are unobservable",measurement_design,trajectory_reuse_evidence_not_production_calibration
DC-005,TRJ-002-verifier-reuse,CL-009,security_gate_update,"authorized verifier evidence replay contributes positive retained value after integrity checks","tampered or unauthorized verifier replay contributes zero value",measurement_design,trajectory_reuse_evidence_not_production_calibration
DC-005,TRJ-007-control-negative,CL-010,trace_schema_update,"same parser rejects false-positive trajectory reuse in controls and RAG","trace schema cannot distinguish replay from ordinary object access",measurement_design,trajectory_reuse_evidence_not_production_calibration
DC-005,TRJ-006-field-ablation-replay,CL-011,boundary_principle_update,"coarsest boundary preserving branch/verifier/durable variables reproduces Option C to B/A collapse","hiding causal trajectory fields does not affect option choice",measurement_design,trajectory_reuse_evidence_not_production_calibration
DC-005,TRJ-003-tool-output-replay,CL-011,boundary_principle_update,"tool-output replay needs trajectory/source dependency edges rather than object-only access logs","ordinary object access logs fully explain measured replay",measurement_design,trajectory_reuse_evidence_not_production_calibration
