case_id,drift_axis,expected_lifecycle_effect,operator_action
age_exceeds_policy_ttl,evidence_age_exceeds_or_equals_ttl,expired,rerun_after_ttl_expiry
age_equals_policy_ttl,evidence_age_exceeds_or_equals_ttl,expired,rerun_after_ttl_expiry
model_version_changed,model_version_changed,invalidated_by_change,new_production_replay_required
topology_changed,topology_changed,invalidated_by_change,new_production_replay_required
workload_mix_outside_overlap,workload_mix_outside_causal_overlap,revalidation_required,new_production_replay_required
scheduler_policy_changed,scheduler_policy_changed,revalidation_required,new_production_replay_required
memory_tier_regime_shifted,memory_tier_regime_changed,revalidation_required,new_production_replay_required
collector_rotated_without_reenrollment,collector_identity_rotated_without_reenrollment,invalidated_by_change,new_production_replay_required
trust_policy_rotated,trust_policy_rotated,invalidated_by_change,new_production_replay_required
security_deny_rate_drifted,security_deny_rate_drifted,revalidation_required,new_production_replay_required
redaction_policy_changed,redaction_policy_changed,invalidated_by_change,new_production_replay_required
uncertainty_interval_widened,uncertainty_interval_widened,revalidation_required,new_production_replay_required
causal_controls_not_comparable,causal_controls_no_longer_comparable,revalidation_required,new_production_replay_required
copied_old_replay_after_drift,scheduler_policy_changed;copied_old_replay_result,revalidation_required,new_production_replay_required
