blocked_reason,case_count,fail_closed,replay_status
bundle_id_mismatch,1,true,measurement_invalid
clock_drift_across_bundle,1,true,measurement_invalid
collector_id_mismatch,1,true,measurement_invalid
counter_reset_inside_interval,1,true,measurement_invalid
cross_source_skew_above_tolerance,1,true,measurement_invalid
fixture_attempted_production_calibration,1,true,measurement_invalid
inconsistent_sampling_period,1,true,measurement_invalid
interval_gap,1,true,measurement_invalid
interval_overlap_mismatch,1,true,measurement_invalid
measurement_run_id_mismatch,1,true,measurement_invalid
missing_clock_domain,1,true,measurement_invalid
missing_collector_overhead_estimate,1,true,measurement_invalid
negative_clock_drift,1,true,measurement_invalid
negative_collector_overhead,1,true,measurement_invalid
negative_cross_source_skew,1,true,measurement_invalid
negative_sampling_jitter,1,true,measurement_invalid
non_positive_sampling_period,1,true,measurement_invalid
observer_overhead_above_budget,1,true,measurement_invalid
schema_version_mismatch,1,true,measurement_invalid
stale_workload_label,1,true,measurement_invalid
unknown_source_fixture_id,1,true,measurement_invalid
