case_id,case_type,policy_profile_id,source_fixture_id,redaction_admissible,redaction_status,join_survival_fraction,privacy_leakage_absent,replay_identifiable,blocked_field,blocked_reason,expected_blocked_reason,expected_reason_matched,production_calibrated,production_ready,claim_credit_allowed,export_quality_precondition_only
valid-minimal-redaction-fixture,valid_fixture,profile-minimal-safe-replayable,valid-timebase-complete-fixture,true,redaction_admissible,1.000,true,true,,,,true,false,false,false,true
invalid-unknown-source-fixture,invalid_fixture,profile-unknown-source-fixture,not-a-timebase-fixture,false,replay_nonidentifiable,1.000,true,false,source_fixture_id,unknown_source_fixture_id,unknown_source_fixture_id,true,false,false,false,true
invalid-missing-source-fixture,invalid_fixture,profile-missing-source-fixture,,false,replay_nonidentifiable,1.000,true,false,source_fixture_id,missing_source_fixture_id,missing_source_fixture_id,true,false,false,false,true
invalid-unsupported-evidence-label,invalid_fixture,profile-unsupported-evidence-label,valid-timebase-complete-fixture,false,replay_nonidentifiable,1.000,true,false,evidence_label,unsupported_evidence_label,unsupported_evidence_label,true,false,false,false,true
invalid-missing-evidence-label,invalid_fixture,profile-missing-evidence-label,valid-timebase-complete-fixture,false,replay_nonidentifiable,1.000,true,false,evidence_label,unsupported_evidence_label,unsupported_evidence_label,true,false,false,false,true
invalid-empty-redaction-policy,invalid_fixture,profile-empty-redaction-policy,valid-timebase-complete-fixture,false,replay_nonidentifiable,0.636,true,false,tenant_pseudonym,missing_tenant_pseudonym,missing_tenant_pseudonym,true,false,false,false,true
invalid-all-fields-raw,invalid_fixture,profile-all-fields-raw,valid-timebase-complete-fixture,false,privacy_leakage,1.000,false,false,raw_tenant_identifier,raw_tenant_identifier_leaked,raw_tenant_identifier_leaked,true,false,false,false,true
invalid-all-fields-suppressed,invalid_fixture,profile-all-fields-suppressed,valid-timebase-complete-fixture,false,replay_nonidentifiable,0.273,true,false,tenant_pseudonym,missing_tenant_pseudonym,missing_tenant_pseudonym,true,false,false,false,true
invalid-missing-tenant-pseudonym,invalid_fixture,profile-missing-tenant-pseudonym,valid-timebase-complete-fixture,false,replay_nonidentifiable,0.909,true,false,tenant_pseudonym,missing_tenant_pseudonym,missing_tenant_pseudonym,true,false,false,false,true
invalid-unstable-object-pseudonym,invalid_fixture,profile-unstable-object-pseudonym,valid-timebase-complete-fixture,false,replay_nonidentifiable,0.909,true,false,object_pseudonym_interval_2,unstable_object_pseudonym_across_intervals,unstable_object_pseudonym_across_intervals,true,false,false,false,true
invalid-removed-workload-label,invalid_fixture,profile-removed-workload-label,valid-timebase-complete-fixture,false,replay_nonidentifiable,0.909,true,false,workload_label,removed_workload_label,removed_workload_label,true,false,false,false,true
invalid-topology-overcoarsened,invalid_fixture,profile-topology-overcoarsened,valid-timebase-complete-fixture,false,replay_nonidentifiable,1.000,true,false,topology_granularity,topology_coarsened_past_threshold_replay,topology_coarsened_past_threshold_replay,true,false,false,false,true
invalid-suppressed-security-context,invalid_fixture,profile-suppressed-security-context,valid-timebase-complete-fixture,false,replay_nonidentifiable,0.909,true,false,security_context_pseudonym,suppressed_security_context,suppressed_security_context,true,false,false,false,true
invalid-removed-noise-metadata,invalid_fixture,profile-removed-noise-metadata,valid-timebase-complete-fixture,false,replay_nonidentifiable,0.909,true,false,noise_floor_class,removed_measurement_noise_metadata,removed_measurement_noise_metadata,true,false,false,false,true
invalid-redacted-clock-domain,invalid_fixture,profile-redacted-clock-domain,valid-timebase-complete-fixture,false,replay_nonidentifiable,0.909,true,false,clock_domain_pseudonym,redacted_clock_domain,redacted_clock_domain,true,false,false,false,true
invalid-raw-tenant-identifier,invalid_fixture,profile-raw-tenant-identifier,valid-timebase-complete-fixture,false,privacy_leakage,1.000,false,false,raw_tenant_identifier,raw_tenant_identifier_leaked,raw_tenant_identifier_leaked,true,false,false,false,true
invalid-raw-tool-output-uri,invalid_fixture,profile-raw-tool-output-uri,valid-timebase-complete-fixture,false,privacy_leakage,1.000,false,false,raw_tool_output_uri,raw_tool_output_uri_leaked,raw_tool_output_uri_leaked,true,false,false,false,true
invalid-join-key-collision,invalid_fixture,profile-join-key-collision,valid-timebase-complete-fixture,false,replay_nonidentifiable,0.727,true,false,join_key_collision_count,irreversible_join_key_collision,irreversible_join_key_collision,true,false,false,false,true
invalid-negative-join-key-collision,invalid_fixture,profile-negative-join-key-collision,valid-timebase-complete-fixture,false,replay_nonidentifiable,0.818,true,false,join_key_collision_count,negative_join_key_collision_count,negative_join_key_collision_count,true,false,false,false,true
invalid-nonnumeric-join-key-collision,invalid_fixture,profile-nonnumeric-join-key-collision,valid-timebase-complete-fixture,false,replay_nonidentifiable,0.818,true,false,join_key_collision_count,invalid_join_key_collision_count,invalid_join_key_collision_count,true,false,false,false,true
invalid-fixture-attempted-production-calibration,invalid_fixture,profile-fixture-attempted-production-calibration,valid-timebase-complete-fixture,false,replay_nonidentifiable,1.000,true,false,evidence_label,fixture_attempted_production_calibration,fixture_attempted_production_calibration,true,false,false,false,true
