case_id,case_type,source_fixture_id,constant_id,threshold_id,metric_name,metric_direction,point_estimate,threshold_value,variance,sample_count,confidence_level,ci_lower,ci_upper,noise_model_id,baseline_window_id,control_window_id,treatment_window_id,drift_fraction,drift_budget_fraction,independent_samples,p99_ci_bounded,gatechain_eligible,measurement_valid,threshold_direction_known,evidence_label,expected_threshold_status,expected_blocked_reason,notes
invalid-missing-variance-noise-model,invalid_fixture,valid-minimal-redaction-fixture,DC-002,DC002-RAG-C-p99,cxl_p99_latency_delta_ms,higher_is_better,7.4,5.5,,64,0.95,6.2,8.6,,baseline-window-001,control-window-001,treatment-window-001,0.03,0.10,true,true,false,true,true,uncertainty_fixture,statistical_invalid,missing_variance,malformed or weak uncertainty metadata must fail closed before readiness updates
invalid-insufficient-sample-count,invalid_fixture,valid-minimal-redaction-fixture,DC-002,DC002-RAG-C-p99,cxl_p99_latency_delta_ms,higher_is_better,7.4,5.5,0.36,3,0.95,6.2,8.6,noise-model-dc12-tail-latency-v1,baseline-window-001,control-window-001,treatment-window-001,0.03,0.10,true,true,false,true,true,uncertainty_fixture,statistically_indeterminate,insufficient_sample_count,malformed or weak uncertainty metadata must fail closed before readiness updates
invalid-ci-crosses-threshold,invalid_fixture,valid-minimal-redaction-fixture,DC-002,DC002-RAG-C-p99,cxl_p99_latency_delta_ms,higher_is_better,6.1,5.5,0.36,64,0.95,4.9,7.3,noise-model-dc12-tail-latency-v1,baseline-window-001,control-window-001,treatment-window-001,0.03,0.10,true,true,false,true,true,uncertainty_fixture,statistically_indeterminate,confidence_interval_crosses_threshold,malformed or weak uncertainty metadata must fail closed before readiness updates
invalid-ci-touches-threshold,invalid_fixture,valid-minimal-redaction-fixture,DC-002,DC002-RAG-C-p99,cxl_p99_latency_delta_ms,higher_is_better,6.0,5.5,0.36,64,0.95,5.5,6.5,noise-model-dc12-tail-latency-v1,baseline-window-001,control-window-001,treatment-window-001,0.03,0.10,true,true,false,true,true,uncertainty_fixture,statistically_indeterminate,confidence_interval_touches_threshold,malformed or weak uncertainty metadata must fail closed before readiness updates
invalid-unbounded-p99-latency-ci,invalid_fixture,valid-minimal-redaction-fixture,DC-002,DC002-RAG-C-p99,cxl_p99_latency_delta_ms,higher_is_better,7.4,5.5,0.36,64,0.95,6.2,inf,noise-model-dc12-tail-latency-v1,baseline-window-001,control-window-001,treatment-window-001,0.03,0.10,true,false,false,true,true,uncertainty_fixture,statistical_invalid,unbounded_p99_latency_ci,malformed or weak uncertainty metadata must fail closed before readiness updates
invalid-drift-between-windows,invalid_fixture,valid-minimal-redaction-fixture,DC-002,DC002-RAG-C-p99,cxl_p99_latency_delta_ms,higher_is_better,7.4,5.5,0.36,64,0.95,6.2,8.6,noise-model-dc12-tail-latency-v1,baseline-window-001,control-window-001,treatment-window-001,0.18,0.10,true,true,false,true,true,uncertainty_fixture,statistically_indeterminate,control_treatment_drift_exceeds_budget,malformed or weak uncertainty metadata must fail closed before readiness updates
invalid-missing-control-arm,invalid_fixture,valid-minimal-redaction-fixture,DC-002,DC002-RAG-C-p99,cxl_p99_latency_delta_ms,higher_is_better,7.4,5.5,0.36,64,0.95,6.2,8.6,noise-model-dc12-tail-latency-v1,baseline-window-001,,treatment-window-001,0.03,0.10,true,true,false,true,true,uncertainty_fixture,statistical_invalid,missing_control_arm,malformed or weak uncertainty metadata must fail closed before readiness updates
invalid-non-independent-repeated-samples,invalid_fixture,valid-minimal-redaction-fixture,DC-002,DC002-RAG-C-p99,cxl_p99_latency_delta_ms,higher_is_better,7.4,5.5,0.36,64,0.95,6.2,8.6,noise-model-dc12-tail-latency-v1,baseline-window-001,control-window-001,treatment-window-001,0.03,0.10,false,true,false,true,true,uncertainty_fixture,statistically_indeterminate,non_independent_repeated_samples,malformed or weak uncertainty metadata must fail closed before readiness updates
invalid-negative-variance,invalid_fixture,valid-minimal-redaction-fixture,DC-002,DC002-RAG-C-p99,cxl_p99_latency_delta_ms,higher_is_better,7.4,5.5,-0.1,64,0.95,6.2,8.6,noise-model-dc12-tail-latency-v1,baseline-window-001,control-window-001,treatment-window-001,0.03,0.10,true,true,false,true,true,uncertainty_fixture,statistical_invalid,negative_variance,malformed or weak uncertainty metadata must fail closed before readiness updates
invalid-nan-metric,invalid_fixture,valid-minimal-redaction-fixture,DC-002,DC002-RAG-C-p99,cxl_p99_latency_delta_ms,higher_is_better,nan,5.5,0.36,64,0.95,6.2,8.6,noise-model-dc12-tail-latency-v1,baseline-window-001,control-window-001,treatment-window-001,0.03,0.10,true,true,false,true,true,uncertainty_fixture,statistical_invalid,nan_metric,malformed or weak uncertainty metadata must fail closed before readiness updates
invalid-missing-noise-model,invalid_fixture,valid-minimal-redaction-fixture,DC-002,DC002-RAG-C-p99,cxl_p99_latency_delta_ms,higher_is_better,7.4,5.5,0.36,64,0.95,6.2,8.6,,baseline-window-001,control-window-001,treatment-window-001,0.03,0.10,true,true,false,true,true,uncertainty_fixture,statistical_invalid,missing_noise_model,malformed or weak uncertainty metadata must fail closed before readiness updates
