gate_name,required_field,purpose,must_be_derived_from
root_enrollment,artifact_id,stable evidence artifact identifier,artifact producer
root_enrollment,evidence_label,must be production_target for production replay candidates,operator source classification
root_enrollment,bundle_id,links evidence to manifest bundle,intake manifest or custody record
root_enrollment,measurement_run_id,links all gates to the same measurement run,collector/intake join key
root_enrollment,claim_id,links evidence to a specific architecture claim,claim registry
root_enrollment,gate_name,must equal the expected gate,validator expected value
root_enrollment,gate_status,must be pass/admissible for replay prerequisite,gate-specific evaluator output
root_enrollment,source_system,names producing system or tool,operator evidence generator
root_enrollment,producer_id,"person, service, or system identity creating the artifact",operator custody log
root_enrollment,created_at,freshness and order check,artifact metadata
root_enrollment,valid_from,lower evidence validity bound,artifact metadata or upstream evaluator
root_enrollment,valid_until,upper evidence validity bound,artifact metadata or upstream evaluator
root_enrollment,payload_digest,binds raw gate payload or evaluated report,independently computed digest
root_enrollment,upstream_artifact_digests,binds upstream dependency artifacts,computed from upstream evidence files
root_enrollment,identity_bindings,gate-specific IDs that must match manifest and upstream artifacts,independent gate evidence
root_enrollment,measurement_window_start,start of covered measurement interval,collector/timebase evidence
root_enrollment,measurement_window_end,end of covered measurement interval,collector/timebase evidence
attestation_envelope,artifact_id,stable evidence artifact identifier,artifact producer
attestation_envelope,evidence_label,must be production_target for production replay candidates,operator source classification
attestation_envelope,bundle_id,links evidence to manifest bundle,intake manifest or custody record
attestation_envelope,measurement_run_id,links all gates to the same measurement run,collector/intake join key
attestation_envelope,claim_id,links evidence to a specific architecture claim,claim registry
attestation_envelope,gate_name,must equal the expected gate,validator expected value
attestation_envelope,gate_status,must be pass/admissible for replay prerequisite,gate-specific evaluator output
attestation_envelope,source_system,names producing system or tool,operator evidence generator
attestation_envelope,producer_id,"person, service, or system identity creating the artifact",operator custody log
attestation_envelope,created_at,freshness and order check,artifact metadata
attestation_envelope,valid_from,lower evidence validity bound,artifact metadata or upstream evaluator
attestation_envelope,valid_until,upper evidence validity bound,artifact metadata or upstream evaluator
attestation_envelope,payload_digest,binds raw gate payload or evaluated report,independently computed digest
attestation_envelope,upstream_artifact_digests,binds upstream dependency artifacts,computed from upstream evidence files
attestation_envelope,identity_bindings,gate-specific IDs that must match manifest and upstream artifacts,independent gate evidence
attestation_envelope,measurement_window_start,start of covered measurement interval,collector/timebase evidence
attestation_envelope,measurement_window_end,end of covered measurement interval,collector/timebase evidence
trust_policy,artifact_id,stable evidence artifact identifier,artifact producer
trust_policy,evidence_label,must be production_target for production replay candidates,operator source classification
trust_policy,bundle_id,links evidence to manifest bundle,intake manifest or custody record
trust_policy,measurement_run_id,links all gates to the same measurement run,collector/intake join key
trust_policy,claim_id,links evidence to a specific architecture claim,claim registry
trust_policy,gate_name,must equal the expected gate,validator expected value
trust_policy,gate_status,must be pass/admissible for replay prerequisite,gate-specific evaluator output
trust_policy,source_system,names producing system or tool,operator evidence generator
trust_policy,producer_id,"person, service, or system identity creating the artifact",operator custody log
trust_policy,created_at,freshness and order check,artifact metadata
trust_policy,valid_from,lower evidence validity bound,artifact metadata or upstream evaluator
trust_policy,valid_until,upper evidence validity bound,artifact metadata or upstream evaluator
trust_policy,payload_digest,binds raw gate payload or evaluated report,independently computed digest
trust_policy,upstream_artifact_digests,binds upstream dependency artifacts,computed from upstream evidence files
trust_policy,identity_bindings,gate-specific IDs that must match manifest and upstream artifacts,independent gate evidence
trust_policy,measurement_window_start,start of covered measurement interval,collector/timebase evidence
trust_policy,measurement_window_end,end of covered measurement interval,collector/timebase evidence
intake_custody,artifact_id,stable evidence artifact identifier,artifact producer
intake_custody,evidence_label,must be production_target for production replay candidates,operator source classification
intake_custody,bundle_id,links evidence to manifest bundle,intake manifest or custody record
intake_custody,measurement_run_id,links all gates to the same measurement run,collector/intake join key
intake_custody,claim_id,links evidence to a specific architecture claim,claim registry
intake_custody,gate_name,must equal the expected gate,validator expected value
intake_custody,gate_status,must be pass/admissible for replay prerequisite,gate-specific evaluator output
intake_custody,source_system,names producing system or tool,operator evidence generator
intake_custody,producer_id,"person, service, or system identity creating the artifact",operator custody log
intake_custody,created_at,freshness and order check,artifact metadata
intake_custody,valid_from,lower evidence validity bound,artifact metadata or upstream evaluator
intake_custody,valid_until,upper evidence validity bound,artifact metadata or upstream evaluator
intake_custody,payload_digest,binds raw gate payload or evaluated report,independently computed digest
intake_custody,upstream_artifact_digests,binds upstream dependency artifacts,computed from upstream evidence files
intake_custody,identity_bindings,gate-specific IDs that must match manifest and upstream artifacts,independent gate evidence
intake_custody,measurement_window_start,start of covered measurement interval,collector/timebase evidence
intake_custody,measurement_window_end,end of covered measurement interval,collector/timebase evidence
adapter_conformance,artifact_id,stable evidence artifact identifier,artifact producer
adapter_conformance,evidence_label,must be production_target for production replay candidates,operator source classification
adapter_conformance,bundle_id,links evidence to manifest bundle,intake manifest or custody record
adapter_conformance,measurement_run_id,links all gates to the same measurement run,collector/intake join key
adapter_conformance,claim_id,links evidence to a specific architecture claim,claim registry
adapter_conformance,gate_name,must equal the expected gate,validator expected value
adapter_conformance,gate_status,must be pass/admissible for replay prerequisite,gate-specific evaluator output
adapter_conformance,source_system,names producing system or tool,operator evidence generator
adapter_conformance,producer_id,"person, service, or system identity creating the artifact",operator custody log
adapter_conformance,created_at,freshness and order check,artifact metadata
adapter_conformance,valid_from,lower evidence validity bound,artifact metadata or upstream evaluator
adapter_conformance,valid_until,upper evidence validity bound,artifact metadata or upstream evaluator
adapter_conformance,payload_digest,binds raw gate payload or evaluated report,independently computed digest
adapter_conformance,upstream_artifact_digests,binds upstream dependency artifacts,computed from upstream evidence files
adapter_conformance,identity_bindings,gate-specific IDs that must match manifest and upstream artifacts,independent gate evidence
adapter_conformance,measurement_window_start,start of covered measurement interval,collector/timebase evidence
adapter_conformance,measurement_window_end,end of covered measurement interval,collector/timebase evidence
timebase_integrity,artifact_id,stable evidence artifact identifier,artifact producer
