annotation_id,target_case_id,object_class,source_lift_status,annotation_class,annotation_constraint_status,annotation_reason,validator_status,validator_reason,validator_source,merge_status,selected_option,downstream_memory_action_count,runtime_action_count,planner_action_count,runtime_prototype_consistency,constrained_planner_consistency,option_a_fallback_executable,production_calibrated,production_ready,threshold_success,causal_validity_granted,claim_credit_allowed
ann_valid_reuse_scope_kv,legacy_kv_cache_uncertain_reuse_scope,KV cache,annotation_required,reuse_scope_annotation,accepted,constraint_satisfied,accepted,planner_admissible,scripts.validate_memory_object_abi.classify,abi_admissible,B_memory_object_aware_runtime,4,4,4,supported_by_runtime_policy_decisions,supported_by_memory_plan_actions,false,false,false,false,false,false
ann_invalid_reuse_scope_widen,legacy_kv_cache_uncertain_reuse_scope,KV cache,annotation_required,reuse_scope_annotation,rejected,reuse_scope_widens_trace_security_scope,rejected,reuse_scope_widens_trace_security_scope,scripts.validate_memory_object_abi.classify,fail_closed,A_conventional_request_model_kv_serving,0,0,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,true,false,false,false,false,false
ann_valid_tenant_security,legacy_retrieved_context_rag,retrieved context,abi_admissible,tenant_security_annotation,accepted,constraint_satisfied,accepted,planner_admissible,scripts.validate_memory_object_abi.classify,abi_admissible,B_memory_object_aware_runtime,4,4,4,supported_by_runtime_policy_decisions,supported_by_memory_plan_actions,false,false,false,false,false,false
ann_invalid_tenant_widen,legacy_retrieved_context_rag,retrieved context,abi_admissible,tenant_security_annotation,rejected,tenant_or_security_scope_widening,rejected,tenant_or_security_scope_widening,scripts.validate_memory_object_abi.classify,fail_closed,A_conventional_request_model_kv_serving,0,0,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,true,false,false,false,false,false
ann_valid_tool_provenance,legacy_tool_output_missing_provenance,tool output,fail_closed,tool_provenance_annotation,accepted,constraint_satisfied,accepted,planner_admissible,scripts.validate_memory_object_abi.classify,abi_admissible,B_memory_object_aware_runtime,4,4,4,supported_by_runtime_policy_decisions,supported_by_memory_plan_actions,false,false,false,false,false,false
ann_invalid_tool_provenance_mismatch,legacy_tool_output_missing_provenance,tool output,fail_closed,tool_provenance_annotation,rejected,provenance_mismatch,rejected,provenance_mismatch,scripts.validate_memory_object_abi.classify,fail_closed,A_conventional_request_model_kv_serving,0,0,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,true,false,false,false,false,false
ann_valid_branch_dependency,legacy_branch_state_dangling_parent,branch state,fail_closed,branch_dependency_annotation,accepted,constraint_satisfied,accepted,planner_admissible,scripts.validate_memory_object_abi.classify,abi_admissible,C_trajectory_dag_memory_fabric,5,5,5,supported_by_runtime_policy_decisions,supported_by_memory_plan_actions,false,false,false,false,false,false
ann_invalid_branch_parent_conflict,legacy_branch_state_dangling_parent,branch state,fail_closed,branch_dependency_annotation,rejected,branch_parent_unresolved_or_conflicting,rejected,branch_parent_unresolved_or_conflicting,scripts.validate_memory_object_abi.classify,fail_closed,A_conventional_request_model_kv_serving,0,0,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,true,false,false,false,false,false
ann_valid_verifier_integrity,legacy_verifier_state_missing_integrity_annotation,verifier state,annotation_required,verifier_integrity_annotation,accepted,constraint_satisfied,accepted,planner_admissible,scripts.validate_memory_object_abi.classify,abi_admissible,C_trajectory_dag_memory_fabric,5,5,5,supported_by_runtime_policy_decisions,supported_by_memory_plan_actions,false,false,false,false,false,false
ann_invalid_verifier_target_mismatch,legacy_verifier_state_missing_integrity_annotation,verifier state,annotation_required,verifier_integrity_annotation,rejected,verifier_target_not_observed,rejected,verifier_target_not_observed,scripts.validate_memory_object_abi.classify,fail_closed,A_conventional_request_model_kv_serving,0,0,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,true,false,false,false,false,false
ann_valid_compression_safety,legacy_branch_state_dangling_parent,branch state,fail_closed,compression_safety_annotation,rejected,constraint_satisfied,rejected,dangling_branch_parent,scripts.validate_memory_object_abi.classify,fail_closed,A_conventional_request_model_kv_serving,0,0,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,true,false,false,false,false,false
ann_invalid_lossy_correctness,legacy_branch_state_dangling_parent,branch state,fail_closed,compression_safety_annotation,rejected,lossy_compression_for_correctness_critical_object,rejected,lossy_compression_for_correctness_critical_object,scripts.validate_memory_object_abi.classify,fail_closed,A_conventional_request_model_kv_serving,0,0,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,true,false,false,false,false,false
ann_valid_retention_policy,legacy_durable_workspace_missing_retention,durable workspace artifact,annotation_required,retention_policy_annotation,accepted,constraint_satisfied,accepted,planner_admissible,scripts.validate_memory_object_abi.classify,abi_admissible,C_trajectory_dag_memory_fabric,5,5,5,supported_by_runtime_policy_decisions,supported_by_memory_plan_actions,false,false,false,false,false,false
ann_invalid_infinite_retention_no_policy,legacy_durable_workspace_missing_retention,durable workspace artifact,annotation_required,retention_policy_annotation,rejected,durable_retention_without_policy,rejected,durable_retention_without_policy,scripts.validate_memory_object_abi.classify,fail_closed,A_conventional_request_model_kv_serving,0,0,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,true,false,false,false,false,false
ann_valid_evidence_label,legacy_kv_cache_uncertain_reuse_scope,KV cache,annotation_required,evidence_label_annotation,rejected,constraint_satisfied,rejected,missing_mandatory_field_reuse_scope,scripts.validate_memory_object_abi.classify,fail_closed,A_conventional_request_model_kv_serving,0,0,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,true,false,false,false,false,false
ann_invalid_production_upgrade,legacy_kv_cache_uncertain_reuse_scope,KV cache,annotation_required,evidence_label_annotation,rejected,production_evidence_label_not_runtime_abi,rejected,production_evidence_label_not_runtime_abi,scripts.validate_memory_object_abi.classify,fail_closed,A_conventional_request_model_kv_serving,0,0,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,true,false,false,false,false,false
ann_option_a_none,option_a_opaque_legacy_request,opaque request/model/KV serving state,option_a_opaque_fallback,evidence_label_annotation,accepted,option_a_opaque_no_annotation_required,not_run,not_run_opaque_fallback,not_run_for_opaque_option_a,option_a_opaque_fallback,A_conventional_request_model_kv_serving,0,0,0,not_checked_rejected_before_runtime,not_checked_rejected_before_planner,true,false,false,false,false,false
