claim_id,claim,readiness_label,evidence_classes,production_ready,production_endorsed,data_artifacts,narrative_artifacts,validation_sources,figures,reproduction_steps,limitation_named,falsification_condition
CL-001,"Control workloads with no durable, branch, or cross-request reuse variables collapse to conventional Option A serving.",validated_mechanism,validated_artifact; ,false,false,data/runtime_workload_summary.csv; data/queueing_architecture_winners.csv; data/scheduling_regime_winners.csv,memory-centric-agentic/final_architecture_package.md,tests/verify_final_architecture_package.py; tests/verify_campaign_handoff.py,data/final_claim_readiness_heatmap.png; data/final_architecture_option_readiness.png; data/final_production_experiment_priority.png,final-package; handoff; validation,validated by prior milestone artifacts but not production telemetry,A control trace shows positive non-KV retained value and valid reuse that beats Option A under overheads.
CL-002,"RAG-like workloads justify Option B when retrieved-context, semantic-cache, or prefix reuse survives provenance and freshness checks.",synthetic_supported,simulated; ,false,false,data/runtime_workload_summary.csv; data/compression_workload_summary.csv; data/security_workload_summary.csv,memory-centric-agentic/final_architecture_package.md,tests/verify_final_architecture_package.py; tests/verify_campaign_handoff.py,data/final_claim_readiness_heatmap.png; data/final_architecture_option_readiness.png; data/final_production_experiment_priority.png,final-package; handoff; validation,"supported by simulation, synthetic sensitivity, or synthetic enforcement evidence",Measured stale/false-positive or validation costs make safe object reuse consistently negative.
CL-003,"Option C is justified only when branch survival, verifier state, trajectory logs, and durable workspace state create retained value after coordination costs.",synthetic_supported,simulated; ,false,false,data/runtime_workload_summary.csv; data/queueing_architecture_winners.csv; data/security_workload_summary.csv,memory-centric-agentic/final_architecture_package.md,tests/verify_final_architecture_package.py; tests/verify_campaign_handoff.py,data/final_claim_readiness_heatmap.png; data/final_architecture_option_readiness.png; data/final_production_experiment_priority.png,final-package; handoff; validation,"supported by simulation, synthetic sensitivity, or synthetic enforcement evidence",Production traces show low trajectory reuse or high DAG overhead so C loses to B/A.
CL-004,High object-registry overhead can reverse both Option B and C to Option A.,host_local_proxy_only,simulated; host_local_proxy; synthetic_production_fixture,false,false,data/queueing_architecture_winners.csv,memory-centric-agentic/queueing_model.md; memory-centric-agentic/final_architecture_package.md,tests/verify_final_architecture_package.py; tests/verify_campaign_handoff.py,data/final_claim_readiness_heatmap.png; data/final_architecture_option_readiness.png; data/final_production_experiment_priority.png,final-package; handoff; validation,host-local proxy evidence exists but cannot calibrate production claims,Measured metadata services remain below reversal thresholds at target load.
CL-005,High DAG/verifier/durable coordination overhead can reverse Option C to Option B.,host_local_proxy_only,simulated; host_local_proxy; synthetic_production_fixture,false,false,data/queueing_architecture_winners.csv,memory-centric-agentic/final_architecture_package.md,tests/verify_final_architecture_package.py; tests/verify_campaign_handoff.py,data/final_claim_readiness_heatmap.png; data/final_architecture_option_readiness.png; data/final_production_experiment_priority.png,final-package; handoff; validation,host-local proxy evidence exists but cannot calibrate production claims,Measured DAG coordination overhead is small relative to branch/verifier retained value.
CL-006,Compression/offload must be representation-safe before byte savings are counted.,validated_mechanism,validated_artifact; ,false,false,data/compression_safety_failures.csv; data/compression_best_strategy_by_object.csv,memory-centric-agentic/compression_model.md; memory-centric-agentic/final_architecture_package.md,tests/verify_final_architecture_package.py; tests/verify_campaign_handoff.py,data/final_claim_readiness_heatmap.png; data/final_architecture_option_readiness.png; data/final_production_experiment_priority.png,final-package; handoff; validation,validated by prior milestone artifacts but not production telemetry,A lossy strategy without recovery preserves correctness across replay/merge/verification fixtures.
CL-007,Current compression/offload settings do not preserve queue thresholds under synthetic coefficients.,synthetic_supported,simulated; ,false,false,data/compression_object_queue_interactions.csv; data/compression_queue_interactions.csv,memory-centric-agentic/final_architecture_package.md,tests/verify_final_architecture_package.py; tests/verify_campaign_handoff.py,data/final_claim_readiness_heatmap.png; data/final_architecture_option_readiness.png; data/final_production_experiment_priority.png,final-package; handoff; validation,"supported by simulation, synthetic sensitivity, or synthetic enforcement evidence",Measured reconstruction/metadata costs are low enough to create positive object-level queue relief.
CL-008,"Public sources calibrate HBM capacity/bandwidth, fabric capability, PCIe capability, and some workload/cache mechanisms, but not core agentic reuse distributions.",synthetic_supported,sourced; ,false,false,data/calibration_memory_tiers.csv; data/calibration_workload_evidence.csv; data/calibration_deferred_constants.csv,REFERENCES.md; memory-centric-agentic/final_architecture_package.md,tests/verify_final_architecture_package.py; tests/verify_campaign_handoff.py,data/final_claim_readiness_heatmap.png; data/final_architecture_option_readiness.png; data/final_production_experiment_priority.png,final-package; handoff; validation,"supported by simulation, synthetic sensitivity, or synthetic enforcement evidence","Public or reproducible traces provide calibrated trajectory reuse, security overhead, and durable latency constants."
CL-009,"Security validation is part of architecture selection, not an add-on.",validated_mechanism,validated_artifact; ,false,false,data/security_workload_summary.csv; data/security_invalid_trace_fixtures.csv,memory-centric-agentic/security_provenance_model.md; memory-centric-agentic/final_architecture_package.md,tests/verify_final_architecture_package.py; tests/verify_campaign_handoff.py,data/final_claim_readiness_heatmap.png; data/final_architecture_option_readiness.png; data/final_production_experiment_priority.png,final-package; handoff; validation,validated by prior milestone artifacts but not production telemetry,"A design safely reuses objects without provenance, freshness, isolation, lineage, verifier, or retention checks."
CL-010,Trace v2 is sufficient for lifetime/reuse/DAG analysis but not production-grade security.,validated_mechanism,validated_artifact; ,false,false,data/security_invalid_trace_fixtures.csv,memory-centric-agentic/trace_schema.md; memory-centric-agentic/final_architecture_package.md,tests/verify_final_architecture_package.py; tests/verify_campaign_handoff.py,data/final_claim_readiness_heatmap.png; data/final_architecture_option_readiness.png; data/final_production_experiment_priority.png,final-package; handoff; validation,validated by prior milestone artifacts but not production telemetry,Production security review shows trace v2 fields alone can enforce all required reuse gates.
