tier,subtier,quantity,range_low,range_high,unit,range_basis,source_refs,source_quality,claim_type,used_in_existing_model,recommended_model_mapping,notes
HBM/GPU memory,NVIDIA H100 SXM/NVL,per-GPU capacity,80,94,GB,H100 SXM and H100 NVL product specifications,[1],vendor_product_spec,sourced_range,M-COST-1 memory tier; M-PROTO-1 HBM placement,hbm_capacity_per_gpu_gb,"Product-specific point range, not a universal HBM constant."
HBM/GPU memory,NVIDIA H100 SXM/NVL,per-GPU bandwidth,3.35,3.9,TB/s,H100 SXM and H100 NVL product specifications,[1],vendor_product_spec,sourced_range,M-COST-1 bandwidth-delay term,hbm_bandwidth_tbps,Peak product bandwidth; workload-achieved bandwidth remains deferred.
HBM/GPU memory,NVIDIA H200,per-GPU capacity,141,141,GB,DGX H200 total memory divided by eight H200 GPUs,[2] [4],vendor_system_spec,derived_from_source,M-COST-1 memory tier; trace capacity-pressure calibration,hbm_capacity_per_gpu_gb,"Derived from 1,128 GB total DGX H200 GPU memory across eight GPUs."
HBM/GPU memory,NVIDIA H200,per-GPU bandwidth,4.8,4.8,TB/s,H200 product page and DGX H200 system family,[2],vendor_product_spec,sourced_range,M-COST-1 bandwidth-delay term,hbm_bandwidth_tbps,Single product point; no deployment utilization claim.
HBM/GPU memory,NVIDIA DGX B200,per-GPU capacity,180,180,GB,"1,440 GB total DGX B200 GPU memory divided by eight GPUs",[3],vendor_system_spec,derived_from_source,future calibrated capacity-pressure sweep,hbm_capacity_per_gpu_gb,Derived from system total because the cited page reports aggregate memory.
HBM/GPU memory,NVIDIA DGX B200,per-GPU HBM bandwidth,8,8,TB/s,64 TB/s DGX B200 aggregate HBM bandwidth divided by eight GPUs,[3],vendor_system_spec,derived_from_source,future calibrated bandwidth-delay sweep,hbm_bandwidth_tbps,Derived arithmetic; do not use as measured application bandwidth.
GPU-to-GPU fabric,DGX H100/H200 NVLink/NVSwitch,GPU-to-GPU bandwidth,900,900,GB/s,DGX H100/H200 user-guide component table,[4],vendor_system_spec,sourced_range,M-COST-1 transfer term; M-QUEUE-1 migration pressure,gpu_fabric_bandwidth_gbps,System fabric capability; path contention and topology effects are deferred.
GPU-to-GPU fabric,DGX B200 NVLink/NVSwitch,aggregate NVLink bandwidth,14.4,14.4,TB/s,DGX B200 system specification,[3],vendor_system_spec,sourced_range,future multi-GPU movement sweep,gpu_fabric_aggregate_bandwidth_tbps,Aggregate system value; not directly comparable to per-link or per-GPU values.
host CPU DRAM,AMD EPYC 9004/9005 class,socket memory bandwidth,460.8,576,GB/s,12 channels times DDR5-4800 to DDR5-6000 effective transfers times 8 bytes/channel,[11],vendor_architecture_guide,derived_from_source,CPU DRAM tier bandwidth in M-COST-1,cpu_dram_bandwidth_gbps,Theoretical peak from channel count and transfer rate; achieved STREAM-like bandwidth is deferred.
host CPU DRAM,Intel Xeon 6 MRDIMM class,DIMM transfer rate,6400,8800,MT/s,Xeon 6 DDR5-6400 support and MRDIMM up to 8800 MT/s,[10],vendor_solution_brief,sourced_range,CPU DRAM tier bandwidth sensitivity,cpu_dram_transfer_rate_mts,Transfer-rate capability only; channel count and application bandwidth depend on platform.
PCIe host link,PCIe 6.0 x16,raw link capability,256,256,GB/s,PCI-SIG PCIe 6.0 feature list for x16 configuration,[5],standards_body_capability,sourced_range,host-device transfer ceiling,pcie_x16_capability_gbps,Protocol capability; installed systems may use PCIe 5.0 or fewer lanes.
CXL/pooled memory,CXL 2.0+ memory pooling,feature support,,,capability,"CXL 2.0 support for switching, memory pooling, persistent memory, and link integrity/encryption",[7] [14],standards_body_capability,sourced_range,CXL_or_pooled_memory tier semantics,cxl_pooling_available,No public deployed latency-under-contention constant is used here.
local NVMe,DGX H100/H200 data cache SSDs,system data-cache capacity,30.72,30.72,TB,8 x 3.84 TB NVMe U.2 SSD data-cache array,[4],vendor_system_spec,derived_from_source,NVMe_local capacity tier,local_nvme_capacity_tb,"Capacity only; SSD bandwidth, latency distribution, and write endurance are deferred."
NVMe-over-fabrics/remote storage,NVMe-oF transport scope,remote block-storage protocol support,,,capability,"NVM Express specifications cover PCIe, RDMA, TCP, and other transports; NVMe-oF enables remote storage access",[6],standards_body_capability,sourced_range,remote_object_store / NVMe remote tier distinction,remote_nvme_transport_available,"Capability row only; no latency, bandwidth, or tail distribution is inferred."
durable workspace/object store,agent durable state,latency and consistency distribution,,,deferred,No public source in this cycle cleanly maps object-store behavior to durable agent workspace state,[6],deferred_public_evidence_missing,deferred_public_evidence_missing,durable_workspace_store tier in M-COST-1 and M-PROTO-1,durable_workspace_latency_distribution,Must remain deferred until measured production traces or reproducible benchmarks exist.
semantic/prefix cache service,prefix and semantic cache,cache-reuse mechanism evidence,,,capability,"PagedAttention, vLLM prefix caching, and semantic-cache papers demonstrate cache-reuse mechanisms",[9] [12] [13],peer_reviewed_or_project_documentation,sourced_range,semantic_cache and prefix_cache object classes,cache_hit_rate_distribution,Mechanism evidence only; production hit-rate distributions are deferred.
