covariate,required_handling,measurement,temporal_role,acceptance_rule
workload_mix,block_or_match,"agent workload class, tool-use rate, RAG/code/verifier mix",pre_treatment,workload_mix_smd<=0.10
object_size_distribution,match,prompt/KV/tool-output/trajectory object bytes,pre_treatment,object_size_smd<=0.10
tenant_concurrency,block_or_randomize,active tenants and concurrent trajectories,pre_treatment,tenant_concurrency_smd<=0.10
hardware_topology,block,"GPU/HBM, host DRAM, CXL or pooled-memory bucket, network locality",pre_treatment,topology_match=true
model_version,block,"model, tokenizer, runtime, quantization, and serving policy version",pre_treatment,model_version_match=true
cache_warmness,block_or_measure_before_treatment,prefix/object residency and warm-cache exposure before intervention,pre_treatment,cache_warmness_smd<=0.10
security_deny_rate,block_or_stratify,authorization/provenance/retention deny-rate before treatment,pre_treatment,security_deny_rate_delta<=0.02
time_of_day_load,blocked_time_window_or_diff_in_diff,"diurnal load, batch interference, and maintenance windows",pre_treatment,time_window_drift_fraction<=0.10
scheduler_load,block_or_match,"queue depth, admission pressure, and preemption rate",pre_treatment,scheduler_load_smd<=0.10
post_treatment_cache_hits,forbidden_adjustment,cache hits after assigning memory-centric treatment,post_treatment,post_treatment_covariate_used=false
