accelerator_type,adapter_version,alias_value,architecture_option,backend_name,byte_interval_end_ms,byte_interval_start_ms,byte_unit,bytes_moved,calibration_candidate,claimed_energy_credit_j,claimed_reuse_credit,clock_domain,clock_offset_ms,collector_trust_domain,constant_id,destination_tier,drop_profile_class,energy_noise_floor_j,energy_unit,evidence_label,expected_blocked_reason,fixture_case_id,fixture_class,fixture_id,hardware_topology_id,host_joules_measured,host_power_counter_source,interval_end_ms,interval_id,interval_ms,interval_start_ms,join_alias_used,joules_measured,latency_p50_us,latency_p95_us,latency_p99_us,latency_unit,logical_run_id,measurement_run_id,notes,object_class,object_id,power_counter_source,power_interval_end_ms,power_interval_start_ms,power_unit,production_calibrated,production_ready,production_target_id,profile_class,profile_id,provenance_valid,queue_depth,resident_bytes,retention_valid,reuse_decision,schema_version,security_allowed,security_context_fresh_until_ms,security_context_id,source_tier,tenant_count,tenant_id,threshold_id,timestamp_unit,topology_id,topology_scope,unknown_alias_name,verifier_valid,workload_class,workload_id
conformance-accelerator-v1,adapter-conformance-v1,port-run-001,,accelerator-power-backend,2000,1000,B,,,,,monotonic_ns,1,adapter_conformance_fixture_trusted_for_shape_only,,,,0.2,J,adapter_conformance_fixture,unknown_alias,invalid-unknown-alias,invalid,,conformance-topology-a,,,2000,interval-0001,1000,1000,operator_run,18.5,,,,us,port-run-001,,,,object-kv-branch-001,backend_accel_counter,2000,1000,W,false,false,conformance-target,accelerator energy/power counters,accelerator-power-profile,,,,,,production_dc12_v1,,5000,secctx-a,,,tenant-a,,ms,conformance-topology-a,,operator_run,,,workload-code-agent
conformance-accelerator-v1,adapter-conformance-v1,port-run-001,,accelerator-power-backend,2000,1000,B,,,,,monotonic_ns,1,adapter_conformance_fixture_trusted_for_shape_only,,,,0.2,J,adapter_conformance_fixture,run_id_without_canonicalization,invalid-run-id-replacement,invalid,,conformance-topology-a,,,2000,interval-0001,1000,1000,run_id,18.5,,,,us,port-run-001,port-run-001,,,object-kv-branch-001,backend_accel_counter,2000,1000,W,false,false,conformance-target,accelerator energy/power counters,accelerator-power-profile,,,,,,production_dc12_v1,,5000,secctx-a,,,tenant-a,,ms,conformance-topology-a,,,,,workload-code-agent
conformance-accelerator-v1,adapter-conformance-v1,port-run-001,,accelerator-power-backend,2000,1000,B,,,,,monotonic_ns,1,adapter_conformance_fixture_trusted_for_shape_only,,,,0.2,kWh,adapter_conformance_fixture,invalid_unit,invalid-energy-unit,invalid,,conformance-topology-a,,,2000,interval-0001,1000,1000,run_id,18.5,,,,us,port-run-001,,,,object-kv-branch-001,backend_accel_counter,2000,1000,W,false,false,conformance-target,accelerator energy/power counters,accelerator-power-profile,,,,,,production_dc12_v1,,5000,secctx-a,,,tenant-a,,ms,conformance-topology-a,,,,,workload-code-agent
,adapter-conformance-v1,port-run-001,,pooled-latency-backend,2000,1000,B,,,,,monotonic_ns,1,adapter_conformance_fixture_trusted_for_shape_only,,,,,J,adapter_conformance_fixture,invalid_unit,invalid-latency-unit,invalid,,conformance-topology-a,,,2000,interval-0001,1000,1000,run_id,,8.0,42.0,75.0,ns,port-run-001,,,,object-kv-branch-001,,2000,1000,W,false,false,conformance-target,CXL or pooled-memory latency p50/p95/p99,pooled-latency-profile,,,,,,production_dc12_v1,,5000,secctx-a,,,tenant-a,,ms,conformance-topology-a,conformance_pool_fixture,,,,workload-code-agent
,adapter-conformance-v1,port-run-001,,memory-tier-bytes-backend,2000,1000,B,536870912,,,,,1,adapter_conformance_fixture_trusted_for_shape_only,,CXL_pooled_memory,,,J,adapter_conformance_fixture,missing_clock_domain,invalid-missing-clock,invalid,,conformance-topology-a,,,2000,interval-0001,1000,1000,run_id,,,,,us,port-run-001,,,,object-kv-branch-001,,2000,1000,W,false,false,conformance-target,source/destination tier byte counters,memory-tier-bytes-profile,,,1073741824,,,production_dc12_v1,,5000,secctx-a,HBM,,tenant-a,,ms,conformance-topology-a,,,,,workload-code-agent
,adapter-conformance-v1,port-run-001,,memory-tier-bytes-backend,2300,1000,B,536870912,,,,monotonic_ns,1,adapter_conformance_fixture_trusted_for_shape_only,,CXL_pooled_memory,,,J,adapter_conformance_fixture,interval_alignment_failed,invalid-interval-mismatch,invalid,,conformance-topology-a,,,2000,interval-0001,1000,1000,run_id,,,,,us,port-run-001,,,,object-kv-branch-001,,2000,1000,W,false,false,conformance-target,source/destination tier byte counters,memory-tier-bytes-profile,,,1073741824,,,production_dc12_v1,,5000,secctx-a,HBM,,tenant-a,,ms,conformance-topology-a,,,,,workload-code-agent
,adapter-conformance-v1,port-run-001,,workload-object-label-backend,2000,1000,B,,,,,monotonic_ns,1,stale_or_untrusted,,,,,J,adapter_conformance_fixture,stale_provenance,invalid-stale-provenance,invalid,adapter-conformance-valid,conformance-topology-a,,,2000,interval-0001,1000,1000,run_id,,,,,us,port-run-001,,backend-shaped fixture; not production evidence,kv_cache_branch_state,object-kv-branch-001,,2000,1000,W,false,false,conformance-target,workload/object classification,workload-object-label-profile,,,,,,production_dc12_v1,,5000,secctx-a,,,tenant-a,,ms,conformance-topology-a,,,,code agent with verification loop,workload-code-agent
,adapter-conformance-v1,port-run-001,,concurrency-queue-backend,2000,1000,B,,,,,monotonic_ns,1,adapter_conformance_fixture_trusted_for_shape_only,,,,,J,adapter_conformance_fixture,missing_tenant_label,invalid-missing-tenant,invalid,,conformance-topology-a,,,2000,interval-0001,1000,1000,run_id,,,,,us,port-run-001,,,,object-kv-branch-001,,2000,1000,W,false,false,conformance-target,queue depth and tenant concurrency,concurrency-queue-profile,,9,,,,production_dc12_v1,,5000,secctx-a,,3,,,ms,conformance-topology-a,,,,,workload-code-agent
,adapter-conformance-v1,port-run-001,,security-provenance-backend,2000,1000,B,,,,,monotonic_ns,1,adapter_conformance_fixture_trusted_for_shape_only,,,,,J,adapter_conformance_fixture,missing_security_context,invalid-missing-security-context,invalid,,conformance-topology-a,,,2000,interval-0001,1000,1000,run_id,,,,,us,port-run-001,,,,object-kv-branch-001,,2000,1000,W,false,false,conformance-target,security/provenance/retention/verifier gates,security-provenance-profile,true,,,true,,production_dc12_v1,true,5000,,,,tenant-a,,ms,conformance-topology-a,,,true,,workload-code-agent
,adapter-conformance-v1,port-run-001,,security-provenance-backend,2000,1000,B,,,,,monotonic_ns,1,adapter_conformance_fixture_trusted_for_shape_only,,,security/provenance/retention/verifier gates,,J,adapter_conformance_fixture,missing_security_stream,invalid-missing-security-stream,invalid,,conformance-topology-a,,,2000,interval-0001,1000,1000,run_id,,,,,us,port-run-001,,,,object-kv-branch-001,,2000,1000,W,false,false,conformance-target,security/provenance/retention/verifier gates,security-provenance-profile,true,,,true,,production_dc12_v1,true,5000,secctx-a,,,tenant-a,,ms,conformance-topology-a,,,true,,workload-code-agent
