model_id	result_role	category	questions	passed	pass_rate
empty_response_control	negative_control	convergence_detection	30	0	0.0
empty_response_control	negative_control	ghost_partner_reasoning	30	0	0.0
empty_response_control	negative_control	hybrid_pedigree	30	0	0.0
empty_response_control	negative_control	phytochemistry_safety	30	0	0.0
empty_response_control	negative_control	region_conditional	30	0	0.0
empty_response_control	negative_control	synonym_confusion	30	0	0.0
empty_response_control	negative_control	toxicity_lookalike_media_scope	30	0	0.0
forbidden_overclaim_control	negative_control	convergence_detection	30	0	0.0
forbidden_overclaim_control	negative_control	ghost_partner_reasoning	30	0	0.0
forbidden_overclaim_control	negative_control	hybrid_pedigree	30	0	0.0
forbidden_overclaim_control	negative_control	phytochemistry_safety	30	0	0.0
forbidden_overclaim_control	negative_control	region_conditional	30	0	0.0
forbidden_overclaim_control	negative_control	synonym_confusion	30	0	0.0
forbidden_overclaim_control	negative_control	toxicity_lookalike_media_scope	30	0	0.0
rubric_minimal_scoped_control	positive_control	convergence_detection	30	30	1.0
rubric_minimal_scoped_control	positive_control	ghost_partner_reasoning	30	30	1.0
rubric_minimal_scoped_control	positive_control	hybrid_pedigree	30	30	1.0
rubric_minimal_scoped_control	positive_control	phytochemistry_safety	30	30	1.0
rubric_minimal_scoped_control	positive_control	region_conditional	30	30	1.0
rubric_minimal_scoped_control	positive_control	synonym_confusion	30	30	1.0
rubric_minimal_scoped_control	positive_control	toxicity_lookalike_media_scope	30	30	1.0
verbatim_expected_answer_diagnostic	scorer_limitation_probe	convergence_detection	30	30	1.0
verbatim_expected_answer_diagnostic	scorer_limitation_probe	ghost_partner_reasoning	30	0	0.0
verbatim_expected_answer_diagnostic	scorer_limitation_probe	hybrid_pedigree	30	0	0.0
verbatim_expected_answer_diagnostic	scorer_limitation_probe	phytochemistry_safety	30	0	0.0
verbatim_expected_answer_diagnostic	scorer_limitation_probe	region_conditional	30	30	1.0
verbatim_expected_answer_diagnostic	scorer_limitation_probe	synonym_confusion	30	30	1.0
verbatim_expected_answer_diagnostic	scorer_limitation_probe	toxicity_lookalike_media_scope	30	0	0.0
