family,L,V,constraint_counts,order,coefficient,abs_coefficient,derivative_at_zero,coefficient_l1_norm_order_leq_8,nearest_singularity_scale,normalized_expression_n,description
single_label_cycle_profile,1,1,1,0,1,1,1,1,,n^(0)*(n)_1/((n)_1),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,1,1,1,1,0,0,0,1,,n^(0)*(n)_1/((n)_1),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,1,1,1,2,0,0,0,1,,n^(0)*(n)_1/((n)_1),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,1,1,1,3,0,0,0,1,,n^(0)*(n)_1/((n)_1),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,1,1,1,4,0,0,0,1,,n^(0)*(n)_1/((n)_1),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,1,1,1,5,0,0,0,1,,n^(0)*(n)_1/((n)_1),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,1,1,1,6,0,0,0,1,,n^(0)*(n)_1/((n)_1),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,1,1,1,7,0,0,0,1,,n^(0)*(n)_1/((n)_1),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,1,1,1,8,0,0,0,1,,n^(0)*(n)_1/((n)_1),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,1,2,1,0,1,1,1,2,1,n^(-1)*(n)_2/((n)_1),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,1,2,1,1,-1,1,-1,2,1,n^(-1)*(n)_2/((n)_1),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,1,2,1,2,0,0,0,2,1,n^(-1)*(n)_2/((n)_1),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,1,2,1,3,0,0,0,2,1,n^(-1)*(n)_2/((n)_1),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,1,2,1,4,0,0,0,2,1,n^(-1)*(n)_2/((n)_1),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,1,2,1,5,0,0,0,2,1,n^(-1)*(n)_2/((n)_1),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,1,2,1,6,0,0,0,2,1,n^(-1)*(n)_2/((n)_1),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,1,2,1,7,0,0,0,2,1,n^(-1)*(n)_2/((n)_1),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,1,2,1,8,0,0,0,2,1,n^(-1)*(n)_2/((n)_1),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,1,1,1;1,0,1,1,1,1,,n^(1)*(n)_1/((n)_1*(n)_1),two length-L labels sharing one vertex
rank2_balanced_profile,1,1,1;1,1,0,0,0,1,,n^(1)*(n)_1/((n)_1*(n)_1),two length-L labels sharing one vertex
rank2_balanced_profile,1,1,1;1,2,0,0,0,1,,n^(1)*(n)_1/((n)_1*(n)_1),two length-L labels sharing one vertex
rank2_balanced_profile,1,1,1;1,3,0,0,0,1,,n^(1)*(n)_1/((n)_1*(n)_1),two length-L labels sharing one vertex
rank2_balanced_profile,1,1,1;1,4,0,0,0,1,,n^(1)*(n)_1/((n)_1*(n)_1),two length-L labels sharing one vertex
